variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node2node27_wide_t3,0.0,1.0,B,C,wide,node2node27,3,5116.27
C_node2node27_wide_t4,0.0,1.0,B,C,wide,node2node27,4,3627.02
C_node2node27_wide_t5,0.0,1.0,B,C,wide,node2node27,5,2571.26
C_node3node11_timber_t0,0.0,0.0,B,C,timber,node3node11,0,67.0
C_node3node11_timber_t1,0.0,1.0,B,C,timber,node3node11,1,56.41
C_node3node11_timber_t2,0.0,1.0,B,C,timber,node3node11,2,39.99
C_node3node11_timber_t3,0.0,1.0,B,C,timber,node3node11,3,28.35
C_node3node11_timber_t4,0.0,1.0,B,C,timber,node3node11,4,20.1
C_node3node11_timber_t5,0.0,1.0,B,C,timber,node3node11,5,14.25
C_node3node11_wide_t0,0.0,0.0,B,C,wide,node3node11,0,101.0
C_node3node11_wide_t1,0.0,1.0,B,C,wide,node3node11,1,85.04
C_node3node11_wide_t2,0.0,1.0,B,C,wide,node3node11,2,60.29
C_node3node11_wide_t3,0.0,1.0,B,C,wide,node3node11,3,42.74
C_node3node11_wide_t4,0.0,1.0,B,C,wide,node3node11,4,30.3
C_node3node11_wide_t5,0.0,1.0,B,C,wide,node3node11,5,21.48
C_node3node16_timber_t0,0.0,0.0,B,C,timber,node3node16,0,2327.0
C_node3node16_timber_t1,0.0,1.0,B,C,timber,node3node16,1,1959.27
C_node3node16_timber_t2,0.0,1.0,B,C,timber,node3node16,2,1388.96
C_node3node16_timber_t3,0.0,1.0,B,C,timber,node3node16,3,984.66
C_node3node16_timber_t4,0.0,1.0,B,C,timber,node3node16,4,698.05
C_node3node16_timber_t5,0.0,1.0,B,C,timber,node3node16,5,494.86
C_node3node16_wide_t0,0.0,0.0,B,C,wide,node3node16,0,3487.0
C_node3node16_wide_t1,0.0,1.0,B,C,wide,node3node16,1,2935.96
C_node3node16_wide_t2,0.0,1.0,B,C,wide,node3node16,2,2081.36
C_node3node16_wide_t3,0.0,1.0,B,C,wide,node3node16,3,1475.51
C_node3node16_wide_t4,0.0,1.0,B,C,wide,node3node16,4,1046.02
C_node3node16_wide_t5,0.0,1.0,B,C,wide,node3node16,5,741.54
