flow_timber_node1node391_t1: lb=0.0, ub=9.0, type=I, edge=node1node391, period=1, road_type=timber
flow_timber_node1node391_t2: lb=0.0, ub=9.0, type=I, edge=node1node391, period=2, road_type=timber
flow_timber_node1node391_t3: lb=0.0, ub=9.0, type=I, edge=node1node391, period=3, road_type=timber
flow_timber_node1node391_t4: lb=0.0, ub=9.0, type=I, edge=node1node391, period=4, road_type=timber
flow_timber_node1node391_t5: lb=0.0, ub=9.0, type=I, edge=node1node391, period=5, road_type=timber
flow_wide_node1node391_t1: lb=0.0, ub=9.0, type=I, edge=node1node391, period=1, road_type=wide
flow_wide_node1node391_t2: lb=0.0, ub=9.0, type=I, edge=node1node391, period=2, road_type=wide
flow_wide_node1node391_t3: lb=0.0, ub=9.0, type=I, edge=node1node391, period=3, road_type=wide
flow_wide_node1node391_t4: lb=0.0, ub=9.0, type=I, edge=node1node391, period=4, road_type=wide
flow_wide_node1node391_t5: lb=0.0, ub=9.0, type=I, edge=node1node391, period=5, road_type=wide
flow_timber_node1node389_t1: lb=0.0, ub=9.0, type=I, edge=node1node389, period=1, road_type=timber
flow_timber_node1node389_t2: lb=0.0, ub=9.0, type=I, edge=node1node389, period=2, road_type=timber
flow_timber_node1node389_t3: lb=0.0, ub=9.0, type=I, edge=node1node389, period=3, road_type=timber
flow_timber_node1node389_t4: lb=0.0, ub=9.0, type=I, edge=node1node389, period=4, road_type=timber
flow_timber_node1node389_t5: lb=0.0, ub=9.0, type=I, edge=node1node389, period=5, road_type=timber
flow_wide_node1node389_t1: lb=0.0, ub=9.0, type=I, edge=node1node389, period=1, road_type=wide
flow_wide_node1node389_t2: lb=0.0, ub=9.0, type=I, edge=node1node389, period=2, road_type=wide
flow_wide_node1node389_t3: lb=0.0, ub=9.0, type=I, edge=node1node389, period=3, road_type=wide
flow_wide_node1node389_t4: lb=0.0, ub=9.0, type=I, edge=node1node389, period=4, road_type=wide
flow_wide_node1node389_t5: lb=0.0, ub=9.0, type=I, edge=node1node389, period=5, road_type=wide
flow_timber_node1node29_t1: lb=0.0, ub=9.0, type=I, edge=node1node29, period=1, road_type=timber
flow_timber_node1node29_t2: lb=0.0, ub=9.0, type=I, edge=node1node29, period=2, road_type=timber
flow_timber_node1node29_t3: lb=0.0, ub=9.0, type=I, edge=node1node29, period=3, road_type=timber
flow_timber_node1node29_t4: lb=0.0, ub=9.0, type=I, edge=node1node29, period=4, road_type=timber
flow_timber_node1node29_t5: lb=0.0, ub=9.0, type=I, edge=node1node29, period=5, road_type=timber
flow_wide_node1node29_t1: lb=0.0, ub=9.0, type=I, edge=node1node29, period=1, road_type=wide
flow_wide_node1node29_t2: lb=0.0, ub=9.0, type=I, edge=node1node29, period=2, road_type=wide
flow_wide_node1node29_t3: lb=0.0, ub=9.0, type=I, edge=node1node29, period=3, road_type=wide
flow_wide_node1node29_t4: lb=0.0, ub=9.0, type=I, edge=node1node29, period=4, road_type=wide
