variable,value,node_type_info
C_node61node275_wide_t1,1.0,node61transit_node275source
C_node61node276_wide_t1,1.0,node61transit_node276source
C_node64node262_timber_t1,1.0,node64transit_node262source
C_node64node262_timber_t4,1.0,node64transit_node262source
C_node65node251_timber_t1,1.0,node65transit_node251source
C_node65node261_timber_t1,1.0,node65transit_node261source
C_node66node252_timber_t1,1.0,node66transit_node252source
C_node66node256_timber_t1,1.0,node66transit_node256source
C_node67node243_timber_t1,1.0,node67transit_node243source
C_node67node263_timber_t1,1.0,node67transit_node263source
C_node67node263_wide_t3,1.0,node67transit_node263source
C_node68node274_timber_t1,1.0,node68transit_node274source
C_node68node286_wide_t1,1.0,node68transit_node286source
C_node70node215_wide_t1,1.0,node70transit_node215exit
C_node71node227_timber_t1,1.0,node71transit_node227exit
C_node71node265_timber_t1,1.0,node71transit_node265source
C_node72node240_timber_t1,1.0,node72transit_node240source
C_node72node243_timber_t1,1.0,node72transit_node243source
C_node72node245_timber_t1,1.0,node72transit_node245source
C_node73node265_wide_t1,1.0,node73transit_node265source
C_node74node259_timber_t1,1.0,node74transit_node259source
C_node76node256_timber_t1,1.0,node76transit_node256source
C_node76node257_timber_t1,1.0,node76transit_node257source
C_node76node259_timber_t1,1.0,node76transit_node259source
C_node77node243_timber_t1,1.0,node77transit_node243source
C_node77node244_timber_t1,1.0,node77transit_node244source
C_node78node236_timber_t1,1.0,node78transit_node236source
C_node78node236_timber_t3,1.0,node78transit_node236source
C_node78node238_timber_t1,1.0,node78transit_node238source
C_node79node258_timber_t1,1.0,node79transit_node258source
C_node79node261_timber_t1,1.0,node79transit_node261source
C_node82node248_timber_t3,1.0,node82transit_node248source
C_node82node267_timber_t1,1.0,node82transit_node267source
C_node83node199_timber_t1,1.0,node83transit_node199transit
C_node83node235_timber_t1,1.0,node83transit_node235source
C_node83node237_timber_t1,1.0,node83transit_node237source
C_node83node273_timber_t1,1.0,node83transit_node273source
C_node85node93_timber_t1,1.0,node85transit_node93transit
C_node85node225_timber_t1,1.0,node85transit_node225exit
C_node86node283_wide_t1,1.0,node86transit_node283source
C_node86node284_wide_t1,1.0,node86transit_node284source
C_node87node262_timber_t1,1.0,node87transit_node262source
C_node88node247_timber_t1,1.0,node88transit_node247source
C_node88node266_timber_t1,1.0,node88transit_node266source
C_node88node266_timber_t4,1.0,node88transit_node266source
C_node89node251_timber_t1,1.0,node89transit_node251source
C_node89node251_timber_t3,1.0,node89transit_node251source
C_node89node261_timber_t1,1.0,node89transit_node261source
C_node89node261_timber_t4,1.0,node89transit_node261source
C_node89node269_timber_t1,1.0,node89transit_node269source
C_node91node236_timber_t1,1.0,node91transit_node236source
C_node91node236_timber_t3,1.0,node91transit_node236source
C_node91node238_timber_t1,1.0,node91transit_node238source
C_node91node273_timber_t1,1.0,node91transit_node273source
C_node92node251_timber_t1,1.0,node92transit_node251source
C_node92node251_timber_t3,1.0,node92transit_node251source
C_node92node270_wide_t1,1.0,node92transit_node270source
C_node92node270_wide_t4,1.0,node92transit_node270source
C_node93node260_timber_t1,1.0,node93transit_node260source
C_node93node260_wide_t4,1.0,node93transit_node260source
C_node95node131_timber_t1,1.0,node95transit_node131transit
C_node95node99_timber_t1,1.0,node95transit_node99transit
C_node95node261_timber_t1,1.0,node95transit_node261source
C_node95node269_timber_t1,1.0,node95transit_node269source
