x,y,ID_UG
-15684.28178,148934.79575,879
-15219.81608,148776.07505,1011
-15606.52116,149283.65674,1341
-15337.33357,149837.40556,1236
-15588.50576,149723.41652,1294
-16366.64318,148905.93287,1178
-16053.31948,149116.13761,1461
-15764.51447,149165.73973,1009
-16116.91647,149190.97586,1462
-16208.66676,149270.10625,1463
-16323.37635,149369.71863,1464
-16462.34046,149506.2213,1467
-16559.44949,149626.45824,1466
-16292.8521,149684.2472,1235
-17157.83597,149889.99859,939
-16721.6544,149755.09882,1229
-16032.55339,149773.62856,1339
-16675.83992,150153.96904,1314
