ID_UG;nodes
1229;(-16791.40498, 149933.36191),(-16659.49288, 149900.12391),(-16864.50628, 149700.05771),(-16662.33718, 149556.03021),(-16553.56148, 149769.65901),(-16628.56808, 149630.25971),(-16721.6544, 149755.09882)
1235;(-16791.40498, 149933.36191),(-16564.69858, 150145.65881),(-16659.49288, 149900.12391),(-16356.06658, 149547.23811),(-16499.45678, 149737.91531),(-16492.11498, 150128.50021),(-16718.05148, 150042.28891),(-16017.06138, 149231.68971),(-15811.95098, 149403.67461),(-16086.40418, 149305.67671),(-16193.90588, 149396.15961),(-16308.30998, 149482.77481),(-16553.56148, 149769.65901),(-16449.97398, 149676.56181),(-16601.72959, 149811.74573),(-16681.90172, 150043.98027),(-16292.8521, 149684.2472)
939;(-16791.40498, 149933.36191),(-16864.50628, 149700.05771),(-16718.05148, 150042.28891),(-16758.59888, 150041.86021),(-17064.65368, 149924.49661),(-17338.35242, 150043.75704),(-16965.48659, 149930.30321),(-16905.11617, 149968.61218),(-17289.9082, 149690.33503),(-17157.83597, 149889.99859)
1466;(-16621.79008, 149517.97981),(-16499.45678, 149737.91531),(-16662.33718, 149556.03021),(-16628.56808, 149630.25971),(-16449.97398, 149676.56181),(-16559.44949, 149626.45824)
1467;(-16621.79008, 149517.97981),(-16356.06658, 149547.23811),(-16473.25068, 149342.17171),(-16308.30998, 149482.77481),(-16449.97398, 149676.56181),(-16331.59883, 149514.2108),(-16433.69168, 149651.7506),(-16462.34046, 149506.2213)
1011;(-15376.47608, 148782.64951),(-15471.91978, 149052.76171),(-15477.80048, 149007.82631),(-15011.11447, 148538.93237),(-15419.87893, 149065.40362),(-15219.81608, 148776.07505)
879;(-15376.47608, 148782.64951),(-16003.82208, 148961.44581),(-15877.87558, 149064.23291),(-15619.97148, 148999.27151),(-15412.13218, 148814.67231),(-15477.80048, 149007.82631),(-15849.01234, 149047.76756),(-15788.74149, 149025.24159),(-15641.03461, 148879.14287),(-15500.88077, 149002.84667),(-15450.38611, 148808.33277),(-16022.10956, 149015.14463),(-16009.83117, 148970.18546),(-15684.28178, 148934.79575)
1178;(-16003.82208, 148961.44581),(-16776.74348, 149006.34991),(-15877.87558, 149064.23291),(-16636.54468, 148817.15481),(-15942.25358, 149158.39901),(-16117.07368, 149032.53151),(-15918.87544, 149122.0505),(-16641.31994, 148826.02313),(-16683.429, 148898.24976),(-16776.26926, 149021.65721),(-16608.30785, 148998.07357),(-16512.74376, 148760.74466),(-16273.14073, 148945.09264),(-16508.08165, 148975.35509),(-16007.6823, 149102.63771),(-16139.07027, 149017.76038),(-16366.64318, 148905.93287)
1461;(-16168.18698, 149085.77671),(-15942.25358, 149158.39901),(-15995.85048, 149206.55341),(-16117.07368, 149032.53151),(-16048.51648, 149164.73519),(-16053.31948, 149116.13761)
1462;(-16168.18698, 149085.77671),(-16245.86728, 149152.28741),(-16121.89008, 149268.83801),(-16017.06138, 149231.68971),(-16086.40418, 149305.67671),(-15995.85048, 149206.55341),(-16097.64202, 149294.01046),(-16116.91647, 149190.97586)
1236;(-15771.70978, 150101.53671),(-15279.23408, 149386.44861),(-15050.65908, 149725.68891),(-15025.81858, 149541.44301),(-15432.42958, 149560.20351),(-15068.22688, 149890.74231),(-15078.50408, 149746.25911),(-15082.78238, 150019.21581),(-15239.2155, 149383.64563),(-15383.42364, 149405.95416),(-15633.27607, 149960.79597),(-15759.21287, 150095.10028),(-15337.33357, 149837.40556)
1294;(-15771.70978, 150101.53671),(-15624.13075, 149940.34083),(-15674.55638, 149714.29631),(-15432.42958, 149560.20351),(-15670.99908, 149537.82541),(-15634.59598, 149548.87011),(-15594.54804, 149561.0209),(-15588.50576, 149723.41652)
1314;(-16564.69858, 150145.65881),(-16718.05148, 150042.28891),(-16758.59888, 150041.86021),(-16759.96308, 150118.52581),(-16758.81272, 150053.87764),(-16574.49956, 150174.84172),(-16675.83992, 150153.96904)
1009;(-15877.87558, 149064.23291),(-15619.97148, 148999.27151),(-16017.06138, 149231.68971),(-15811.95098, 149403.67461),(-15942.25358, 149158.39901),(-15793.61828, 149365.17751),(-15995.85048, 149206.55341),(-15764.51447, 149165.73973)
1341;(-15619.97148, 148999.27151),(-15593.82428, 149372.17921),(-15572.53398, 149327.77301),(-15443.63188, 149202.19701),(-15670.99908, 149537.82541),(-15471.91978, 149052.76171),(-15477.80048, 149007.82631),(-15417.75238, 149244.42911),(-15793.61828, 149365.17751),(-15634.59598, 149548.87011),(-15501.71524, 149289.82714),(-15610.6063, 149500.43285),(-15446.14765, 149278.21116),(-15606.52116, 149283.65674)
1464;(-16473.25068, 149342.17171),(-16316.34628, 149259.96351),(-16193.90588, 149396.15961),(-16308.30998, 149482.77481),(-16268.40903, 149459.63785),(-16315.87153, 149475.02299),(-16323.37635, 149369.71863)
1339;(-15674.55638, 149714.29631),(-16492.11498, 150128.50021),(-15811.95098, 149403.67461),(-15670.99908, 149537.82541),(-15793.61828, 149365.17751),(-16032.55339, 149773.62856)
1463;(-16316.34628, 149259.96351),(-16245.86728, 149152.28741),(-16121.89008, 149268.83801),(-16086.40418, 149305.67671),(-16193.90588, 149396.15961),(-16209.73468, 149375.92036),(-16285.35536, 149161.40208),(-16303.38155, 149197.15631),(-16208.66676, 149270.10625)
