"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-15619.97148, 148999.27151)","(-15500.88077, 149002.84667)",0.12062032849767573,True,False,906,323,1359,323,680,False,"[(-15550.95318, 148992.04341)]"
"(-15619.97148, 148999.27151)","(-15788.7415, 149025.24159)",0.2086685549939521,True,False,1568,560,2352,560,1176,False,"[(-15663.86318, 148962.19151), (-15729.26088, 148976.31351), (-15751.24328, 149016.49391)]"
"(-15619.97148, 148999.27151)","(-15793.61828, 149365.17751)",0.6269424769296249,False,False,4709,1682,7065,1682,3531,False,"[(-15560.74678, 149199.79321), (-15552.36778, 149198.51741), (-15543.06928, 149197.10171), (-15529.46438, 149195.03031), (-15514.97368, 149192.82421), (-15517.35498, 149170.59911), (-15529.26128, 149139.64281), (-15550.69258, 149094.39891), (-15560.14318, 149065.65971), (-15571.32638, 149055.52541), (-15581.61788, 149046.19921), (-15600.37048, 149023.25441), (-15570.61278, 149201.29521), (-15623.71768, 149215.76361), (-15662.61158, 149227.66991), (-15696.74278, 149245.13241), (-15722.90198, 149281.49771), (-15743.15828, 149248.49351), (-15771.41578, 149315.21621)]"
"(-15500.88077, 149002.84667)","(-15619.97148, 148999.27151)",0.12062032849767573,True,False,906,323,1359,323,680,False,"[(-15550.95318, 148992.04341)]"
"(-15500.88077, 149002.84667)","(-15610.6063, 149500.43285)",0.6712971254664588,True,False,5046,1797,7564,1797,3789,False,"[(-15476.93978, 149063.66541), (-15471.91978, 149052.76171), (-15417.75238, 149244.42911), (-15446.14765, 149278.21116), (-15501.71524, 149289.82714)]"
"(-15788.7415, 149025.24159)","(-15619.97148, 148999.27151)",0.2086685549939521,True,False,1568,560,2352,560,1176,False,"[(-15663.86318, 148962.19151), (-15729.26088, 148976.31351), (-15751.24328, 149016.49391)]"
"(-15788.7415, 149025.24159)","(-15942.25358, 149158.39901)",0.2123683675486518,True,False,1596,571,2394,571,1197,False,"[(-15918.87544, 149122.0505), (-15877.87558, 149064.23291), (-15849.01232, 149047.76755)]"
"(-15793.61828, 149365.17751)","(-15619.97148, 148999.27151)",0.6269424769296249,False,False,4709,1682,7065,1682,3531,False,"[(-15560.74678, 149199.79321), (-15552.36778, 149198.51741), (-15543.06928, 149197.10171), (-15529.46438, 149195.03031), (-15514.97368, 149192.82421), (-15517.35498, 149170.59911), (-15529.26128, 149139.64281), (-15550.69258, 149094.39891), (-15560.14318, 149065.65971), (-15571.32638, 149055.52541), (-15581.61788, 149046.19921), (-15600.37048, 149023.25441), (-15570.61278, 149201.29521), (-15623.71768, 149215.76361), (-15662.61158, 149227.66991), (-15696.74278, 149245.13241), (-15722.90198, 149281.49771), (-15743.15828, 149248.49351), (-15771.41578, 149315.21621)]"
"(-15793.61828, 149365.17751)","(-15811.95098, 149403.67461)",0.042763239294288824,False,False,207,81,310,81,155,False,"[(-15806.01598, 149394.50761)]"
"(-15793.61828, 149365.17751)","(-15670.99908, 149537.82541)",0.21707722908425547,False,False,1632,583,2446,583,1224,False,"[(-15746.77528, 149398.86511), (-15717.81378, 149471.49851)]"
