Node,Stand
"(-12182.61278, 153333.52971)","[1249, 1395]"
"(-12192.81728, 153231.81651)",[1395]
"(-12133.45418, 153182.76761)",[1395]
"(-12146.19968, 153132.78931)",[1395]
"(-12230.49768, 153116.36621)",[1395]
"(-12317.38318, 153042.70531)",[1395]
"(-12310.06148, 152956.88881)",[1395]
"(-12339.38558, 152922.57041)","[1395, 895]"
"(-12339.63558, 152998.38201)","[1395, 895]"
"(-12362.12518, 153034.10071)","[1395, 895]"
"(-12350.21888, 153049.97581)","[1395, 895]"
"(-12319.79178, 153083.04871)","[1395, 895]"
"(-12306.56258, 153122.73641)","[1395, 895]"
"(-12351.54178, 153143.90301)","[1395, 895]"
"(-12384.61478, 153151.84051)","[1395, 895]"
"(-12388.58358, 153184.91361)","[1395, 895]"
"(-12400.48988, 153223.27821)","[1395, 895]"
"(-12426.94818, 153255.02831)","[1395, 895]"
"(-12416.36488, 153278.84081)","[1395, 895]"
"(-12362.12518, 153292.07011)","[1395, 895]"
"(-12310.53128, 153274.87211)","[1395, 895]"
"(-12274.81248, 153322.49721)","[1395, 895]"
"(-12247.03118, 153333.08051)","[1395, 895]"
"(-12254.87718, 153369.40631)","[1249, 1395, 895]"
"(-12234.91288, 153361.19131)","[1249, 1395]"
"(-12195.20644, 153123.24172)",[1395]
"(-12393.61084, 153201.1125)",[1395]
"(-11835.45238, 153587.40911)","[1249, 1246, 1247]"
"(-11830.63738, 153585.48541)",[1246]
"(-11831.19058, 153584.82771)",[1246]
"(-11751.65958, 153553.05381)",[1246]
"(-11767.11758, 153504.90481)",[1246]
"(-11793.86928, 153453.69651)",[1246]
"(-11828.19438, 153395.80601)",[1246]
"(-11845.94078, 153350.30881)",[1246]
"(-11866.83748, 153272.09631)",[1246]
"(-11903.83458, 153232.79441)",[1246]
"(-11912.43348, 153268.43471)",[1246]
"(-11948.26908, 153299.57151)",[1246]
"(-11950.54588, 153300.42801)",[1246]
"(-11952.53098, 153302.15281)",[1246]
"(-12018.75658, 153327.06481)",[1246]
"(-12019.11398, 153327.41091)",[1246]
"(-12021.36728, 153328.25851)",[1246]
"(-12046.31288, 153352.41561)",[1246]
"(-12088.37368, 153392.93531)",[1246]
"(-12090.70898, 153395.19681)","[1249, 1246]"
"(-12061.64648, 153427.00161)","[1249, 1246]"
"(-12017.78008, 153461.05301)","[1249, 1246]"
"(-12001.85678, 153512.99471)","[1249, 1246]"
"(-11964.83178, 153491.57111)","[1249, 1246]"
"(-11920.56938, 153468.34751)","[1249, 1246]"
"(-11839.27398, 153467.23741)","[1249, 1246]"
"(-11847.84468, 153524.39331)","[1249, 1246]"
"(-11897.31148, 153536.75521)","[1249, 1246]"
"(-11857.11854, 153308.47251)",[1246]
"(-12074.45, 153379.52179)",[1246]
"(-11982.65825, 153501.88596)",[1246]
"(-12041.87038, 153837.88171)","[1248, 1249, 834, 1247]"
"(-11980.64918, 153818.03031)","[1249, 1247]"
"(-11917.85658, 153840.10181)","[1249, 1247]"
"(-11859.55838, 153834.72071)","[1249, 1247]"
"(-11818.25948, 153813.11131)","[1249, 1247]"
"(-11852.40078, 153770.86711)","[1249, 1247]"
"(-11927.38758, 153732.53551)","[1249, 1247]"
"(-12009.69978, 153680.13371)","[1249, 1247]"
"(-11951.15958, 153651.61201)","[1249, 1247]"
"(-11923.59838, 153617.74741)","[1249, 1247]"
"(-11880.70178, 153632.27841)","[1249, 1247]"
"(-12166.06988, 153407.69891)",[1249]
"(-12304.48148, 153389.81791)","[1249, 895]"
"(-12360.51118, 153407.09491)","[1249, 895]"
"(-12397.34978, 153437.14811)","[1249, 895]"
"(-12349.56388, 153462.41591)",[1249]
"(-12276.08848, 153483.50301)",[1249]
"(-12220.85248, 153492.58451)",[1249]
"(-12127.38668, 153510.03271)",[1249]
"(-12176.14828, 153583.28471)",[1249]
"(-12196.44028, 153641.75931)",[1249]
"(-12172.32248, 153687.41821)",[1249]
"(-12129.64688, 153701.96451)",[1249]
"(-12083.70208, 153710.50691)",[1249]
"(-12144.19158, 153749.26061)",[1249]
"(-12192.77158, 153799.84761)",[1249]
"(-12229.28708, 153841.08811)",[1249]
"(-12275.25398, 153899.15081)",[1249]
"(-12278.18358, 153900.04741)",[1249]
"(-12279.51718, 153901.73191)","[1249, 834]"
"(-12232.26378, 153893.46751)","[1249, 834]"
"(-12179.26288, 153897.39511)","[1249, 834]"
"(-12122.34948, 153847.47381)","[1249, 834]"
"(-12161.29224, 153560.96726)",[1249]
"(-11929.94078, 153941.92781)","[1248, 1247]"
"(-11877.97948, 153938.07801)","[1248, 1247]"
"(-11807.18148, 153953.19991)","[1248, 1247]"
"(-11743.40298, 153985.50331)","[1248, 1247]"
"(-11706.40128, 154010.89941)","[1248, 1247]"
"(-11668.03908, 154075.18431)","[1248, 834, 1247]"
"(-11656.51598, 154016.67151)",[1247]
"(-11636.41688, 153780.76101)",[1247]
"(-11654.02718, 153726.86541)",[1247]
"(-11733.02038, 153672.95061)",[1247]
"(-11790.64558, 153640.67501)",[1247]
"(-11978.30988, 153881.09061)","[1248, 1247]"
"(-12052.26258, 153881.66351)","[1248, 834]"
"(-12023.86208, 153942.57401)","[1248, 834]"
"(-11989.22288, 153985.83031)","[1248, 834]"
"(-11920.32698, 154029.64551)","[1248, 834]"
"(-11862.52498, 154051.08331)","[1248, 834]"
"(-11817.12048, 154049.90201)","[1248, 834]"
