variable,lb,ub,type,edge,period,road_type
flow_timber_node121node280_t2,0.0,9.0,I,node121node280,2,timber
flow_timber_node121node280_t3,0.0,9.0,I,node121node280,3,timber
flow_timber_node121node280_t4,0.0,9.0,I,node121node280,4,timber
flow_timber_node121node280_t5,0.0,9.0,I,node121node280,5,timber
flow_wide_node121node280_t1,0.0,9.0,I,node121node280,1,wide
flow_wide_node121node280_t2,0.0,9.0,I,node121node280,2,wide
flow_wide_node121node280_t3,0.0,9.0,I,node121node280,3,wide
flow_wide_node121node280_t4,0.0,9.0,I,node121node280,4,wide
flow_wide_node121node280_t5,0.0,9.0,I,node121node280,5,wide
flow_timber_node121node439_t1,0.0,9.0,I,node121node439,1,timber
flow_timber_node121node439_t2,0.0,9.0,I,node121node439,2,timber
flow_timber_node121node439_t3,0.0,9.0,I,node121node439,3,timber
flow_timber_node121node439_t4,0.0,9.0,I,node121node439,4,timber
flow_timber_node121node439_t5,0.0,9.0,I,node121node439,5,timber
flow_wide_node121node439_t1,0.0,9.0,I,node121node439,1,wide
flow_wide_node121node439_t2,0.0,9.0,I,node121node439,2,wide
flow_wide_node121node439_t3,0.0,9.0,I,node121node439,3,wide
flow_wide_node121node439_t4,0.0,9.0,I,node121node439,4,wide
flow_wide_node121node439_t5,0.0,9.0,I,node121node439,5,wide
flow_timber_node121node442_t1,0.0,9.0,I,node121node442,1,timber
flow_timber_node121node442_t2,0.0,9.0,I,node121node442,2,timber
flow_timber_node121node442_t3,0.0,9.0,I,node121node442,3,timber
flow_timber_node121node442_t4,0.0,9.0,I,node121node442,4,timber
flow_timber_node121node442_t5,0.0,9.0,I,node121node442,5,timber
flow_wide_node121node442_t1,0.0,9.0,I,node121node442,1,wide
flow_wide_node121node442_t2,0.0,9.0,I,node121node442,2,wide
flow_wide_node121node442_t3,0.0,9.0,I,node121node442,3,wide
flow_wide_node121node442_t4,0.0,9.0,I,node121node442,4,wide
flow_wide_node121node442_t5,0.0,9.0,I,node121node442,5,wide
flow_timber_node121node444_t1,0.0,9.0,I,node121node444,1,timber
flow_timber_node121node444_t2,0.0,9.0,I,node121node444,2,timber
flow_timber_node121node444_t3,0.0,9.0,I,node121node444,3,timber
flow_timber_node121node444_t4,0.0,9.0,I,node121node444,4,timber
flow_timber_node121node444_t5,0.0,9.0,I,node121node444,5,timber
flow_wide_node121node444_t1,0.0,9.0,I,node121node444,1,wide
flow_wide_node121node444_t2,0.0,9.0,I,node121node444,2,wide
flow_wide_node121node444_t3,0.0,9.0,I,node121node444,3,wide
flow_wide_node121node444_t4,0.0,9.0,I,node121node444,4,wide
flow_wide_node121node444_t5,0.0,9.0,I,node121node444,5,wide
flow_timber_node275node1_t1,0.0,9.0,I,node275node1,1,timber
flow_timber_node275node1_t2,0.0,9.0,I,node275node1,2,timber
flow_timber_node275node1_t3,0.0,9.0,I,node275node1,3,timber
flow_timber_node275node1_t4,0.0,9.0,I,node275node1,4,timber
flow_timber_node275node1_t5,0.0,9.0,I,node275node1,5,timber
flow_wide_node275node1_t1,0.0,9.0,I,node275node1,1,wide
flow_wide_node275node1_t2,0.0,9.0,I,node275node1,2,wide
flow_wide_node275node1_t3,0.0,9.0,I,node275node1,3,wide
flow_wide_node275node1_t4,0.0,9.0,I,node275node1,4,wide
flow_wide_node275node1_t5,0.0,9.0,I,node275node1,5,wide
flow_timber_node275node38_t1,0.0,9.0,I,node275node38,1,timber
flow_timber_node275node38_t2,0.0,9.0,I,node275node38,2,timber
flow_timber_node275node38_t3,0.0,9.0,I,node275node38,3,timber
flow_timber_node275node38_t4,0.0,9.0,I,node275node38,4,timber
flow_timber_node275node38_t5,0.0,9.0,I,node275node38,5,timber
flow_wide_node275node38_t1,0.0,9.0,I,node275node38,1,wide
flow_wide_node275node38_t2,0.0,9.0,I,node275node38,2,wide
flow_wide_node275node38_t3,0.0,9.0,I,node275node38,3,wide
flow_wide_node275node38_t4,0.0,9.0,I,node275node38,4,wide
flow_wide_node275node38_t5,0.0,9.0,I,node275node38,5,wide
flow_timber_node275node325_t1,0.0,9.0,I,node275node325,1,timber
flow_timber_node275node325_t2,0.0,9.0,I,node275node325,2,timber
flow_timber_node275node325_t3,0.0,9.0,I,node275node325,3,timber
flow_timber_node275node325_t4,0.0,9.0,I,node275node325,4,timber
flow_timber_node275node325_t5,0.0,9.0,I,node275node325,5,timber
flow_wide_node275node325_t1,0.0,9.0,I,node275node325,1,wide
flow_wide_node275node325_t2,0.0,9.0,I,node275node325,2,wide
flow_wide_node275node325_t3,0.0,9.0,I,node275node325,3,wide
flow_wide_node275node325_t4,0.0,9.0,I,node275node325,4,wide
flow_wide_node275node325_t5,0.0,9.0,I,node275node325,5,wide
flow_timber_node275node440_t1,0.0,9.0,I,node275node440,1,timber
flow_timber_node275node440_t2,0.0,9.0,I,node275node440,2,timber
flow_timber_node275node440_t3,0.0,9.0,I,node275node440,3,timber
flow_timber_node275node440_t4,0.0,9.0,I,node275node440,4,timber
flow_timber_node275node440_t5,0.0,9.0,I,node275node440,5,timber
flow_wide_node275node440_t1,0.0,9.0,I,node275node440,1,wide
flow_wide_node275node440_t2,0.0,9.0,I,node275node440,2,wide
flow_wide_node275node440_t3,0.0,9.0,I,node275node440,3,wide
flow_wide_node275node440_t4,0.0,9.0,I,node275node440,4,wide
flow_wide_node275node440_t5,0.0,9.0,I,node275node440,5,wide
flow_timber_node275node444_t1,0.0,9.0,I,node275node444,1,timber
flow_timber_node275node444_t2,0.0,9.0,I,node275node444,2,timber
flow_timber_node275node444_t3,0.0,9.0,I,node275node444,3,timber
flow_timber_node275node444_t4,0.0,9.0,I,node275node444,4,timber
flow_timber_node275node444_t5,0.0,9.0,I,node275node444,5,timber
flow_wide_node275node444_t1,0.0,9.0,I,node275node444,1,wide
flow_wide_node275node444_t2,0.0,9.0,I,node275node444,2,wide
flow_wide_node275node444_t3,0.0,9.0,I,node275node444,3,wide
flow_wide_node275node444_t4,0.0,9.0,I,node275node444,4,wide
flow_wide_node275node444_t5,0.0,9.0,I,node275node444,5,wide
