1520.0 * C_node2node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1279.8 * C_node2node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
907.27 * C_node2node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
643.18 * C_node2node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
455.96 * C_node2node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
323.24 * C_node2node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2280.0 * C_node2node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1919.7 * C_node2node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1360.91 * C_node2node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
964.78 * C_node2node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
683.95 * C_node2node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
484.86 * C_node2node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node69_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node69_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node69_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node69_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node69_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node69_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node69_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node69_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node69_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node69_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node69_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node69_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node70_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node70_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node70_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node70_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node70_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node70_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node70_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node70_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node70_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node70_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node70_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node70_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node71_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node71_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node71_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node71_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node71_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node71_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node71_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node71_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node71_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node71_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node71_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node71_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
912.0 * C_node3node61_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
767.88 * C_node3node61_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
544.36 * C_node3node61_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
385.91 * C_node3node61_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
273.58 * C_node3node61_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
193.95 * C_node3node61_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1368.0 * C_node3node61_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1151.82 * C_node3node61_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
