variable,lb,ub,type,edge,period,road_type
flow_timber_node6node1_t3,0.0,9.0,I,node6node1,3,timber
flow_timber_node6node1_t4,0.0,9.0,I,node6node1,4,timber
flow_timber_node6node1_t5,0.0,9.0,I,node6node1,5,timber
flow_wide_node6node1_t1,0.0,9.0,I,node6node1,1,wide
flow_wide_node6node1_t2,0.0,9.0,I,node6node1,2,wide
flow_wide_node6node1_t3,0.0,9.0,I,node6node1,3,wide
flow_wide_node6node1_t4,0.0,9.0,I,node6node1,4,wide
flow_wide_node6node1_t5,0.0,9.0,I,node6node1,5,wide
flow_timber_node6node2_t1,0.0,9.0,I,node6node2,1,timber
flow_timber_node6node2_t2,0.0,9.0,I,node6node2,2,timber
flow_timber_node6node2_t3,0.0,9.0,I,node6node2,3,timber
flow_timber_node6node2_t4,0.0,9.0,I,node6node2,4,timber
flow_timber_node6node2_t5,0.0,9.0,I,node6node2,5,timber
flow_wide_node6node2_t1,0.0,9.0,I,node6node2,1,wide
flow_wide_node6node2_t2,0.0,9.0,I,node6node2,2,wide
flow_wide_node6node2_t3,0.0,9.0,I,node6node2,3,wide
flow_wide_node6node2_t4,0.0,9.0,I,node6node2,4,wide
flow_wide_node6node2_t5,0.0,9.0,I,node6node2,5,wide
flow_timber_node6node3_t1,0.0,9.0,I,node6node3,1,timber
flow_timber_node6node3_t2,0.0,9.0,I,node6node3,2,timber
flow_timber_node6node3_t3,0.0,9.0,I,node6node3,3,timber
flow_timber_node6node3_t4,0.0,9.0,I,node6node3,4,timber
flow_timber_node6node3_t5,0.0,9.0,I,node6node3,5,timber
flow_wide_node6node3_t1,0.0,9.0,I,node6node3,1,wide
flow_wide_node6node3_t2,0.0,9.0,I,node6node3,2,wide
flow_wide_node6node3_t3,0.0,9.0,I,node6node3,3,wide
flow_wide_node6node3_t4,0.0,9.0,I,node6node3,4,wide
flow_wide_node6node3_t5,0.0,9.0,I,node6node3,5,wide
flow_timber_node7node1_t1,0.0,9.0,I,node7node1,1,timber
flow_timber_node7node1_t2,0.0,9.0,I,node7node1,2,timber
flow_timber_node7node1_t3,0.0,9.0,I,node7node1,3,timber
flow_timber_node7node1_t4,0.0,9.0,I,node7node1,4,timber
flow_timber_node7node1_t5,0.0,9.0,I,node7node1,5,timber
flow_wide_node7node1_t1,0.0,9.0,I,node7node1,1,wide
flow_wide_node7node1_t2,0.0,9.0,I,node7node1,2,wide
flow_wide_node7node1_t3,0.0,9.0,I,node7node1,3,wide
flow_wide_node7node1_t4,0.0,9.0,I,node7node1,4,wide
flow_wide_node7node1_t5,0.0,9.0,I,node7node1,5,wide
flow_timber_node7node2_t1,0.0,9.0,I,node7node2,1,timber
flow_timber_node7node2_t2,0.0,9.0,I,node7node2,2,timber
flow_timber_node7node2_t3,0.0,9.0,I,node7node2,3,timber
flow_timber_node7node2_t4,0.0,9.0,I,node7node2,4,timber
flow_timber_node7node2_t5,0.0,9.0,I,node7node2,5,timber
flow_wide_node7node2_t1,0.0,9.0,I,node7node2,1,wide
flow_wide_node7node2_t2,0.0,9.0,I,node7node2,2,wide
flow_wide_node7node2_t3,0.0,9.0,I,node7node2,3,wide
flow_wide_node7node2_t4,0.0,9.0,I,node7node2,4,wide
flow_wide_node7node2_t5,0.0,9.0,I,node7node2,5,wide
flow_timber_node7node3_t1,0.0,9.0,I,node7node3,1,timber
flow_timber_node7node3_t2,0.0,9.0,I,node7node3,2,timber
flow_timber_node7node3_t3,0.0,9.0,I,node7node3,3,timber
flow_timber_node7node3_t4,0.0,9.0,I,node7node3,4,timber
flow_timber_node7node3_t5,0.0,9.0,I,node7node3,5,timber
flow_wide_node7node3_t1,0.0,9.0,I,node7node3,1,wide
flow_wide_node7node3_t2,0.0,9.0,I,node7node3,2,wide
flow_wide_node7node3_t3,0.0,9.0,I,node7node3,3,wide
flow_wide_node7node3_t4,0.0,9.0,I,node7node3,4,wide
flow_wide_node7node3_t5,0.0,9.0,I,node7node3,5,wide
flow_timber_node7node4_t1,0.0,9.0,I,node7node4,1,timber
flow_timber_node7node4_t2,0.0,9.0,I,node7node4,2,timber
flow_timber_node7node4_t3,0.0,9.0,I,node7node4,3,timber
flow_timber_node7node4_t4,0.0,9.0,I,node7node4,4,timber
flow_timber_node7node4_t5,0.0,9.0,I,node7node4,5,timber
flow_wide_node7node4_t1,0.0,9.0,I,node7node4,1,wide
flow_wide_node7node4_t2,0.0,9.0,I,node7node4,2,wide
flow_wide_node7node4_t3,0.0,9.0,I,node7node4,3,wide
flow_wide_node7node4_t4,0.0,9.0,I,node7node4,4,wide
flow_wide_node7node4_t5,0.0,9.0,I,node7node4,5,wide
flow_timber_node7node5_t1,0.0,9.0,I,node7node5,1,timber
flow_timber_node7node5_t2,0.0,9.0,I,node7node5,2,timber
flow_timber_node7node5_t3,0.0,9.0,I,node7node5,3,timber
flow_timber_node7node5_t4,0.0,9.0,I,node7node5,4,timber
flow_timber_node7node5_t5,0.0,9.0,I,node7node5,5,timber
flow_wide_node7node5_t1,0.0,9.0,I,node7node5,1,wide
flow_wide_node7node5_t2,0.0,9.0,I,node7node5,2,wide
flow_wide_node7node5_t3,0.0,9.0,I,node7node5,3,wide
flow_wide_node7node5_t4,0.0,9.0,I,node7node5,4,wide
flow_wide_node7node5_t5,0.0,9.0,I,node7node5,5,wide
flow_timber_node4node3_t1,0.0,9.0,I,node4node3,1,timber
flow_timber_node4node3_t2,0.0,9.0,I,node4node3,2,timber
flow_timber_node4node3_t3,0.0,9.0,I,node4node3,3,timber
flow_timber_node4node3_t4,0.0,9.0,I,node4node3,4,timber
flow_timber_node4node3_t5,0.0,9.0,I,node4node3,5,timber
flow_wide_node4node3_t1,0.0,9.0,I,node4node3,1,wide
flow_wide_node4node3_t2,0.0,9.0,I,node4node3,2,wide
flow_wide_node4node3_t3,0.0,9.0,I,node4node3,3,wide
flow_wide_node4node3_t4,0.0,9.0,I,node4node3,4,wide
flow_wide_node4node3_t5,0.0,9.0,I,node4node3,5,wide
flow_timber_node4node5_t1,0.0,9.0,I,node4node5,1,timber
flow_timber_node4node5_t2,0.0,9.0,I,node4node5,2,timber
flow_timber_node4node5_t3,0.0,9.0,I,node4node5,3,timber
flow_timber_node4node5_t4,0.0,9.0,I,node4node5,4,timber
flow_timber_node4node5_t5,0.0,9.0,I,node4node5,5,timber
flow_wide_node4node5_t1,0.0,9.0,I,node4node5,1,wide
flow_wide_node4node5_t2,0.0,9.0,I,node4node5,2,wide
flow_wide_node4node5_t3,0.0,9.0,I,node4node5,3,wide
flow_wide_node4node5_t4,0.0,9.0,I,node4node5,4,wide
flow_wide_node4node5_t5,0.0,9.0,I,node4node5,5,wide
flow_timber_node4node7_t1,0.0,9.0,I,node4node7,1,timber
flow_timber_node4node7_t2,0.0,9.0,I,node4node7,2,timber
flow_timber_node4node7_t3,0.0,9.0,I,node4node7,3,timber
flow_timber_node4node7_t4,0.0,9.0,I,node4node7,4,timber
flow_timber_node4node7_t5,0.0,9.0,I,node4node7,5,timber
flow_wide_node4node7_t1,0.0,9.0,I,node4node7,1,wide
flow_wide_node4node7_t2,0.0,9.0,I,node4node7,2,wide
flow_wide_node4node7_t3,0.0,9.0,I,node4node7,3,wide
flow_wide_node4node7_t4,0.0,9.0,I,node4node7,4,wide
flow_wide_node4node7_t5,0.0,9.0,I,node4node7,5,wide
