Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14848.1625, 149535.759)","(-14873.5492, 149560.3764)",0.206,23.5,993.33,386.25,1490.0,745.0,386.25
"(-14614.979, 149533.013)","(-14662.6041, 149529.838)",47.731,32.1,358673.22,128097.58,538009.82,269004.91,128097.58
"(-14844.1787, 149457.6105)","(-14849.3299, 149450.1413)",0.668,23.5,3225.29,1254.13,4837.94,2418.97,1254.13
"(-14844.1787, 149457.6105)","(-14841.8752, 149460.9506)",12.338,23.5,59600.15,23175.03,89400.23,44700.11,23175.03
"(-14821.399, 149494.3591)","(-14827.3299, 149484.6824)",8.08,23.5,39033.14,15177.72,58549.71,29274.85,15177.72
"(-14821.399, 149494.3591)","(-14816.7397, 149501.9611)",3.216,23.5,15534.64,6040.52,23301.96,11650.98,6040.52
"(-14824.1797, 149412.7782)","(-14834.9789, 149418.8416)",9.067,23.5,43800.09,17031.31,65700.13,32850.07,17031.31
"(-14857.0476, 149409.882)","(-14853.682, 149411.7446)",5.818,23.5,28107.18,10929.25,42160.78,21080.39,10929.25
"(-14857.0476, 149409.882)","(-14859.4836, 149408.5339)",8.198,23.5,39600.79,15398.44,59401.18,29700.59,15398.44
"(-14561.0094, 149675.8928)","(-14564.1815, 149639.4128)",36.618,32.1,275163.36,98272.63,412745.05,206372.52,98272.63
"(-14561.0094, 149675.8928)","(-14603.8665, 149710.8133)",55.283,32.1,415421.54,148364.83,623132.31,311566.15,148364.83
"(-14834.9789, 149418.8416)","(-14837.8829, 149420.472)",8.173,23.5,39484.16,15353.09,59226.24,29613.12,15353.09
"(-14756.2668, 149456.8129)","(-14772.671, 149455.2254)",12.385,23.5,59828.78,23263.93,89743.17,44871.58,23263.93
"(-14912.9777, 149306.2084)","(-14961.4636, 149289.8554)",51.169,32.1,384512.13,137325.76,576768.2,288384.1,137325.76
"(-14912.9777, 149306.2084)","(-14912.9304, 149306.2522)",0.064,32.1,484.42,173.01,726.63,363.32,173.01
"(-14700.7042, 149721.9259)","(-14603.8665, 149710.8133)",97.473,32.1,732462.57,261593.77,1098693.85,549346.92,261593.77
"(-14860.3086, 149408.0774)","(-14859.4836, 149408.5339)",11.35,23.5,54827.29,21319.14,82240.94,41120.47,21319.14
"(-14860.3086, 149408.0774)","(-14860.503, 149407.9699)",8.916,23.5,43072.22,16748.28,64608.33,32304.16,16748.28
"(-14772.6709, 149481.1546)","(-14772.671, 149455.2254)",8.496,23.5,41041.45,15958.63,61562.18,30781.09,15958.63
"(-14772.6709, 149481.1546)","(-14741.9792, 149496.5004)",4.477,23.5,21625.43,8408.87,32438.15,16219.08,8408.87
"(-14834.6541, 149472.7323)","(-14831.6137, 149477.6931)",0.313,23.5,1510.75,587.44,2266.12,1133.06,587.44
"(-14831.6137, 149477.6931)","(-14827.3299, 149484.6824)",9.311,23.5,44977.74,17489.23,67466.61,33733.31,17489.23
"(-14567.0761, 149498.6832)","(-14598.8261, 149470.1081)",42.715,32.1,320984.3,114637.25,481476.44,240738.22,114637.25
"(-14882.8857, 149569.43)","(-14874.0285, 149560.8412)",42.679,23.5,206172.89,80168.64,309259.33,154629.66,80168.64
"(-14882.8857, 149569.43)","(-14879.4136, 149572.2591)",24.877,23.5,120172.44,46728.07,180258.67,90129.33,46728.07
"(-14825.6626, 149391.5693)","(-14829.6191, 149386.9746)",3.847,23.5,18582.12,7225.5,27873.18,13936.59,7225.5
"(-14825.6626, 149391.5693)","(-14820.3378, 149397.7529)",2.784,23.5,13449.53,5229.74,20174.3,10087.15,5229.74
"(-14858.5456, 149436.7785)","(-14863.186, 149430.05)",2.148,23.5,10374.25,4033.94,15561.38,7780.69,4033.94
"(-14858.5456, 149436.7785)","(-14854.0424, 149443.3082)",12.443,23.5,60111.23,23373.76,90166.84,45083.42,23373.76
"(-14662.6041, 149529.838)","(-14703.8792, 149577.4631)",63.022,32.1,473579.51,169135.54,710369.26,355184.63,169135.54
"(-14703.8669, 149577.483)","(-14703.8818, 149577.5002)",0.023,32.1,171.0,61.07,256.5,128.25,61.07
"(-14703.8669, 149577.483)","(-14703.8792, 149577.4631)",0.023,32.1,175.8,62.78,263.7,131.85,62.78
"(-14749.1098, 149286.0636)","(-14758.5542, 149255.837)",31.668,32.1,237967.03,84988.22,356950.54,178475.27,84988.22
"(-14598.8261, 149470.1081)","(-14617.8762, 149422.4831)",51.294,32.1,385446.75,137659.55,578170.12,289085.06,137659.55
"(-14854.0424, 149443.3082)","(-14849.3299, 149450.1413)",35.362,23.5,170827.23,66424.77,256240.85,128120.43,66424.77
"(-14876.6556, 149574.5064)","(-14879.4136, 149572.2591)",34.82,23.5,168205.44,65405.31,252308.16,126154.08,65405.31
"(-14850.5121, 149413.4986)","(-14848.8882, 149414.3973)",8.365,23.5,40407.67,15712.19,60611.5,30305.75,15712.19
"(-14850.5121, 149413.4986)","(-14853.682, 149411.7446)",0.638,23.5,3083.53,1199.01,4625.3,2312.65,1199.01
"(-14912.7768, 149306.304)","(-14912.9304, 149306.2522)",0.162,32.1,1218.1,435.03,1827.14,913.57,435.03
"(-15066.1144, 149130.2959)","(-15037.8202, 149171.6974)",50.146,32.1,376823.96,134579.99,565235.94,282617.97,134579.99
"(-15066.1144, 149130.2959)","(-15123.4196, 149131.9716)",57.33,32.1,430803.99,153858.57,646205.99,323102.99,153858.57
"(-15123.4196, 149131.9716)","(-15137.4354, 149194.5867)",64.165,32.1,482164.74,172201.69,723247.11,361623.56,172201.69
"(-15137.4354, 149194.5867)","(-15140.7243, 149249.7371)",55.248,32.1,415163.95,148272.84,622745.93,311372.96,148272.84
"(-15077.5952, 149257.7838)","(-15140.7243, 149249.7371)",63.64,32.1,478221.78,170793.49,717332.67,358666.33,170793.49
"(-15077.5952, 149257.7838)","(-14994.0109, 149251.9294)",83.789,32.1,629633.01,224868.93,944449.51,472224.76,224868.93
"(-14994.9814, 149179.1005)","(-15037.8202, 149171.6974)",43.474,32.1,326683.64,116672.73,490025.47,245012.73,116672.73
