"Node1(x,y)","Node2(x,y)",edgelength,slope
"(-14561.0094, 149675.8928)","(-14564.1815, 149639.4128)",36.61765446353389,32.1137
"(-14564.1815, 149639.4128)","(-14622.9192, 149617.1878)",62.801815469689465,32.1137
"(-14622.9192, 149617.1878)","(-14661.0192, 149647.3503)",48.59409847140518,32.1137
"(-14661.0192, 149647.3503)","(-14703.8818, 149577.5002)",81.95266285342586,32.1137
"(-14703.8818, 149577.5002)","(-14703.8669, 149577.483)",0.022756317804513232,32.1137
"(-14703.8669, 149577.483)","(-14703.8792, 149577.4631)",0.023394443795813846,32.1137
"(-14703.8792, 149577.4631)","(-14662.6041, 149529.838)",63.0220916030273,32.1137
"(-14662.6041, 149529.838)","(-14614.979, 149533.013)",47.730815779852506,32.1137
"(-14614.979, 149533.013)","(-14583.2289, 149533.013)",31.750099999999293,32.1137
"(-14583.2289, 149533.013)","(-14548.9073, 149529.4563)",34.505395830943066,32.1137
"(-14548.9073, 149529.4563)","(-14546.9081, 149529.2491)",2.009908575035844,32.1137
"(-14546.9081, 149529.2491)","(-14567.0761, 149498.6832)",36.61997360470354,32.1137
"(-14567.0761, 149498.6832)","(-14598.8261, 149470.1081)",42.71532324598836,32.1137
"(-14598.8261, 149470.1081)","(-14617.8762, 149422.4831)",51.29373192710796,32.1137
"(-14617.8762, 149422.4831)","(-14627.4331, 149375.4336)",48.010309183155016,32.1137
"(-14627.4331, 149375.4336)","(-14631.6346, 149354.7496)",21.106407990208474,32.1137
"(-14631.6346, 149354.7496)","(-14662.3262, 149320.9887)",45.62644714824459,32.1137
"(-14662.3262, 149320.9887)","(-14703.6013, 149295.5887)",48.464356799711744,32.1137
"(-14703.6013, 149295.5887)","(-14749.1098, 149286.0636)",46.494635198697615,32.1137
"(-14749.1098, 149286.0636)","(-14758.5542, 149255.837)",31.667712877940424,32.1137
"(-14758.5542, 149255.837)","(-14785.5847, 149194.5259)",67.00521556908035,32.1137
"(-14785.5847, 149194.5259)","(-14845.2205, 149191.6019)",59.70744022012664,32.1137
"(-14845.2205, 149191.6019)","(-14896.1767, 149210.1639)",54.23174496953102,32.1137
"(-14896.1767, 149210.1639)","(-14950.1644, 149193.5368)",56.490107148954664,32.1137
"(-14950.1644, 149193.5368)","(-14994.9814, 149179.1005)",47.08471351394333,32.1137
"(-14994.9814, 149179.1005)","(-15037.8202, 149171.6974)",43.473769965921974,32.1137
"(-15037.8202, 149171.6974)","(-15066.1144, 149130.2959)",50.14624568091427,32.1137
"(-15066.1144, 149130.2959)","(-15123.4196, 149131.9716)",57.32969490176836,32.1137
"(-15123.4196, 149131.9716)","(-15137.4354, 149194.5867)",64.16458055386244,32.1137
"(-15137.4354, 149194.5867)","(-15140.7243, 149249.7371)",55.24837991623139,32.1137
"(-15140.7243, 149249.7371)","(-15077.5952, 149257.7838)",63.63986681082947,32.1137
"(-15077.5952, 149257.7838)","(-14994.0109, 149251.9294)",83.78907569516568,32.1137
"(-14994.0109, 149251.9294)","(-14993.9225, 149252.0328)",0.13603720078810522,32.1137
"(-14993.9225, 149252.0328)","(-14993.8101, 149252.0249)",0.11267728253710295,32.1137
"(-14993.8101, 149252.0249)","(-14961.4636, 149289.8554)",49.77391678882548,32.1137
"(-14961.4636, 149289.8554)","(-14912.9777, 149306.2084)",51.169357117419985,32.1137
"(-14912.9777, 149306.2084)","(-14912.9304, 149306.2522)",0.06446495170784769,32.1137
"(-14912.9304, 149306.2522)","(-14912.7768, 149306.304)",0.16209935225506295,32.1137
"(-14912.7768, 149306.304)","(-14844.3203, 149369.7647)",93.34641308984253,32.1137
"(-14844.3203, 149369.7647)","(-14836.5234, 149378.8192)",11.948875255017128,32.1137
"(-14836.5234, 149378.8192)","(-14833.1971, 149382.682)",5.097597034880683,32.1137
"(-14833.1971, 149382.682)","(-14810.771, 149366.8544)",27.448914058111956,27.78995
"(-14810.771, 149366.8544)","(-14797.0127, 149365.2668)",13.849595396618383,27.78995
"(-14797.0127, 149365.2668)","(-14790.6626, 149382.7294)",18.58133926201118,27.78995
"(-14790.6626, 149382.7294)","(-14767.3792, 149398.0752)",27.8856646540732,27.78995
"(-14767.3792, 149398.0752)","(-14758.3834, 149407.0711)",12.722053075276008,27.78995
"(-14758.3834, 149407.0711)","(-14756.2668, 149456.8129)",49.78681213734113,27.78995
"(-14756.2668, 149456.8129)","(-14772.671, 149455.2254)",16.48083535170501,27.78995
"(-14772.671, 149455.2254)","(-14772.6709, 149481.1546)",25.929200000206055,27.78995
"(-14772.6709, 149481.1546)","(-14741.9792, 149496.5004)",34.314341411855466,27.78995
"(-14741.9792, 149496.5004)","(-14735.1, 149508.1421)",13.522299047505351,27.78995
"(-14735.1, 149508.1421)","(-14738.275, 149542.0089)",34.015301957196286,27.78995
"(-14738.275, 149542.0089)","(-14774.2585, 149531.9547)",37.361734567464886,27.78995
"(-14774.2585, 149531.9547)","(-14788.546, 149546.7713)",20.58310695229814,27.78995
"(-14788.546, 149546.7713)","(-14763.6751, 149568.4672)",33.00414737000321,27.78995
"(-14763.6751, 149568.4672)","(-14749.9167, 149594.9257)",29.82190122726745,27.78995
"(-14749.9167, 149594.9257)","(-14740.3917, 149644.1382)",50.12579955720827,32.1137
"(-14740.3917, 149644.1382)","(-14738.8042, 149702.8758)",58.759048750065794,32.1137
"(-14738.8042, 149702.8758)","(-14700.7042, 149721.9259)",42.597139692821685,32.1137
"(-14700.7042, 149721.9259)","(-14603.8665, 149710.8133)",97.47322719624017,32.1137
"(-14603.8665, 149710.8133)","(-14561.0094, 149675.8928)",55.282658588932364,32.1137
"(-14749.9167, 149594.9257)","(-14763.6751, 149568.4672)",0.09299042962196535,23.4662
"(-14763.6751, 149568.4672)","(-14788.546, 149546.7713)",5.611886301394512,23.4662
"(-14788.546, 149546.7713)","(-14774.2585, 149531.9547)",6.063428101342429,23.4662
"(-14774.2585, 149531.9547)","(-14738.275, 149542.0089)",8.160294357428054,23.4662
"(-14738.275, 149542.0089)","(-14735.1, 149508.1421)",7.723156479706288,23.4662
"(-14735.1, 149508.1421)","(-14741.9792, 149496.5004)",3.7240442559204308,23.4662
"(-14741.9792, 149496.5004)","(-14772.6709, 149481.1546)",4.476614842710446,23.4662
"(-14772.6709, 149481.1546)","(-14772.671, 149455.2254)",8.495865000104631,23.4662
"(-14772.671, 149455.2254)","(-14756.2668, 149456.8129)",12.384972353628978,23.4662
"(-14756.2668, 149456.8129)","(-14758.3834, 149407.0711)",3.330378380902815,23.4662
"(-14758.3834, 149407.0711)","(-14767.3792, 149398.0752)",0.01598812058837813,23.4662
"(-14767.3792, 149398.0752)","(-14790.6626, 149382.7294)",2.6854925395542186,23.4662
"(-14790.6626, 149382.7294)","(-14797.0127, 149365.2668)",3.5075218844620806,23.4662
"(-14797.0127, 149365.2668)","(-14810.771, 149366.8544)",3.598201457677448,23.4662
"(-14810.771, 149366.8544)","(-14833.1971, 149382.682)",2.770985229114184,23.4662
"(-14833.1971, 149382.682)","(-14833.281, 149382.7221)",1.8559937769392232,23.4662
"(-14833.281, 149382.7221)","(-14829.6191, 149386.9746)",3.6228141009382133,23.4662
"(-14829.6191, 149386.9746)","(-14825.6626, 149391.5693)",3.846627369523695,23.4662
"(-14825.6626, 149391.5693)","(-14820.3378, 149397.7529)",2.784146118652233,23.4662
"(-14820.3378, 149397.7529)","(-14815.2983, 149403.6053)",0.9428771128845016,23.4662
"(-14815.2983, 149403.6053)","(-14812.8682, 149406.4272)",0.2221432195743895,23.4662
"(-14812.8682, 149406.4272)","(-14816.7716, 149408.6189)",0.7827132936114791,23.4662
"(-14816.7716, 149408.6189)","(-14824.1797, 149412.7782)",15.798863099933907,23.4662
"(-14824.1797, 149412.7782)","(-14834.9789, 149418.8416)",9.066922397355993,23.4662
"(-14834.9789, 149418.8416)","(-14837.8829, 149420.472)",8.173495238266653,23.4662
"(-14837.8829, 149420.472)","(-14837.8968, 149420.4799)",7.931947574850174,23.4662
"(-14837.8968, 149420.4799)","(-14840.2465, 149419.1796)",8.30053684166543,23.4662
"(-14840.2465, 149419.1796)","(-14843.3154, 149417.4812)",9.073246942540571,23.4662
"(-14843.3154, 149417.4812)","(-14846.4637, 149415.739)",4.057385889955296,23.4662
"(-14846.4637, 149415.739)","(-14848.8882, 149414.3973)",4.815585384968504,23.4662
"(-14848.8882, 149414.3973)","(-14850.5121, 149413.4986)",8.364667363378855,23.4662
"(-14850.5121, 149413.4986)","(-14853.682, 149411.7446)",0.6383123060103202,23.4662
"(-14853.682, 149411.7446)","(-14857.0476, 149409.882)",5.8183819743986005,23.4662
"(-14857.0476, 149409.882)","(-14859.4836, 149408.5339)",8.197637277277241,23.4662
"(-14859.4836, 149408.5339)","(-14860.3086, 149408.0774)",11.349629848599696,23.4662
"(-14860.3086, 149408.0774)","(-14860.503, 149407.9699)",8.916248117328092,23.4662
"(-14860.503, 149407.9699)","(-14860.8727, 149408.6598)",1.6156086438438333,23.4662
"(-14860.8727, 149408.6598)","(-14868.3336, 149422.586)",11.516559182321307,23.4662
"(-14868.3336, 149422.586)","(-14863.186, 149430.05)",18.44825260016536,23.4662
"(-14863.186, 149430.05)","(-14858.5456, 149436.7785)",2.1475422836362306,23.4662
"(-14858.5456, 149436.7785)","(-14854.0424, 149443.3082)",12.443441485377324,23.4662
"(-14854.0424, 149443.3082)","(-14849.3299, 149450.1413)",35.362422423397554,23.4662
"(-14849.3299, 149450.1413)","(-14844.1787, 149457.6105)",0.6676582434065819,23.4662
"(-14844.1787, 149457.6105)","(-14841.8752, 149460.9506)",12.33764472174359,23.4662
"(-14841.8752, 149460.9506)","(-14839.3588, 149465.0564)",4.478759339373017,23.4662
"(-14839.3588, 149465.0564)","(-14834.9877, 149472.1881)",3.557656713354537,23.4662
"(-14834.9877, 149472.1881)","(-14834.6541, 149472.7323)",8.008771747261415,23.4662
"(-14834.6541, 149472.7323)","(-14831.6137, 149477.6931)",0.3127355432406775,23.4662
"(-14831.6137, 149477.6931)","(-14827.3299, 149484.6824)",9.310704253174464,23.4662
"(-14827.3299, 149484.6824)","(-14821.399, 149494.3591)",8.080130692008153,23.4662
"(-14821.399, 149494.3591)","(-14816.7397, 149501.9611)",3.215778084696083,23.4662
"(-14816.7397, 149501.9611)","(-14817.817, 149503.1651)",6.719630618570628,23.4662
"(-14817.817, 149503.1651)","(-14825.4962, 149511.7477)",2.215710597080682,23.4662
"(-14825.4962, 149511.7477)","(-14837.7974, 149525.4961)",0.03012308085274849,23.4662
"(-14837.7974, 149525.4961)","(-14839.2293, 149527.0966)",0.15906960740480403,23.4662
"(-14839.2293, 149527.0966)","(-14848.1625, 149535.759)",0.031100160780275245,23.4662
"(-14848.1625, 149535.759)","(-14873.5492, 149560.3764)",0.20562677354888007,23.4662
"(-14873.5492, 149560.3764)","(-14874.0285, 149560.8412)",19.310830571740077,23.4662
"(-14874.0285, 149560.8412)","(-14882.8857, 149569.43)",42.6792176022406,23.4662
"(-14882.8857, 149569.43)","(-14879.4136, 149572.2591)",24.876529489652818,23.4662
"(-14879.4136, 149572.2591)","(-14876.6556, 149574.5064)",34.81969315732538,23.4662
