variable,value,node_type_info
C_node55node178_wide_t1,1.0,node55transit_node178source
C_node55node179_timber_t1,1.0,node55transit_node179source
C_node55node199_wide_t1,1.0,node55transit_node199source
C_node57node194_timber_t1,1.0,node57transit_node194source
C_node57node195_timber_t1,1.0,node57transit_node195source
C_node57node195_wide_t4,1.0,node57transit_node195source
C_node57node197_timber_t1,1.0,node57transit_node197source
C_node58node109_timber_t1,1.0,node58transit_node109transit
C_node58node109_timber_t4,1.0,node58transit_node109transit
C_node58node78_timber_t1,1.0,node58transit_node78transit
C_node58node78_timber_t4,1.0,node58transit_node78transit
C_node58node185_timber_t1,1.0,node58transit_node185source
C_node58node185_timber_t4,1.0,node58transit_node185source
C_node58node186_timber_t1,1.0,node58transit_node186source
C_node58node189_timber_t1,1.0,node58transit_node189source
C_node58node189_timber_t3,1.0,node58transit_node189source
C_node61node91_timber_t1,1.0,node61transit_node91transit
C_node61node188_timber_t1,1.0,node61transit_node188source
C_node61node190_timber_t1,1.0,node61transit_node190source
C_node63node210_timber_t1,1.0,node63transit_node210source
C_node66node184_timber_t1,1.0,node66transit_node184source
C_node66node184_timber_t4,1.0,node66transit_node184source
C_node67node197_timber_t1,1.0,node67transit_node197source
C_node67node197_timber_t4,1.0,node67transit_node197source
C_node71node184_timber_t1,1.0,node71transit_node184source
C_node71node184_timber_t3,1.0,node71transit_node184source
C_node71node187_timber_t1,1.0,node71transit_node187source
C_node71node189_timber_t1,1.0,node71transit_node189source
C_node71node189_timber_t4,1.0,node71transit_node189source
C_node72node201_timber_t1,1.0,node72transit_node201source
C_node72node201_timber_t4,1.0,node72transit_node201source
C_node73node180_timber_t1,1.0,node73transit_node180source
C_node73node181_timber_t1,1.0,node73transit_node181source
C_node73node182_timber_t1,1.0,node73transit_node182source
C_node73node182_timber_t3,1.0,node73transit_node182source
C_node74node122_timber_t1,1.0,node74transit_node122transit
C_node74node192_timber_t1,1.0,node74transit_node192source
C_node74node194_timber_t1,1.0,node74transit_node194source
C_node74node194_timber_t4,1.0,node74transit_node194source
C_node75node197_timber_t1,1.0,node75transit_node197source
C_node75node197_timber_t3,1.0,node75transit_node197source
C_node76node177_timber_t1,1.0,node76transit_node177source
C_node76node177_timber_t5,1.0,node76transit_node177source
C_node76node181_timber_t1,1.0,node76transit_node181source
C_node77node176_timber_t1,1.0,node77transit_node176source
C_node77node176_timber_t3,1.0,node77transit_node176source
C_node78node132_timber_t1,1.0,node78transit_node132transit
C_node78node185_timber_t1,1.0,node78transit_node185source
C_node78node185_timber_t3,1.0,node78transit_node185source
C_node78node186_timber_t1,1.0,node78transit_node186source
C_node79node178_timber_t4,1.0,node79transit_node178source
C_node79node178_wide_t1,1.0,node79transit_node178source
C_node79node209_wide_t1,1.0,node79transit_node209source
C_node82node210_timber_t1,1.0,node82transit_node210source
C_node82node210_timber_t4,1.0,node82transit_node210source
C_node83node170_timber_t1,1.0,node83transit_node170exit
C_node83node174_timber_t1,1.0,node83transit_node174source
C_node83node174_timber_t4,1.0,node83transit_node174source
C_node84node203_wide_t1,1.0,node84transit_node203source
C_node85node177_timber_t1,1.0,node85transit_node177source
C_node86node176_timber_t1,1.0,node86transit_node176source
C_node86node176_wide_t3,1.0,node86transit_node176source
C_node88node95_timber_t1,1.0,node88transit_node95transit
C_node88node95_timber_t4,1.0,node88transit_node95transit
C_node88node177_timber_t1,1.0,node88transit_node177source
C_node88node184_timber_t1,1.0,node88transit_node184source
C_node88node184_timber_t3,1.0,node88transit_node184source
C_node88node198_timber_t1,1.0,node88transit_node198source
C_node88node198_wide_t4,1.0,node88transit_node198source
C_node89node174_timber_t1,1.0,node89transit_node174source
C_node89node174_timber_t4,1.0,node89transit_node174source
C_node89node177_timber_t1,1.0,node89transit_node177source
C_node89node177_wide_t5,1.0,node89transit_node177source
C_node89node180_timber_t1,1.0,node89transit_node180source
C_node90node186_timber_t1,1.0,node90transit_node186source
C_node90node188_timber_t1,1.0,node90transit_node188source
C_node90node188_wide_t4,1.0,node90transit_node188source
C_node90node189_timber_t1,1.0,node90transit_node189source
C_node90node189_timber_t4,1.0,node90transit_node189source
C_node91node164_timber_t1,1.0,node91transit_node164exit
C_node91node188_timber_t1,1.0,node91transit_node188source
C_node91node188_wide_t3,1.0,node91transit_node188source
