Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15292.2127, 150885.5606)","(-15237.4751, 150860.8638)",0.254,18.0,1226.36,476.86,1839.54,919.77,476.86
"(-15292.2127, 150885.5606)","(-15186.3064, 150980.7653)",21.476,18.0,103743.0,40339.62,155614.5,77807.25,40339.62
"(-15541.5845, 150557.8148)","(-15572.4235, 150612.1954)",12.244,18.0,59148.49,22999.41,88722.74,44361.37,22999.41
"(-15541.5845, 150557.8148)","(-15696.199, 150374.6165)",63.66,18.0,307523.99,119578.19,461285.99,230642.99,119578.19
"(-14741.5284, 150516.1104)","(-14677.8581, 150536.2398)",78.631,22.4,379846.63,147700.26,569769.95,284884.98,147700.26
"(-14741.5284, 150516.1104)","(-14793.8812, 150494.6003)",171.548,22.4,828708.25,322236.43,1243062.38,621531.19,322236.43
"(-15022.3991, 150662.4103)","(-15033.5115, 150583.0351)",20.001,19.4,96621.11,37570.33,144931.67,72465.83,37570.33
"(-15022.3991, 150662.4103)","(-15142.269, 150774.933)",56.8,19.4,274386.17,106692.82,411579.26,205789.63,106692.82
"(-15532.6994, 150993.7156)","(-15643.8352, 150923.2576)",128.098,18.0,618811.29,240619.72,928216.94,464108.47,240619.72
"(-15532.6994, 150993.7156)","(-15653.2803, 151048.166)",63.882,18.0,308599.28,119996.31,462898.92,231449.46,119996.31
"(-15653.2803, 151048.166)","(-15709.7172, 151020.6005)",96.27,18.0,465057.82,180833.93,697586.74,348793.37,180833.93
"(-15241.8035, 150474.7838)","(-15150.2622, 150399.3551)",56.127,18.0,271134.39,105428.39,406701.59,203350.79,105428.39
"(-15241.8035, 150474.7838)","(-15180.1282, 150486.1186)",25.666,18.0,123984.26,48210.27,185976.39,92988.19,48210.27
"(-15241.8035, 150474.7838)","(-15339.519, 150431.1993)",49.678,18.0,239984.6,93316.05,359976.9,179988.45,93316.05
"(-15783.9592, 150220.2971)","(-15767.5893, 150233.2019)",52.045,25.4,391093.08,139676.1,586639.61,293319.81,139676.1
"(-15783.9592, 150220.2971)","(-15807.4734, 150260.0873)",77.484,25.4,582252.24,207947.23,873378.36,436689.18,207947.23
"(-15737.9588, 150317.0225)","(-15734.6023, 150337.1977)",15.676,18.0,75724.62,29444.9,113586.93,56793.46,29444.9
"(-15737.9588, 150317.0225)","(-15749.5359, 150247.4338)",15.799,18.0,76319.07,29676.05,114478.61,57239.3,29676.05
"(-15696.199, 150374.6165)","(-15734.6023, 150337.1977)",15.583,18.0,75276.15,29270.51,112914.22,56457.11,29270.51
"(-15812.6416, 150728.5514)","(-15846.2917, 150690.4921)",84.754,18.0,409426.47,159202.14,614139.7,307069.85,159202.14
"(-15812.6416, 150728.5514)","(-15773.2696, 150747.8767)",51.85,18.0,250475.3,97395.27,375712.95,187856.48,97395.27
"(-14861.2509, 150904.3953)","(-14876.5886, 150955.8709)",59.019,19.4,285107.81,110861.84,427661.72,213830.86,110861.84
"(-14861.2509, 150904.3953)","(-14659.8085, 150805.8194)",79.867,18.7,385819.23,150022.66,578728.85,289364.42,150022.66
"(-15647.0816, 150208.7812)","(-15733.0713, 150194.2291)",41.036,18.0,198236.31,77082.57,297354.46,148677.23,77082.57
"(-15647.0816, 150208.7812)","(-15462.2341, 150359.6596)",72.197,18.0,348766.36,135614.95,523149.53,261574.77,135614.95
"(-14905.0414, 150452.5846)","(-14859.0429, 150445.543)",90.998,25.4,683801.75,244214.91,1025702.63,512851.31,244214.91
"(-14905.0414, 150452.5846)","(-15054.9675, 150436.275)",90.052,24.7,615001.71,223163.7,922502.56,461251.28,223163.7
"(-14953.4247, 150862.9543)","(-15004.9851, 150877.2061)",60.051,19.4,290092.3,112800.02,435138.45,217569.22,112800.02
"(-14953.4247, 150862.9543)","(-14917.7014, 150833.5801)",144.848,19.4,699724.01,272081.96,1049586.02,524793.01,272081.96
"(-15546.4767, 150717.1982)","(-15415.5896, 150847.0049)",56.995,18.0,275326.85,107058.6,412990.27,206495.14,107058.6
"(-15546.4767, 150717.1982)","(-15572.4235, 150612.1954)",15.977,18.0,77182.25,30011.69,115773.37,57886.68,30011.69
"(-15114.7389, 150635.1581)","(-15174.2702, 150733.0541)",34.337,18.0,165874.79,64499.06,248812.19,124406.09,64499.06
"(-15114.7389, 150635.1581)","(-15132.745, 150499.4203)",7.998,18.0,38635.84,15023.23,57953.77,28976.88,15023.23
"(-15636.0348, 151135.1663)","(-15692.4893, 151073.5103)",51.41,18.0,248347.78,96568.01,372521.67,186260.84,96568.01
"(-15636.0348, 151135.1663)","(-15560.0714, 151100.2253)",118.614,18.0,572995.65,222804.68,859493.47,429746.73,222804.68
"(-15033.5115, 150583.0351)","(-15028.5005, 150536.7229)",27.554,19.4,133108.34,51758.09,199662.51,99831.26,51758.09
"(-15415.5896, 150847.0049)","(-15371.8196, 150895.1716)",18.526,18.0,89494.44,34799.18,134241.66,67120.83,34799.18
"(-15664.9195, 150799.5589)","(-15707.8184, 150769.1935)",57.93,18.0,279845.33,108815.57,419767.99,209884.0,108815.57
"(-15664.9195, 150799.5589)","(-15616.6534, 150821.2038)",64.604,18.0,312088.39,121353.02,468132.58,234066.29,121353.02
"(-15186.3064, 150980.7653)","(-15124.3262, 150985.113)",55.745,19.4,269291.91,104711.96,403937.87,201968.93,104711.96
