flow_timber_node1node130_t1: lb=0.0, ub=9.0, type=I, edge=node1node130, period=1, road_type=timber
flow_timber_node1node130_t2: lb=0.0, ub=9.0, type=I, edge=node1node130, period=2, road_type=timber
flow_timber_node1node130_t3: lb=0.0, ub=9.0, type=I, edge=node1node130, period=3, road_type=timber
flow_timber_node1node130_t4: lb=0.0, ub=9.0, type=I, edge=node1node130, period=4, road_type=timber
flow_timber_node1node130_t5: lb=0.0, ub=9.0, type=I, edge=node1node130, period=5, road_type=timber
flow_wide_node1node130_t1: lb=0.0, ub=9.0, type=I, edge=node1node130, period=1, road_type=wide
flow_wide_node1node130_t2: lb=0.0, ub=9.0, type=I, edge=node1node130, period=2, road_type=wide
flow_wide_node1node130_t3: lb=0.0, ub=9.0, type=I, edge=node1node130, period=3, road_type=wide
flow_wide_node1node130_t4: lb=0.0, ub=9.0, type=I, edge=node1node130, period=4, road_type=wide
flow_wide_node1node130_t5: lb=0.0, ub=9.0, type=I, edge=node1node130, period=5, road_type=wide
flow_timber_node1node143_t1: lb=0.0, ub=9.0, type=I, edge=node1node143, period=1, road_type=timber
flow_timber_node1node143_t2: lb=0.0, ub=9.0, type=I, edge=node1node143, period=2, road_type=timber
flow_timber_node1node143_t3: lb=0.0, ub=9.0, type=I, edge=node1node143, period=3, road_type=timber
flow_timber_node1node143_t4: lb=0.0, ub=9.0, type=I, edge=node1node143, period=4, road_type=timber
flow_timber_node1node143_t5: lb=0.0, ub=9.0, type=I, edge=node1node143, period=5, road_type=timber
flow_wide_node1node143_t1: lb=0.0, ub=9.0, type=I, edge=node1node143, period=1, road_type=wide
flow_wide_node1node143_t2: lb=0.0, ub=9.0, type=I, edge=node1node143, period=2, road_type=wide
flow_wide_node1node143_t3: lb=0.0, ub=9.0, type=I, edge=node1node143, period=3, road_type=wide
flow_wide_node1node143_t4: lb=0.0, ub=9.0, type=I, edge=node1node143, period=4, road_type=wide
flow_wide_node1node143_t5: lb=0.0, ub=9.0, type=I, edge=node1node143, period=5, road_type=wide
flow_timber_node1node76_t1: lb=0.0, ub=9.0, type=I, edge=node1node76, period=1, road_type=timber
flow_timber_node1node76_t2: lb=0.0, ub=9.0, type=I, edge=node1node76, period=2, road_type=timber
flow_timber_node1node76_t3: lb=0.0, ub=9.0, type=I, edge=node1node76, period=3, road_type=timber
flow_timber_node1node76_t4: lb=0.0, ub=9.0, type=I, edge=node1node76, period=4, road_type=timber
flow_timber_node1node76_t5: lb=0.0, ub=9.0, type=I, edge=node1node76, period=5, road_type=timber
flow_wide_node1node76_t1: lb=0.0, ub=9.0, type=I, edge=node1node76, period=1, road_type=wide
flow_wide_node1node76_t2: lb=0.0, ub=9.0, type=I, edge=node1node76, period=2, road_type=wide
flow_wide_node1node76_t3: lb=0.0, ub=9.0, type=I, edge=node1node76, period=3, road_type=wide
flow_wide_node1node76_t4: lb=0.0, ub=9.0, type=I, edge=node1node76, period=4, road_type=wide
flow_wide_node1node76_t5: lb=0.0, ub=9.0, type=I, edge=node1node76, period=5, road_type=wide
flow_timber_node1node257_t1: lb=0.0, ub=9.0, type=I, edge=node1node257, period=1, road_type=timber
flow_timber_node1node257_t2: lb=0.0, ub=9.0, type=I, edge=node1node257, period=2, road_type=timber
flow_timber_node1node257_t3: lb=0.0, ub=9.0, type=I, edge=node1node257, period=3, road_type=timber
flow_timber_node1node257_t4: lb=0.0, ub=9.0, type=I, edge=node1node257, period=4, road_type=timber
flow_timber_node1node257_t5: lb=0.0, ub=9.0, type=I, edge=node1node257, period=5, road_type=timber
flow_wide_node1node257_t1: lb=0.0, ub=9.0, type=I, edge=node1node257, period=1, road_type=wide
flow_wide_node1node257_t2: lb=0.0, ub=9.0, type=I, edge=node1node257, period=2, road_type=wide
flow_wide_node1node257_t3: lb=0.0, ub=9.0, type=I, edge=node1node257, period=3, road_type=wide
flow_wide_node1node257_t4: lb=0.0, ub=9.0, type=I, edge=node1node257, period=4, road_type=wide
flow_wide_node1node257_t5: lb=0.0, ub=9.0, type=I, edge=node1node257, period=5, road_type=wide
flow_timber_node1node259_t1: lb=0.0, ub=9.0, type=I, edge=node1node259, period=1, road_type=timber
flow_timber_node1node259_t2: lb=0.0, ub=9.0, type=I, edge=node1node259, period=2, road_type=timber
flow_timber_node1node259_t3: lb=0.0, ub=9.0, type=I, edge=node1node259, period=3, road_type=timber
flow_timber_node1node259_t4: lb=0.0, ub=9.0, type=I, edge=node1node259, period=4, road_type=timber
flow_timber_node1node259_t5: lb=0.0, ub=9.0, type=I, edge=node1node259, period=5, road_type=timber
flow_wide_node1node259_t1: lb=0.0, ub=9.0, type=I, edge=node1node259, period=1, road_type=wide
flow_wide_node1node259_t2: lb=0.0, ub=9.0, type=I, edge=node1node259, period=2, road_type=wide
flow_wide_node1node259_t3: lb=0.0, ub=9.0, type=I, edge=node1node259, period=3, road_type=wide
