flow_timber_node389node1_t1: lb=0.0, ub=9.0, type=I
flow_timber_node389node1_t2: lb=0.0, ub=9.0, type=I
flow_timber_node389node1_t3: lb=0.0, ub=9.0, type=I
flow_timber_node389node1_t4: lb=0.0, ub=9.0, type=I
flow_timber_node389node1_t5: lb=0.0, ub=9.0, type=I
flow_wide_node389node1_t1: lb=0.0, ub=9.0, type=I
flow_wide_node389node1_t2: lb=0.0, ub=9.0, type=I
flow_wide_node389node1_t3: lb=0.0, ub=9.0, type=I
flow_wide_node389node1_t4: lb=0.0, ub=9.0, type=I
flow_wide_node389node1_t5: lb=0.0, ub=9.0, type=I
flow_timber_node389node256_t1: lb=0.0, ub=9.0, type=I
flow_timber_node389node256_t2: lb=0.0, ub=9.0, type=I
flow_timber_node389node256_t3: lb=0.0, ub=9.0, type=I
flow_timber_node389node256_t4: lb=0.0, ub=9.0, type=I
flow_timber_node389node256_t5: lb=0.0, ub=9.0, type=I
flow_wide_node389node256_t1: lb=0.0, ub=9.0, type=I
flow_wide_node389node256_t2: lb=0.0, ub=9.0, type=I
flow_wide_node389node256_t3: lb=0.0, ub=9.0, type=I
flow_wide_node389node256_t4: lb=0.0, ub=9.0, type=I
flow_wide_node389node256_t5: lb=0.0, ub=9.0, type=I
flow_timber_node389node544_t1: lb=0.0, ub=9.0, type=I
flow_timber_node389node544_t2: lb=0.0, ub=9.0, type=I
flow_timber_node389node544_t3: lb=0.0, ub=9.0, type=I
flow_timber_node389node544_t4: lb=0.0, ub=9.0, type=I
flow_timber_node389node544_t5: lb=0.0, ub=9.0, type=I
flow_wide_node389node544_t1: lb=0.0, ub=9.0, type=I
flow_wide_node389node544_t2: lb=0.0, ub=9.0, type=I
flow_wide_node389node544_t3: lb=0.0, ub=9.0, type=I
flow_wide_node389node544_t4: lb=0.0, ub=9.0, type=I
flow_wide_node389node544_t5: lb=0.0, ub=9.0, type=I
flow_timber_node389node545_t1: lb=0.0, ub=9.0, type=I
flow_timber_node389node545_t2: lb=0.0, ub=9.0, type=I
flow_timber_node389node545_t3: lb=0.0, ub=9.0, type=I
flow_timber_node389node545_t4: lb=0.0, ub=9.0, type=I
flow_timber_node389node545_t5: lb=0.0, ub=9.0, type=I
flow_wide_node389node545_t1: lb=0.0, ub=9.0, type=I
flow_wide_node389node545_t2: lb=0.0, ub=9.0, type=I
flow_wide_node389node545_t3: lb=0.0, ub=9.0, type=I
flow_wide_node389node545_t4: lb=0.0, ub=9.0, type=I
flow_wide_node389node545_t5: lb=0.0, ub=9.0, type=I
