Component ID,Stand
17,OBJECTID
17,TARGET_FID
17,LandUse_1
17,Ocupacao
17,ID_UG
17,NOME
17,YY_correct
17,XX_Correct
17,Altitude
17,Declive
17,Litologia
17,Relevo
17,Uso
17,Espessura
17,Apt_flor
17,Solo
17,Classifica
17,Perimetro
17,Area
17,Hectares
17,UsoSolo20
17,Shape_Leng
17,Shape_Area
17,HBC
17,CH
17,CBD
17,CC
17,geometry
17,comp_id
