1286.0 * C_node2node29_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1082.78 * C_node2node29_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
767.6 * C_node2node29_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
544.17 * C_node2node29_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
385.77 * C_node2node29_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
273.48 * C_node2node29_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1928.0 * C_node2node29_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1623.32 * C_node2node29_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1150.81 * C_node2node29_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
815.83 * C_node2node29_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
578.36 * C_node2node29_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
410.01 * C_node2node29_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node323_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node323_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node323_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node323_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node323_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node323_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node323_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node323_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node323_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node323_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node323_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node323_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
187.0 * C_node3node186_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
157.45 * C_node3node186_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
111.62 * C_node3node186_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
79.13 * C_node3node186_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
56.1 * C_node3node186_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
39.77 * C_node3node186_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
280.0 * C_node3node186_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
235.75 * C_node3node186_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
167.13 * C_node3node186_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
118.48 * C_node3node186_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
83.99 * C_node3node186_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
59.54 * C_node3node186_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1355.0 * C_node3node111_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1140.87 * C_node3node111_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
808.79 * C_node3node111_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
573.36 * C_node3node111_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
406.47 * C_node3node111_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
288.15 * C_node3node111_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2030.0 * C_node3node111_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1709.21 * C_node3node111_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1211.69 * C_node3node111_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
858.99 * C_node3node111_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
608.95 * C_node3node111_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
431.7 * C_node3node111_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1834.0 * C_node3node61_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1544.18 * C_node3node61_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1094.7 * C_node3node61_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
776.05 * C_node3node61_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
550.16 * C_node3node61_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
390.02 * C_node3node61_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2750.0 * C_node3node61_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2315.43 * C_node3node61_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1641.45 * C_node3node61_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1163.65 * C_node3node61_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
824.94 * C_node3node61_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
584.81 * C_node3node61_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node271_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node271_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node271_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node271_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node271_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node271_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node271_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node271_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node271_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node271_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node271_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node271_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node273_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node273_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node273_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node273_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node273_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node273_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node273_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node273_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node273_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node273_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node273_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node273_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node276_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node276_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node276_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node276_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node276_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node276_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node276_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node276_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node276_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node276_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node276_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node276_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
197.0 * C_node4node218_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
165.87 * C_node4node218_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
117.59 * C_node4node218_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
83.36 * C_node4node218_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
59.1 * C_node4node218_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
41.89 * C_node4node218_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
296.0 * C_node4node218_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
249.22 * C_node4node218_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
176.68 * C_node4node218_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
125.25 * C_node4node218_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
88.79 * C_node4node218_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
62.95 * C_node4node218_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1285.0 * C_node4node217_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1081.94 * C_node4node217_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
767.0 * C_node4node217_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
543.74 * C_node4node217_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
385.47 * C_node4node217_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
273.27 * C_node4node217_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1928.0 * C_node4node217_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1623.32 * C_node4node217_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1150.81 * C_node4node217_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
815.83 * C_node4node217_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
578.36 * C_node4node217_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
410.01 * C_node4node217_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node300_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node300_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node300_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node300_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node300_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node300_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node300_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node300_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node300_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node300_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node300_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node300_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node301_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node301_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node301_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node301_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node301_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node301_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node301_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node301_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node301_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node301_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node301_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node301_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
497.0 * C_node5node84_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
418.46 * C_node5node84_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
296.65 * C_node5node84_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
210.3 * C_node5node84_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
149.09 * C_node5node84_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
105.69 * C_node5node84_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
746.0 * C_node5node84_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
628.11 * C_node5node84_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
445.28 * C_node5node84_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
315.67 * C_node5node84_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
223.78 * C_node5node84_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
158.64 * C_node5node84_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
558.0 * C_node5node101_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
469.82 * C_node5node101_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
333.06 * C_node5node101_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
236.12 * C_node5node101_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
167.39 * C_node5node101_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
118.66 * C_node5node101_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
837.0 * C_node5node101_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
704.73 * C_node5node101_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
499.6 * C_node5node101_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
354.17 * C_node5node101_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
251.08 * C_node5node101_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
178.0 * C_node5node101_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2195.0 * C_node5node215_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1848.13 * C_node5node215_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1310.17 * C_node5node215_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
928.81 * C_node5node215_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
658.45 * C_node5node215_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
466.79 * C_node5node215_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3293.0 * C_node5node215_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2772.62 * C_node5node215_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1965.56 * C_node5node215_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1393.42 * C_node5node215_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
987.82 * C_node5node215_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
700.29 * C_node5node215_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2303.0 * C_node5node43_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1939.06 * C_node5node43_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1374.64 * C_node5node43_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
974.51 * C_node5node43_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
690.85 * C_node5node43_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
489.75 * C_node5node43_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3451.0 * C_node5node43_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2905.65 * C_node5node43_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
