flow_timber_node79node14_t3: lb=0.0, ub=9.0, type=I, edge=node79node14, period=3, road_type=timber
flow_timber_node79node14_t4: lb=0.0, ub=9.0, type=I, edge=node79node14, period=4, road_type=timber
flow_timber_node79node14_t5: lb=0.0, ub=9.0, type=I, edge=node79node14, period=5, road_type=timber
flow_wide_node79node14_t1: lb=0.0, ub=9.0, type=I, edge=node79node14, period=1, road_type=wide
flow_wide_node79node14_t2: lb=0.0, ub=9.0, type=I, edge=node79node14, period=2, road_type=wide
flow_wide_node79node14_t3: lb=0.0, ub=9.0, type=I, edge=node79node14, period=3, road_type=wide
flow_wide_node79node14_t4: lb=0.0, ub=9.0, type=I, edge=node79node14, period=4, road_type=wide
flow_wide_node79node14_t5: lb=0.0, ub=9.0, type=I, edge=node79node14, period=5, road_type=wide
flow_timber_node79node96_t1: lb=0.0, ub=9.0, type=I, edge=node79node96, period=1, road_type=timber
flow_timber_node79node96_t2: lb=0.0, ub=9.0, type=I, edge=node79node96, period=2, road_type=timber
flow_timber_node79node96_t3: lb=0.0, ub=9.0, type=I, edge=node79node96, period=3, road_type=timber
flow_timber_node79node96_t4: lb=0.0, ub=9.0, type=I, edge=node79node96, period=4, road_type=timber
flow_timber_node79node96_t5: lb=0.0, ub=9.0, type=I, edge=node79node96, period=5, road_type=timber
flow_wide_node79node96_t1: lb=0.0, ub=9.0, type=I, edge=node79node96, period=1, road_type=wide
flow_wide_node79node96_t2: lb=0.0, ub=9.0, type=I, edge=node79node96, period=2, road_type=wide
flow_wide_node79node96_t3: lb=0.0, ub=9.0, type=I, edge=node79node96, period=3, road_type=wide
flow_wide_node79node96_t4: lb=0.0, ub=9.0, type=I, edge=node79node96, period=4, road_type=wide
flow_wide_node79node96_t5: lb=0.0, ub=9.0, type=I, edge=node79node96, period=5, road_type=wide
flow_timber_node79node119_t1: lb=0.0, ub=9.0, type=I, edge=node79node119, period=1, road_type=timber
flow_timber_node79node119_t2: lb=0.0, ub=9.0, type=I, edge=node79node119, period=2, road_type=timber
flow_timber_node79node119_t3: lb=0.0, ub=9.0, type=I, edge=node79node119, period=3, road_type=timber
flow_timber_node79node119_t4: lb=0.0, ub=9.0, type=I, edge=node79node119, period=4, road_type=timber
flow_timber_node79node119_t5: lb=0.0, ub=9.0, type=I, edge=node79node119, period=5, road_type=timber
flow_wide_node79node119_t1: lb=0.0, ub=9.0, type=I, edge=node79node119, period=1, road_type=wide
flow_wide_node79node119_t2: lb=0.0, ub=9.0, type=I, edge=node79node119, period=2, road_type=wide
flow_wide_node79node119_t3: lb=0.0, ub=9.0, type=I, edge=node79node119, period=3, road_type=wide
flow_wide_node79node119_t4: lb=0.0, ub=9.0, type=I, edge=node79node119, period=4, road_type=wide
flow_wide_node79node119_t5: lb=0.0, ub=9.0, type=I, edge=node79node119, period=5, road_type=wide
flow_timber_node79node144_t1: lb=0.0, ub=9.0, type=I, edge=node79node144, period=1, road_type=timber
flow_timber_node79node144_t2: lb=0.0, ub=9.0, type=I, edge=node79node144, period=2, road_type=timber
flow_timber_node79node144_t3: lb=0.0, ub=9.0, type=I, edge=node79node144, period=3, road_type=timber
flow_timber_node79node144_t4: lb=0.0, ub=9.0, type=I, edge=node79node144, period=4, road_type=timber
flow_timber_node79node144_t5: lb=0.0, ub=9.0, type=I, edge=node79node144, period=5, road_type=timber
