variable,coefficient,type,prefix,width,edge,period
C_node3node111_wide_t2,1211.69,B,C,wide,,2
C_node3node111_wide_t3,858.99,B,C,wide,,3
C_node3node111_wide_t4,608.95,B,C,wide,,4
C_node3node111_wide_t5,431.7,B,C,wide,,5
C_node3node61_timber_t0,1834.0,B,C,timber,,0
C_node3node61_timber_t1,1544.18,B,C,timber,,1
C_node3node61_timber_t2,1094.7,B,C,timber,,2
C_node3node61_timber_t3,776.05,B,C,timber,,3
C_node3node61_timber_t4,550.16,B,C,timber,,4
C_node3node61_timber_t5,390.02,B,C,timber,,5
C_node3node61_wide_t0,2750.0,B,C,wide,,0
C_node3node61_wide_t1,2315.43,B,C,wide,,1
C_node3node61_wide_t2,1641.45,B,C,wide,,2
C_node3node61_wide_t3,1163.65,B,C,wide,,3
C_node3node61_wide_t4,824.94,B,C,wide,,4
C_node3node61_wide_t5,584.81,B,C,wide,,5
C_node3node271_timber_t0,0.0,B,C,timber,,0
C_node3node271_timber_t1,0.0,B,C,timber,,1
C_node3node271_timber_t2,0.0,B,C,timber,,2
C_node3node271_timber_t3,0.0,B,C,timber,,3
C_node3node271_timber_t4,0.0,B,C,timber,,4
C_node3node271_timber_t5,0.0,B,C,timber,,5
C_node3node271_wide_t0,0.0,B,C,wide,,0
C_node3node271_wide_t1,0.0,B,C,wide,,1
C_node3node271_wide_t2,0.0,B,C,wide,,2
C_node3node271_wide_t3,0.0,B,C,wide,,3
C_node3node271_wide_t4,0.0,B,C,wide,,4
C_node3node271_wide_t5,0.0,B,C,wide,,5
C_node3node273_timber_t0,0.0,B,C,timber,,0
C_node3node273_timber_t1,0.0,B,C,timber,,1
C_node3node273_timber_t2,0.0,B,C,timber,,2
C_node3node273_timber_t3,0.0,B,C,timber,,3
C_node3node273_timber_t4,0.0,B,C,timber,,4
C_node3node273_timber_t5,0.0,B,C,timber,,5
C_node3node273_wide_t0,0.0,B,C,wide,,0
C_node3node273_wide_t1,0.0,B,C,wide,,1
C_node3node273_wide_t2,0.0,B,C,wide,,2
C_node3node273_wide_t3,0.0,B,C,wide,,3
C_node3node273_wide_t4,0.0,B,C,wide,,4
C_node3node273_wide_t5,0.0,B,C,wide,,5
C_node3node276_timber_t0,0.0,B,C,timber,,0
C_node3node276_timber_t1,0.0,B,C,timber,,1
C_node3node276_timber_t2,0.0,B,C,timber,,2
C_node3node276_timber_t3,0.0,B,C,timber,,3
C_node3node276_timber_t4,0.0,B,C,timber,,4
C_node3node276_timber_t5,0.0,B,C,timber,,5
C_node3node276_wide_t0,0.0,B,C,wide,,0
C_node3node276_wide_t1,0.0,B,C,wide,,1
C_node3node276_wide_t2,0.0,B,C,wide,,2
C_node3node276_wide_t3,0.0,B,C,wide,,3
C_node3node276_wide_t4,0.0,B,C,wide,,4
C_node3node276_wide_t5,0.0,B,C,wide,,5
C_node4node218_timber_t0,197.0,B,C,timber,,0
C_node4node218_timber_t1,165.87,B,C,timber,,1
C_node4node218_timber_t2,117.59,B,C,timber,,2
C_node4node218_timber_t3,83.36,B,C,timber,,3
C_node4node218_timber_t4,59.1,B,C,timber,,4
C_node4node218_timber_t5,41.89,B,C,timber,,5
C_node4node218_wide_t0,296.0,B,C,wide,,0
C_node4node218_wide_t1,249.22,B,C,wide,,1
C_node4node218_wide_t2,176.68,B,C,wide,,2
C_node4node218_wide_t3,125.25,B,C,wide,,3
C_node4node218_wide_t4,88.79,B,C,wide,,4
C_node4node218_wide_t5,62.95,B,C,wide,,5
C_node4node217_timber_t0,1285.0,B,C,timber,,0
C_node4node217_timber_t1,1081.94,B,C,timber,,1
C_node4node217_timber_t2,767.0,B,C,timber,,2
C_node4node217_timber_t3,543.74,B,C,timber,,3
C_node4node217_timber_t4,385.47,B,C,timber,,4
C_node4node217_timber_t5,273.27,B,C,timber,,5
C_node4node217_wide_t0,1928.0,B,C,wide,,0
C_node4node217_wide_t1,1623.32,B,C,wide,,1
C_node4node217_wide_t2,1150.81,B,C,wide,,2
C_node4node217_wide_t3,815.83,B,C,wide,,3
C_node4node217_wide_t4,578.36,B,C,wide,,4
C_node4node217_wide_t5,410.01,B,C,wide,,5
C_node4node300_timber_t0,0.0,B,C,timber,,0
C_node4node300_timber_t1,0.0,B,C,timber,,1
C_node4node300_timber_t2,0.0,B,C,timber,,2
C_node4node300_timber_t3,0.0,B,C,timber,,3
C_node4node300_timber_t4,0.0,B,C,timber,,4
C_node4node300_timber_t5,0.0,B,C,timber,,5
C_node4node300_wide_t0,0.0,B,C,wide,,0
C_node4node300_wide_t1,0.0,B,C,wide,,1
C_node4node300_wide_t2,0.0,B,C,wide,,2
C_node4node300_wide_t3,0.0,B,C,wide,,3
C_node4node300_wide_t4,0.0,B,C,wide,,4
C_node4node300_wide_t5,0.0,B,C,wide,,5
C_node4node301_timber_t0,0.0,B,C,timber,,0
C_node4node301_timber_t1,0.0,B,C,timber,,1
C_node4node301_timber_t2,0.0,B,C,timber,,2
C_node4node301_timber_t3,0.0,B,C,timber,,3
C_node4node301_timber_t4,0.0,B,C,timber,,4
C_node4node301_timber_t5,0.0,B,C,timber,,5
C_node4node301_wide_t0,0.0,B,C,wide,,0
C_node4node301_wide_t1,0.0,B,C,wide,,1
C_node4node301_wide_t2,0.0,B,C,wide,,2
C_node4node301_wide_t3,0.0,B,C,wide,,3
C_node4node301_wide_t4,0.0,B,C,wide,,4
C_node4node301_wide_t5,0.0,B,C,wide,,5
C_node5node84_timber_t0,497.0,B,C,timber,,0
C_node5node84_timber_t1,418.46,B,C,timber,,1
C_node5node84_timber_t2,296.65,B,C,timber,,2
C_node5node84_timber_t3,210.3,B,C,timber,,3
C_node5node84_timber_t4,149.09,B,C,timber,,4
C_node5node84_timber_t5,105.69,B,C,timber,,5
C_node5node84_wide_t0,746.0,B,C,wide,,0
C_node5node84_wide_t1,628.11,B,C,wide,,1
C_node5node84_wide_t2,445.28,B,C,wide,,2
C_node5node84_wide_t3,315.67,B,C,wide,,3
C_node5node84_wide_t4,223.78,B,C,wide,,4
C_node5node84_wide_t5,158.64,B,C,wide,,5
C_node5node101_timber_t0,558.0,B,C,timber,,0
C_node5node101_timber_t1,469.82,B,C,timber,,1
C_node5node101_timber_t2,333.06,B,C,timber,,2
C_node5node101_timber_t3,236.12,B,C,timber,,3
C_node5node101_timber_t4,167.39,B,C,timber,,4
C_node5node101_timber_t5,118.66,B,C,timber,,5
C_node5node101_wide_t0,837.0,B,C,wide,,0
C_node5node101_wide_t1,704.73,B,C,wide,,1
C_node5node101_wide_t2,499.6,B,C,wide,,2
C_node5node101_wide_t3,354.17,B,C,wide,,3
C_node5node101_wide_t4,251.08,B,C,wide,,4
C_node5node101_wide_t5,178.0,B,C,wide,,5
C_node5node215_timber_t0,2195.0,B,C,timber,,0
C_node5node215_timber_t1,1848.13,B,C,timber,,1
C_node5node215_timber_t2,1310.17,B,C,timber,,2
C_node5node215_timber_t3,928.81,B,C,timber,,3
C_node5node215_timber_t4,658.45,B,C,timber,,4
C_node5node215_timber_t5,466.79,B,C,timber,,5
C_node5node215_wide_t0,3293.0,B,C,wide,,0
C_node5node215_wide_t1,2772.62,B,C,wide,,1
C_node5node215_wide_t2,1965.56,B,C,wide,,2
C_node5node215_wide_t3,1393.42,B,C,wide,,3
C_node5node215_wide_t4,987.82,B,C,wide,,4
C_node5node215_wide_t5,700.29,B,C,wide,,5
C_node5node43_timber_t0,2303.0,B,C,timber,,0
C_node5node43_timber_t1,1939.06,B,C,timber,,1
C_node5node43_timber_t2,1374.64,B,C,timber,,2
C_node5node43_timber_t3,974.51,B,C,timber,,3
C_node5node43_timber_t4,690.85,B,C,timber,,4
C_node5node43_timber_t5,489.75,B,C,timber,,5
C_node5node43_wide_t0,3451.0,B,C,wide,,0
C_node5node43_wide_t1,2905.65,B,C,wide,,1
C_node5node43_wide_t2,2059.87,B,C,wide,,2
C_node5node43_wide_t3,1460.28,B,C,wide,,3
C_node5node43_wide_t4,1035.22,B,C,wide,,4
C_node5node43_wide_t5,733.89,B,C,wide,,5
C_node5node287_timber_t0,0.0,B,C,timber,,0
C_node5node287_timber_t1,0.0,B,C,timber,,1
C_node5node287_timber_t2,0.0,B,C,timber,,2
C_node5node287_timber_t3,0.0,B,C,timber,,3
C_node5node287_timber_t4,0.0,B,C,timber,,4
C_node5node287_timber_t5,0.0,B,C,timber,,5
C_node5node287_wide_t0,0.0,B,C,wide,,0
C_node5node287_wide_t1,0.0,B,C,wide,,1
C_node5node287_wide_t2,0.0,B,C,wide,,2
C_node5node287_wide_t3,0.0,B,C,wide,,3
C_node5node287_wide_t4,0.0,B,C,wide,,4
C_node5node287_wide_t5,0.0,B,C,wide,,5
C_node5node297_timber_t0,0.0,B,C,timber,,0
C_node5node297_timber_t1,0.0,B,C,timber,,1
C_node5node297_timber_t2,0.0,B,C,timber,,2
C_node5node297_timber_t3,0.0,B,C,timber,,3
C_node5node297_timber_t4,0.0,B,C,timber,,4
C_node5node297_timber_t5,0.0,B,C,timber,,5
C_node5node297_wide_t0,0.0,B,C,wide,,0
C_node5node297_wide_t1,0.0,B,C,wide,,1
C_node5node297_wide_t2,0.0,B,C,wide,,2
C_node5node297_wide_t3,0.0,B,C,wide,,3
C_node5node297_wide_t4,0.0,B,C,wide,,4
C_node5node297_wide_t5,0.0,B,C,wide,,5
C_node5node298_timber_t0,0.0,B,C,timber,,0
C_node5node298_timber_t1,0.0,B,C,timber,,1
C_node5node298_timber_t2,0.0,B,C,timber,,2
C_node5node298_timber_t3,0.0,B,C,timber,,3
C_node5node298_timber_t4,0.0,B,C,timber,,4
C_node5node298_timber_t5,0.0,B,C,timber,,5
C_node5node298_wide_t0,0.0,B,C,wide,,0
C_node5node298_wide_t1,0.0,B,C,wide,,1
C_node5node298_wide_t2,0.0,B,C,wide,,2
C_node5node298_wide_t3,0.0,B,C,wide,,3
C_node5node298_wide_t4,0.0,B,C,wide,,4
C_node5node298_wide_t5,0.0,B,C,wide,,5
C_node5node299_timber_t0,0.0,B,C,timber,,0
C_node5node299_timber_t1,0.0,B,C,timber,,1
C_node5node299_timber_t2,0.0,B,C,timber,,2
C_node5node299_timber_t3,0.0,B,C,timber,,3
C_node5node299_timber_t4,0.0,B,C,timber,,4
C_node5node299_timber_t5,0.0,B,C,timber,,5
C_node5node299_wide_t0,0.0,B,C,wide,,0
C_node5node299_wide_t1,0.0,B,C,wide,,1
C_node5node299_wide_t2,0.0,B,C,wide,,2
C_node5node299_wide_t3,0.0,B,C,wide,,3
C_node5node299_wide_t4,0.0,B,C,wide,,4
C_node5node299_wide_t5,0.0,B,C,wide,,5
C_node6node7_timber_t0,653.0,B,C,timber,,0
C_node6node7_timber_t1,549.81,B,C,timber,,1
C_node6node7_timber_t2,389.77,B,C,timber,,2
C_node6node7_timber_t3,276.31,B,C,timber,,3
C_node6node7_timber_t4,195.88,B,C,timber,,4
C_node6node7_timber_t5,138.87,B,C,timber,,5
C_node6node7_wide_t0,980.0,B,C,wide,,0
C_node6node7_wide_t1,825.13,B,C,wide,,1
C_node6node7_wide_t2,584.95,B,C,wide,,2
C_node6node7_wide_t3,414.68,B,C,wide,,3
C_node6node7_wide_t4,293.98,B,C,wide,,4
C_node6node7_wide_t5,208.41,B,C,wide,,5
C_node6node161_timber_t0,4923.0,B,C,timber,,0
C_node6node161_timber_t1,4145.03,B,C,timber,,1
C_node6node161_timber_t2,2938.49,B,C,timber,,2
C_node6node161_timber_t3,2083.15,B,C,timber,,3
C_node6node161_timber_t4,1476.79,B,C,timber,,4
C_node6node161_timber_t5,1046.92,B,C,timber,,5
C_node6node161_wide_t0,7382.0,B,C,wide,,0
C_node6node161_wide_t1,6215.45,B,C,wide,,1
C_node6node161_wide_t2,4406.25,B,C,wide,,2
C_node6node161_wide_t3,3123.67,B,C,wide,,3
C_node6node161_wide_t4,2214.43,B,C,wide,,4
C_node6node161_wide_t5,1569.85,B,C,wide,,5
C_node6node331_timber_t0,0.0,B,C,timber,,0
C_node6node331_timber_t1,0.0,B,C,timber,,1
C_node6node331_timber_t2,0.0,B,C,timber,,2
C_node6node331_timber_t3,0.0,B,C,timber,,3
C_node6node331_timber_t4,0.0,B,C,timber,,4
C_node6node331_timber_t5,0.0,B,C,timber,,5
C_node6node331_wide_t0,0.0,B,C,wide,,0
C_node6node331_wide_t1,0.0,B,C,wide,,1
C_node6node331_wide_t2,0.0,B,C,wide,,2
C_node6node331_wide_t3,0.0,B,C,wide,,3
C_node6node331_wide_t4,0.0,B,C,wide,,4
C_node6node331_wide_t5,0.0,B,C,wide,,5
C_node7node87_timber_t0,280.0,B,C,timber,,0
C_node7node87_timber_t1,235.75,B,C,timber,,1
C_node7node87_timber_t2,167.13,B,C,timber,,2
C_node7node87_timber_t3,118.48,B,C,timber,,3
C_node7node87_timber_t4,83.99,B,C,timber,,4
C_node7node87_timber_t5,59.54,B,C,timber,,5
C_node7node87_wide_t0,420.0,B,C,wide,,0
C_node7node87_wide_t1,353.63,B,C,wide,,1
C_node7node87_wide_t2,250.69,B,C,wide,,2
C_node7node87_wide_t3,177.72,B,C,wide,,3
C_node7node87_wide_t4,125.99,B,C,wide,,4
C_node7node87_wide_t5,89.32,B,C,wide,,5
C_node7node268_timber_t0,2511.0,B,C,timber,,0
C_node7node268_timber_t1,2114.19,B,C,timber,,1
C_node7node268_timber_t2,1498.79,B,C,timber,,2
C_node7node268_timber_t3,1062.52,B,C,timber,,3
C_node7node268_timber_t4,753.24,B,C,timber,,4
C_node7node268_timber_t5,533.99,B,C,timber,,5
C_node7node268_wide_t0,3766.0,B,C,wide,,0
C_node7node268_wide_t1,3170.87,B,C,wide,,1
C_node7node268_wide_t2,2247.89,B,C,wide,,2
C_node7node268_wide_t3,1593.57,B,C,wide,,3
C_node7node268_wide_t4,1129.71,B,C,wide,,4
C_node7node268_wide_t5,800.87,B,C,wide,,5
C_node7node331_timber_t0,0.0,B,C,timber,,0
C_node7node331_timber_t1,0.0,B,C,timber,,1
