variable,coefficient,type,prefix,width,edge,period
C_node1node42_timber_t0,1842.0,B,C,timber,,0
C_node1node42_timber_t1,1550.91,B,C,timber,,1
C_node1node42_timber_t2,1099.47,B,C,timber,,2
C_node1node42_timber_t3,779.44,B,C,timber,,3
C_node1node42_timber_t4,552.56,B,C,timber,,4
C_node1node42_timber_t5,391.72,B,C,timber,,5
C_node1node42_wide_t0,2763.0,B,C,wide,,0
C_node1node42_wide_t1,2326.37,B,C,wide,,1
C_node1node42_wide_t2,1649.21,B,C,wide,,2
C_node1node42_wide_t3,1169.16,B,C,wide,,3
C_node1node42_wide_t4,828.84,B,C,wide,,4
C_node1node42_wide_t5,587.58,B,C,wide,,5
C_node1node4_timber_t0,1389.0,B,C,timber,,0
C_node1node4_timber_t1,1169.5,B,C,timber,,1
C_node1node4_timber_t2,829.08,B,C,timber,,2
C_node1node4_timber_t3,587.75,B,C,timber,,3
C_node1node4_timber_t4,416.67,B,C,timber,,4
C_node1node4_timber_t5,295.38,B,C,timber,,5
C_node1node4_wide_t0,2082.0,B,C,wide,,0
C_node1node4_wide_t1,1752.99,B,C,wide,,1
C_node1node4_wide_t2,1242.73,B,C,wide,,2
C_node1node4_wide_t3,880.99,B,C,wide,,3
C_node1node4_wide_t4,624.55,B,C,wide,,4
C_node1node4_wide_t5,442.76,B,C,wide,,5
C_node1node39_timber_t0,1375.0,B,C,timber,,0
C_node1node39_timber_t1,1157.71,B,C,timber,,1
C_node1node39_timber_t2,820.72,B,C,timber,,2
C_node1node39_timber_t3,581.83,B,C,timber,,3
C_node1node39_timber_t4,412.47,B,C,timber,,4
C_node1node39_timber_t5,292.41,B,C,timber,,5
C_node1node39_wide_t0,2062.0,B,C,wide,,0
C_node1node39_wide_t1,1736.15,B,C,wide,,1
C_node1node39_wide_t2,1230.79,B,C,wide,,2
C_node1node39_wide_t3,872.53,B,C,wide,,3
C_node1node39_wide_t4,618.55,B,C,wide,,4
C_node1node39_wide_t5,438.5,B,C,wide,,5
C_node1node92_timber_t0,0.0,B,C,timber,,0
C_node1node92_timber_t1,0.0,B,C,timber,,1
C_node1node92_timber_t2,0.0,B,C,timber,,2
C_node1node92_timber_t3,0.0,B,C,timber,,3
C_node1node92_timber_t4,0.0,B,C,timber,,4
C_node1node92_timber_t5,0.0,B,C,timber,,5
C_node1node92_wide_t0,0.0,B,C,wide,,0
C_node1node92_wide_t1,0.0,B,C,wide,,1
C_node1node92_wide_t2,0.0,B,C,wide,,2
C_node1node92_wide_t3,0.0,B,C,wide,,3
C_node1node92_wide_t4,0.0,B,C,wide,,4
C_node1node92_wide_t5,0.0,B,C,wide,,5
C_node1node93_timber_t0,0.0,B,C,timber,,0
C_node1node93_timber_t1,0.0,B,C,timber,,1
C_node1node93_timber_t2,0.0,B,C,timber,,2
C_node1node93_timber_t3,0.0,B,C,timber,,3
C_node1node93_timber_t4,0.0,B,C,timber,,4
C_node1node93_timber_t5,0.0,B,C,timber,,5
C_node1node93_wide_t0,0.0,B,C,wide,,0
C_node1node93_wide_t1,0.0,B,C,wide,,1
C_node1node93_wide_t2,0.0,B,C,wide,,2
C_node1node93_wide_t3,0.0,B,C,wide,,3
C_node1node93_wide_t4,0.0,B,C,wide,,4
C_node1node93_wide_t5,0.0,B,C,wide,,5
C_node1node94_timber_t0,0.0,B,C,timber,,0
C_node1node94_timber_t1,0.0,B,C,timber,,1
C_node1node94_timber_t2,0.0,B,C,timber,,2
C_node1node94_timber_t3,0.0,B,C,timber,,3
C_node1node94_timber_t4,0.0,B,C,timber,,4
C_node1node94_timber_t5,0.0,B,C,timber,,5
C_node1node94_wide_t0,0.0,B,C,wide,,0
C_node1node94_wide_t1,0.0,B,C,wide,,1
C_node1node94_wide_t2,0.0,B,C,wide,,2
C_node1node94_wide_t3,0.0,B,C,wide,,3
C_node1node94_wide_t4,0.0,B,C,wide,,4
C_node1node94_wide_t5,0.0,B,C,wide,,5
C_node2node74_timber_t0,541.0,B,C,timber,,0
C_node2node74_timber_t1,455.51,B,C,timber,,1
C_node2node74_timber_t2,322.92,B,C,timber,,2
C_node2node74_timber_t3,228.92,B,C,timber,,3
C_node2node74_timber_t4,162.29,B,C,timber,,4
C_node2node74_timber_t5,115.05,B,C,timber,,5
C_node2node74_wide_t0,812.0,B,C,wide,,0
C_node2node74_wide_t1,683.68,B,C,wide,,1
C_node2node74_wide_t2,484.68,B,C,wide,,2
C_node2node74_wide_t3,343.6,B,C,wide,,3
C_node2node74_wide_t4,243.58,B,C,wide,,4
C_node2node74_wide_t5,172.68,B,C,wide,,5
C_node2node79_timber_t0,665.0,B,C,timber,,0
C_node2node79_timber_t1,559.91,B,C,timber,,1
C_node2node79_timber_t2,396.93,B,C,timber,,2
C_node2node79_timber_t3,281.39,B,C,timber,,3
C_node2node79_timber_t4,199.48,B,C,timber,,4
C_node2node79_timber_t5,141.42,B,C,timber,,5
C_node2node79_wide_t0,998.0,B,C,wide,,0
C_node2node79_wide_t1,840.29,B,C,wide,,1
C_node2node79_wide_t2,595.7,B,C,wide,,2
C_node2node79_wide_t3,422.3,B,C,wide,,3
C_node2node79_wide_t4,299.38,B,C,wide,,4
C_node2node79_wide_t5,212.23,B,C,wide,,5
C_node2node50_timber_t0,1915.0,B,C,timber,,0
C_node2node50_timber_t1,1612.38,B,C,timber,,1
C_node2node50_timber_t2,1143.05,B,C,timber,,2
C_node2node50_timber_t3,810.33,B,C,timber,,3
C_node2node50_timber_t4,574.46,B,C,timber,,4
C_node2node50_timber_t5,407.24,B,C,timber,,5
C_node2node50_wide_t0,2870.0,B,C,wide,,0
C_node2node50_wide_t1,2416.46,B,C,wide,,1
C_node2node50_wide_t2,1713.08,B,C,wide,,2
C_node2node50_wide_t3,1214.43,B,C,wide,,3
C_node2node50_wide_t4,860.93,B,C,wide,,4
C_node2node50_wide_t5,610.33,B,C,wide,,5
