flow_timber_node10node7_t3: lb=0.0, ub=9.0, type=I, edge=node10node7, period=3, road_type=timber
flow_timber_node10node7_t4: lb=0.0, ub=9.0, type=I, edge=node10node7, period=4, road_type=timber
flow_timber_node10node7_t5: lb=0.0, ub=9.0, type=I, edge=node10node7, period=5, road_type=timber
flow_wide_node10node7_t1: lb=0.0, ub=9.0, type=I, edge=node10node7, period=1, road_type=wide
flow_wide_node10node7_t2: lb=0.0, ub=9.0, type=I, edge=node10node7, period=2, road_type=wide
flow_wide_node10node7_t3: lb=0.0, ub=9.0, type=I, edge=node10node7, period=3, road_type=wide
flow_wide_node10node7_t4: lb=0.0, ub=9.0, type=I, edge=node10node7, period=4, road_type=wide
flow_wide_node10node7_t5: lb=0.0, ub=9.0, type=I, edge=node10node7, period=5, road_type=wide
flow_timber_node10node19_t1: lb=0.0, ub=9.0, type=I, edge=node10node19, period=1, road_type=timber
flow_timber_node10node19_t2: lb=0.0, ub=9.0, type=I, edge=node10node19, period=2, road_type=timber
flow_timber_node10node19_t3: lb=0.0, ub=9.0, type=I, edge=node10node19, period=3, road_type=timber
flow_timber_node10node19_t4: lb=0.0, ub=9.0, type=I, edge=node10node19, period=4, road_type=timber
flow_timber_node10node19_t5: lb=0.0, ub=9.0, type=I, edge=node10node19, period=5, road_type=timber
flow_wide_node10node19_t1: lb=0.0, ub=9.0, type=I, edge=node10node19, period=1, road_type=wide
flow_wide_node10node19_t2: lb=0.0, ub=9.0, type=I, edge=node10node19, period=2, road_type=wide
flow_wide_node10node19_t3: lb=0.0, ub=9.0, type=I, edge=node10node19, period=3, road_type=wide
flow_wide_node10node19_t4: lb=0.0, ub=9.0, type=I, edge=node10node19, period=4, road_type=wide
flow_wide_node10node19_t5: lb=0.0, ub=9.0, type=I, edge=node10node19, period=5, road_type=wide
flow_timber_node10node20_t1: lb=0.0, ub=9.0, type=I, edge=node10node20, period=1, road_type=timber
flow_timber_node10node20_t2: lb=0.0, ub=9.0, type=I, edge=node10node20, period=2, road_type=timber
flow_timber_node10node20_t3: lb=0.0, ub=9.0, type=I, edge=node10node20, period=3, road_type=timber
flow_timber_node10node20_t4: lb=0.0, ub=9.0, type=I, edge=node10node20, period=4, road_type=timber
flow_timber_node10node20_t5: lb=0.0, ub=9.0, type=I, edge=node10node20, period=5, road_type=timber
flow_wide_node10node20_t1: lb=0.0, ub=9.0, type=I, edge=node10node20, period=1, road_type=wide
flow_wide_node10node20_t2: lb=0.0, ub=9.0, type=I, edge=node10node20, period=2, road_type=wide
flow_wide_node10node20_t3: lb=0.0, ub=9.0, type=I, edge=node10node20, period=3, road_type=wide
flow_wide_node10node20_t4: lb=0.0, ub=9.0, type=I, edge=node10node20, period=4, road_type=wide
flow_wide_node10node20_t5: lb=0.0, ub=9.0, type=I, edge=node10node20, period=5, road_type=wide
flow_timber_node15node1_t1: lb=0.0, ub=9.0, type=I, edge=node15node1, period=1, road_type=timber
flow_timber_node15node1_t2: lb=0.0, ub=9.0, type=I, edge=node15node1, period=2, road_type=timber
flow_timber_node15node1_t3: lb=0.0, ub=9.0, type=I, edge=node15node1, period=3, road_type=timber
flow_timber_node15node1_t4: lb=0.0, ub=9.0, type=I, edge=node15node1, period=4, road_type=timber
