variable,value,node_type_info,action,road_type,edge,period
C_node1node67_timber_t1,1.0,node1transit_node67source,C,timber,node1node67,1.0
C_node2node66_timber_t1,1.0,node2transit_node66source,C,timber,node2node66,1.0
C_node6node64_timber_t1,1.0,node6transit_node64source,C,timber,node6node64,1.0
C_node6node67_timber_t1,1.0,node6transit_node67source,C,timber,node6node67,1.0
C_node7node67_timber_t1,1.0,node7transit_node67source,C,timber,node7node67,1.0
C_node8node63_timber_t1,1.0,node8transit_node63source,C,timber,node8node63,1.0
C_node8node67_timber_t1,1.0,node8transit_node67source,C,timber,node8node67,1.0
C_node8node67_timber_t4,1.0,node8transit_node67source,C,timber,node8node67,4.0
C_node8node68_timber_t1,1.0,node8transit_node68source,C,timber,node8node68,1.0
C_node8node68_timber_t3,1.0,node8transit_node68source,C,timber,node8node68,3.0
C_node9node66_timber_t1,1.0,node9transit_node66source,C,timber,node9node66,1.0
C_node9node66_timber_t4,1.0,node9transit_node66source,C,timber,node9node66,4.0
C_node10node66_timber_t1,1.0,node10transit_node66source,C,timber,node10node66,1.0
C_node10node66_timber_t4,1.0,node10transit_node66source,C,timber,node10node66,4.0
C_node11node23_timber_t1,1.0,node11transit_node23transit,C,timber,node11node23,1.0
C_node11node47_timber_t1,1.0,node11transit_node47transit,C,timber,node11node47,1.0
C_node12node27_timber_t1,1.0,node12transit_node27transit,C,timber,node12node27,1.0
C_node12node13_timber_t1,1.0,node12transit_node13transit,C,timber,node12node13,1.0
C_node12node65_timber_t1,1.0,node12transit_node65source,C,timber,node12node65,1.0
C_node12node67_timber_t1,1.0,node12transit_node67source,C,timber,node12node67,1.0
C_node12node67_wide_t4,1.0,node12transit_node67source,C,wide,node12node67,4.0
C_node13node47_timber_t1,1.0,node13transit_node47transit,C,timber,node13node47,1.0
C_node13node65_timber_t1,1.0,node13transit_node65source,C,timber,node13node65,1.0
C_node14node67_timber_t1,1.0,node14transit_node67source,C,timber,node14node67,1.0
C_node16node67_timber_t1,1.0,node16transit_node67source,C,timber,node16node67,1.0
C_node16node67_timber_t3,1.0,node16transit_node67source,C,timber,node16node67,3.0
C_node17node22_timber_t1,1.0,node17transit_node22transit,C,timber,node17node22,1.0
C_node17node22_timber_t4,1.0,node17transit_node22transit,C,timber,node17node22,4.0
C_node17node28_timber_t1,1.0,node17transit_node28transit,C,timber,node17node28,1.0
