variable,lb,ub,type,var_type_letter,road_type,edge,period,discounted_cost
C_node2node11_wide_t2,0.0,1.0,B,C,wide,node2node11,2,1880.21
C_node2node11_wide_t3,0.0,1.0,B,C,wide,node2node11,3,1332.91
C_node2node11_wide_t4,0.0,1.0,B,C,wide,node2node11,4,944.93
C_node2node11_wide_t5,0.0,1.0,B,C,wide,node2node11,5,669.88
C_node2node38_timber_t0,0.0,0.0,B,C,timber,node2node38,0,0.0
C_node2node38_timber_t1,0.0,1.0,B,C,timber,node2node38,1,0.0
C_node2node38_timber_t2,0.0,1.0,B,C,timber,node2node38,2,0.0
C_node2node38_timber_t3,0.0,1.0,B,C,timber,node2node38,3,0.0
C_node2node38_timber_t4,0.0,1.0,B,C,timber,node2node38,4,0.0
C_node2node38_timber_t5,0.0,1.0,B,C,timber,node2node38,5,0.0
C_node2node38_wide_t0,0.0,0.0,B,C,wide,node2node38,0,0.0
C_node2node38_wide_t1,0.0,1.0,B,C,wide,node2node38,1,0.0
C_node2node38_wide_t2,0.0,1.0,B,C,wide,node2node38,2,0.0
C_node2node38_wide_t3,0.0,1.0,B,C,wide,node2node38,3,0.0
C_node2node38_wide_t4,0.0,1.0,B,C,wide,node2node38,4,0.0
C_node2node38_wide_t5,0.0,1.0,B,C,wide,node2node38,5,0.0
C_node3node29_timber_t0,0.0,0.0,B,C,timber,node3node29,0,172.0
C_node3node29_timber_t1,0.0,1.0,B,C,timber,node3node29,1,144.82
C_node3node29_timber_t2,0.0,1.0,B,C,timber,node3node29,2,102.67
C_node3node29_timber_t3,0.0,1.0,B,C,timber,node3node29,3,72.78
C_node3node29_timber_t4,0.0,1.0,B,C,timber,node3node29,4,51.6
C_node3node29_timber_t5,0.0,1.0,B,C,timber,node3node29,5,36.58
C_node3node29_wide_t0,0.0,0.0,B,C,wide,node3node29,0,257.0
C_node3node29_wide_t1,0.0,1.0,B,C,wide,node3node29,1,216.39
C_node3node29_wide_t2,0.0,1.0,B,C,wide,node3node29,2,153.4
C_node3node29_wide_t3,0.0,1.0,B,C,wide,node3node29,3,108.75
C_node3node29_wide_t4,0.0,1.0,B,C,wide,node3node29,4,77.09
C_node3node29_wide_t5,0.0,1.0,B,C,wide,node3node29,5,54.65
C_node3node38_timber_t0,0.0,0.0,B,C,timber,node3node38,0,0.0
C_node3node38_timber_t1,0.0,1.0,B,C,timber,node3node38,1,0.0
C_node3node38_timber_t2,0.0,1.0,B,C,timber,node3node38,2,0.0
C_node3node38_timber_t3,0.0,1.0,B,C,timber,node3node38,3,0.0
C_node3node38_timber_t4,0.0,1.0,B,C,timber,node3node38,4,0.0
C_node3node38_timber_t5,0.0,1.0,B,C,timber,node3node38,5,0.0
C_node3node38_wide_t0,0.0,0.0,B,C,wide,node3node38,0,0.0
C_node3node38_wide_t1,0.0,1.0,B,C,wide,node3node38,1,0.0
C_node3node38_wide_t2,0.0,1.0,B,C,wide,node3node38,2,0.0
C_node3node38_wide_t3,0.0,1.0,B,C,wide,node3node38,3,0.0
C_node3node38_wide_t4,0.0,1.0,B,C,wide,node3node38,4,0.0
C_node3node38_wide_t5,0.0,1.0,B,C,wide,node3node38,5,0.0
C_node4node7_timber_t0,0.0,0.0,B,C,timber,node4node7,0,736.0
C_node4node7_timber_t1,0.0,1.0,B,C,timber,node4node7,1,619.69
C_node4node7_timber_t2,0.0,1.0,B,C,timber,node4node7,2,439.31
C_node4node7_timber_t3,0.0,1.0,B,C,timber,node4node7,3,311.44
C_node4node7_timber_t4,0.0,1.0,B,C,timber,node4node7,4,220.78
C_node4node7_timber_t5,0.0,1.0,B,C,timber,node4node7,5,156.52
C_node4node7_wide_t0,0.0,0.0,B,C,wide,node4node7,0,1105.0
C_node4node7_wide_t1,0.0,1.0,B,C,wide,node4node7,1,930.38
C_node4node7_wide_t2,0.0,1.0,B,C,wide,node4node7,2,659.56
C_node4node7_wide_t3,0.0,1.0,B,C,wide,node4node7,3,467.58
C_node4node7_wide_t4,0.0,1.0,B,C,wide,node4node7,4,331.47
C_node4node7_wide_t5,0.0,1.0,B,C,wide,node4node7,5,234.99
C_node4node20_timber_t0,0.0,0.0,B,C,timber,node4node20,0,109.0
C_node4node20_timber_t1,0.0,1.0,B,C,timber,node4node20,1,91.78
C_node4node20_timber_t2,0.0,1.0,B,C,timber,node4node20,2,65.06
C_node4node20_timber_t3,0.0,1.0,B,C,timber,node4node20,3,46.12
C_node4node20_timber_t4,0.0,1.0,B,C,timber,node4node20,4,32.7
C_node4node20_timber_t5,0.0,1.0,B,C,timber,node4node20,5,23.18
C_node4node20_wide_t0,0.0,0.0,B,C,wide,node4node20,0,164.0
C_node4node20_wide_t1,0.0,1.0,B,C,wide,node4node20,1,138.08
