"Source(x,y)","Target(x,y)"
"(-16120.49752, 152876.47555)","(-16038.15528, 152952.45721)"
"(-16144.48283, 153033.32127)","(-16038.15528, 152952.45721)"
"(-15869.34628, 152722.89841)","(-16038.15528, 152952.45721)"
"(-16045.07031, 152794.84578)","(-16038.15528, 152952.45721)"
"(-16221.23741, 153236.87723)","(-16038.15528, 152952.45721)"
"(-15409.51008, 152244.57003)","(-15903.64098, 152607.73781)"
"(-16010.10678, 152678.39471)","(-15903.64098, 152607.73781)"
"(-16215.24778, 152418.35831)","(-15903.64098, 152607.73781)"
"(-15585.5948, 152594.62126)","(-15903.64098, 152607.73781)"
"(-16575.29986, 152696.02145)","(-15903.64098, 152607.73781)"
"(-16756.01788, 151742.93331)","(-16655.18808, 151717.04081)"
"(-16548.84028, 151754.86031)","(-16655.18808, 151717.04081)"
"(-16852.23272, 151877.41965)","(-16655.18808, 151717.04081)"
"(-16660.03048, 152548.65151)","(-17189.48068, 152766.05181)"
"(-17287.64548, 152561.15991)","(-17189.48068, 152766.05181)"
"(-16492.43778, 152797.65291)","(-17189.48068, 152766.05181)"
"(-17046.67685, 152566.31793)","(-17189.48068, 152766.05181)"
"(-16575.29986, 152696.02145)","(-17189.48068, 152766.05181)"
"(-16358.86138, 151892.25831)","(-16215.24778, 152418.35831)"
"(-16309.70131, 152580.36063)","(-16215.24778, 152418.35831)"
"(-16335.19862, 152327.4503)","(-16215.24778, 152418.35831)"
"(-16575.29986, 152696.02145)","(-16215.24778, 152418.35831)"
"(-16374.17248, 152194.81661)","(-16358.76038, 151937.50841)"
"(-16358.79092, 151923.82668)","(-16358.76038, 151937.50841)"
"(-17038.09238, 152233.35931)","(-16358.76038, 151937.50841)"
"(-16806.09839, 152028.12952)","(-16358.76038, 151937.50841)"
"(-16632.77399, 152143.35618)","(-16358.76038, 151937.50841)"
"(-16335.19862, 152327.4503)","(-16358.76038, 151937.50841)"
"(-17124.67922, 152350.38854)","(-17075.48728, 152358.91511)"
"(-16750.26188, 152458.55281)","(-17075.48728, 152358.91511)"
"(-17218.19248, 152317.71578)","(-17075.48728, 152358.91511)"
"(-17046.67685, 152566.31793)","(-17075.48728, 152358.91511)"
"(-16935.25928, 152275.25061)","(-16844.74508, 152346.92351)"
"(-16462.62528, 152381.74381)","(-16844.74508, 152346.92351)"
"(-16761.84323, 152452.60718)","(-16844.74508, 152346.92351)"
"(-17218.19248, 152317.71578)","(-16844.74508, 152346.92351)"
"(-16585.7973, 152284.62888)","(-16844.74508, 152346.92351)"
"(-16790.56244, 151758.26289)","(-16960.78248, 151825.78471)"
"(-17073.27228, 152007.69721)","(-16960.78248, 151825.78471)"
"(-16852.23272, 151877.41965)","(-16960.78248, 151825.78471)"
"(-16358.79857, 151920.39891)","(-16358.86138, 151892.25831)"
"(-16548.84028, 151754.86031)","(-16358.86138, 151892.25831)"
"(-16806.09839, 152028.12952)","(-16358.86138, 151892.25831)"
"(-16335.19862, 152327.4503)","(-16358.86138, 151892.25831)"
"(-16114.27338, 152684.53441)","(-16492.43778, 152797.65291)"
"(-16224.79708, 152800.02881)","(-16492.43778, 152797.65291)"
