"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-16844.74508, 152346.92351)","(-16761.84323, 152452.60718)",0.17115319236761128,True,False,1286,460,1930,460,964,False,"[(-16829.37138, 152355.82881), (-16797.54158, 152391.33871), (-16753.67178, 152413.62691), (-16777.37828, 152444.63181)]"
"(-16844.74508, 152346.92351)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-16844.74508, 152346.92351)","(-16585.7973, 152284.62888)",0.0,False,True,0,0,0,0,0,False,
"(-16960.78248, 151825.78471)","(-16790.56244, 151758.26289)",0.18517622173242934,True,False,1392,497,2088,497,1043,False,"[(-16845.58098, 151775.15191), (-16822.57968, 151765.69601), (-16812.35088, 151761.49081), (-16883.78858, 151790.85961)]"
"(-16960.78248, 151825.78471)","(-17073.27228, 152007.69721)",0.7203274892242543,True,False,5413,1933,8118,1933,4060,False,"[(-17259.68998, 151768.46221), (-17246.90108, 151776.31611), (-17233.82998, 151784.34341), (-17221.92668, 151791.65341), (-17265.18518, 151774.85611), (-17108.59098, 151884.49271), (-17105.11298, 151926.29041), (-17093.86808, 151967.30091)]"
"(-16960.78248, 151825.78471)","(-16852.23272, 151877.41965)",0.0,False,True,0,0,0,0,0,False,
"(-16358.86138, 151892.25831)","(-16358.79857, 151920.39891)",0.028140670096058733,True,False,211,76,317,76,159,27.5275,
"(-16358.86138, 151892.25831)","(-16548.84028, 151754.86031)",0.23770272632240516,False,False,1786,637,2681,637,1339,False,"[(-16358.87318, 151886.96331), (-16390.72858, 151856.53861), (-16417.51768, 151835.70261)]"
"(-16358.86138, 151892.25831)","(-16806.09839, 152028.12952)",0.0,False,True,0,0,0,0,0,False,
"(-16358.86138, 151892.25831)","(-16335.19862, 152327.4503)",0.0,False,True,0,0,0,0,0,False,
"(-16492.43778, 152797.65291)","(-16114.27338, 152684.53441)",0.4233912854172454,False,False,3182,1137,4773,1137,2385,False,"[(-16422.31988, 152794.09771), (-16338.18218, 152743.29751), (-16138.98238, 152692.98151)]"
"(-16492.43778, 152797.65291)","(-16224.79708, 152800.02881)",0.6837761170090735,False,False,5139,1834,7707,1834,3853,False,"[(-16499.57648, 152883.08921), (-16475.80618, 152943.91341), (-16365.43618, 152953.94871), (-16320.94988, 152993.81381)]"
"(-16492.43778, 152797.65291)","(-16575.29986, 152696.02145)",0.0,False,True,0,0,0,0,0,False,
"(-16492.43778, 152797.65291)","(-16339.0747, 152839.66536)",0.0,False,True,0,0,0,0,0,False,
"(-16756.01788, 151742.93331)","(-16790.56244, 151758.26289)",0.03948310786879913,True,False,297,106,445,106,222,False,"[(-16769.48838, 151755.14081)]"
"(-16756.01788, 151742.93331)","(-16852.23272, 151877.41965)",0.0,False,True,0,0,0,0,0,False,
"(-16482.90968, 152606.75281)","(-16415.44108, 152572.55802)",0.08022777580577986,True,False,602,215,904,215,453,False,"[(-16426.52148, 152591.28011)]"
"(-16482.90968, 152606.75281)","(-16660.03048, 152548.65151)",0.19580663354074598,False,False,1471,526,2207,526,1104,False,"[(-16573.40008, 152545.75781)]"
