Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-8598.1428, 153930.7823)","(-8589.2213, 153979.463)",49.969,13.1,241386.58,93861.2,362079.87,181039.93,93861.2
"(-8598.1428, 153930.7823)","(-8635.8718, 153854.935)",84.952,13.1,410381.39,159573.45,615572.08,307786.04,159573.45
"(-9982.5447, 154360.9962)","(-10136.0034, 154446.986)",120.568,29.1,906008.99,323574.64,1359013.48,679506.74,323574.64
"(-9982.5447, 154360.9962)","(-9908.4612, 154290.8815)",98.312,29.1,738766.92,263845.33,1108150.38,554075.19,263845.33
"(-9107.8453, 154378.6472)","(-9099.893, 154380.84)",47.466,7.4,229295.99,89159.87,343943.99,171971.99,89159.87
"(-9107.8453, 154378.6472)","(-9434.8356, 154321.7074)",124.765,7.4,602708.99,234358.47,904063.49,452031.75,234358.47
"(-9381.4444, 154348.3583)","(-9337.2301, 154367.1907)",61.37,13.1,296461.89,115276.78,444692.83,222346.41,115276.78
"(-9381.4444, 154348.3583)","(-9446.3138, 154334.7556)",43.657,13.1,210896.01,82005.19,316344.02,158172.01,82005.19
"(-9434.8356, 154321.7074)","(-9442.3003, 154318.2649)",68.321,7.4,330040.45,128333.53,495060.67,247530.34,128333.53
"(-9509.1874, 154294.3405)","(-9576.0531, 154273.8458)",62.303,29.1,468173.53,167204.83,702260.29,351130.14,167204.83
"(-9509.1874, 154294.3405)","(-9454.4151, 154312.8703)",61.511,29.1,462226.36,165080.84,693339.54,346669.77,165080.84
"(-9576.0531, 154273.8458)","(-9580.7127, 154271.6021)",70.145,29.1,527107.54,188252.69,790661.31,395330.66,188252.69
"(-8578.0144, 154046.9777)","(-8575.0293, 154055.6166)",9.15,37.1,68755.96,24555.7,103133.94,51566.97,24555.7
"(-8578.0144, 154046.9777)","(-8578.685, 154044.1437)",2.912,37.1,21884.18,7815.78,32826.27,16413.14,7815.78
"(-8614.3816, 154232.8053)","(-8556.1731, 154092.5759)",83.032,13.1,401108.51,155967.77,601662.76,300831.38,155967.77
"(-8614.3816, 154232.8053)","(-8664.0883, 154282.7783)",96.443,13.1,465890.34,181157.65,698835.51,349417.75,181157.65
"(-8635.8718, 153854.935)","(-8650.7106, 153749.013)",64.47,16.2,344844.42,131124.87,517266.63,258633.32,131124.87
"(-10196.8577, 154507.8402)","(-10240.514, 154543.5591)",51.884,29.1,389879.79,139242.78,584819.69,292409.85,139242.78
"(-10196.8577, 154507.8402)","(-10136.0034, 154446.986)",96.952,29.1,728547.43,260195.51,1092821.15,546410.58,260195.51
"(-9975.9302, 154399.3609)","(-10031.4927, 154432.4339)",62.403,29.1,468926.19,167473.64,703389.29,351694.65,167473.64
"(-9975.9302, 154399.3609)","(-9948.1489, 154378.1941)",71.552,29.1,537674.52,192026.62,806511.78,403255.89,192026.62
"(-10124.0972, 154480.0589)","(-10174.3681, 154531.6528)",58.933,29.1,442853.25,158161.88,664279.88,332139.94,158161.88
"(-10124.0972, 154480.0589)","(-10031.4927, 154432.4339)",90.777,29.1,682143.33,243622.62,1023215.0,511607.5,243622.62
"(-8579.6948, 154038.7305)","(-8581.1802, 154030.3801)",8.049,13.1,38883.78,15119.64,58325.67,29162.83,15119.64
"(-8579.6948, 154038.7305)","(-8578.9774, 154041.8492)",111.731,13.1,539743.62,209874.9,809615.43,404807.72,209874.9
"(-9591.4286, 154266.5395)","(-9595.3977, 154264.733)",70.734,29.1,531531.73,189832.76,797297.59,398648.79,189832.76
"(-9591.4286, 154266.5395)","(-9584.5572, 154270.0145)",128.84,29.1,968170.51,345775.18,1452255.76,726127.88,345775.18
"(-8764.2094, 154015.6902)","(-8698.8923, 153984.2386)",84.965,37.1,638466.84,228023.87,957700.26,478850.13,228023.87
"(-8764.2094, 154015.6902)","(-8780.692, 154095.2211)",89.043,37.1,669115.83,238969.94,1003673.75,501836.87,238969.94
"(-9658.4295, 154245.9023)","(-9595.3977, 154264.733)",51.475,29.1,386809.91,138146.4,580214.86,290107.43,138146.4
"(-9658.4295, 154245.9023)","(-9744.4193, 154230.0272)",60.175,29.1,452181.88,161493.53,678272.82,339136.41,161493.53
"(-9446.3138, 154334.7556)","(-9453.9594, 154313.0899)",50.657,13.1,244712.97,95154.64,367069.46,183534.73,95154.64
"(-9446.3138, 154334.7556)","(-9528.3137, 154314.2791)",51.033,9.0,246525.61,95859.47,369788.41,184894.21,95859.47
"(-8650.7106, 153749.013)","(-8582.1726, 153906.8751)",76.067,16.1,385088.69,148174.09,577633.03,288816.51,148174.09
"(-8578.9774, 154041.8492)","(-8578.685, 154044.1437)",35.743,13.1,172667.41,67140.31,259001.12,129500.56,67140.31
"(-8856.7748, 154411.5996)","(-8911.3558, 154436.1795)",66.579,13.1,321626.02,125061.65,482439.04,241219.52,125061.65
"(-8856.7748, 154411.5996)","(-8794.2668, 154373.235)",53.996,13.1,260840.98,101425.88,391261.46,195630.73,101425.88
"(-9555.0711, 154306.8237)","(-9528.3137, 154314.2791)",28.95,7.4,139851.33,54380.05,209777.0,104888.5,54380.05
"(-9555.0711, 154306.8237)","(-9643.8774, 154273.6835)",75.141,7.4,362987.9,141144.88,544481.85,272240.93,141144.88
"(-8589.2213, 153979.463)","(-8581.6297, 154026.3109)",47.78,13.1,230811.56,89749.19,346217.35,173108.67,89749.19
"(-8661.7918, 154178.2591)","(-8705.1498, 154132.0527)",63.364,37.1,476145.88,170052.1,714218.81,357109.41,170052.1
"(-8661.7918, 154178.2591)","(-8617.0274, 154158.7219)",54.229,37.1,407503.5,145536.96,611255.24,305627.62,145536.96
"(-9643.8774, 154273.6835)","(-9679.5963, 154271.0377)",84.556,7.4,408471.39,158830.76,612707.09,306353.55,158830.76
"(-8558.3258, 153980.5608)","(-8556.1731, 154092.5759)",88.815,13.1,429042.74,166829.76,643564.11,321782.05,166829.76
