Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-12839.6584, 148754.6438)","(-12761.0627, 148769.2032)",79.933,21.2,386136.08,150145.86,579204.13,289602.06,150145.86
"(-12839.6584, 148754.6438)","(-12886.099, 148789.6983)",58.185,21.2,281079.74,109295.56,421619.61,210809.81,109295.56
"(-13249.3247, 149056.0771)","(-13280.2963, 148983.9921)",78.476,22.3,379098.13,147409.21,568647.19,284323.59,147409.21
"(-13249.3247, 149056.0771)","(-13169.4529, 149111.7274)",104.803,22.3,506276.74,196861.57,759415.11,379707.55,196861.57
"(-13058.6218, 148756.2506)","(-12996.533, 148762.2616)",62.379,21.2,301338.18,117172.89,452007.26,226003.63,117172.89
"(-13058.6218, 148756.2506)","(-13123.3131, 148775.8237)",76.452,21.2,369322.19,143607.92,553983.29,276991.65,143607.92
"(-12947.1003, 149044.9055)","(-12974.617, 149081.9472)",50.846,22.3,245624.64,95509.14,368436.97,184218.48,95509.14
"(-12947.1003, 149044.9055)","(-12943.9252, 148988.8137)",56.289,22.3,271920.74,105734.16,407881.11,203940.56,105734.16
"(-12886.099, 148789.6983)","(-12941.8035, 148805.4978)",57.902,21.2,279709.35,108762.69,419564.02,209782.01,108762.69
"(-12970.4952, 148918.4959)","(-12919.5835, 148939.0719)",56.761,21.7,274198.59,106619.88,411297.88,205648.94,106619.88
"(-12970.4952, 148918.4959)","(-13040.2338, 148869.2217)",99.295,21.2,479669.11,186515.41,719503.66,359751.83,186515.41
"(-13123.3131, 148775.8237)","(-13160.884, 148823.7134)",61.242,21.2,295845.31,115037.03,443767.97,221883.98,115037.03
"(-13169.4529, 149111.7274)","(-13040.2338, 149133.8056)",146.429,22.3,707360.52,275051.36,1061040.79,530520.39,275051.36
"(-13268.8342, 148932.7219)","(-13179.9341, 148832.18)",134.208,22.3,648328.16,252097.11,972492.23,486246.12,252097.11
"(-13268.8342, 148932.7219)","(-13280.2963, 148983.9921)",57.554,22.3,278029.65,108109.56,417044.47,208522.23,108109.56
"(-13179.9341, 148832.18)","(-13160.884, 148823.7134)",20.847,22.3,100705.87,39158.65,151058.8,75529.4,39158.65
"(-13160.884, 148823.7134)","(-13064.5755, 148848.0551)",82.229,21.2,397230.09,154459.67,595845.13,297922.56,154459.67
"(-12919.5835, 148939.0719)","(-12943.9252, 148988.8137)",55.378,22.3,267519.44,104022.75,401279.17,200639.58,104022.75
"(-13040.2338, 149133.8056)","(-12974.617, 149081.9472)",88.474,22.3,427395.68,166189.32,641093.52,320546.76,166189.32
"(-13064.5755, 148848.0551)","(-13040.2338, 148869.2217)",51.458,21.2,248580.78,96658.61,372871.17,186435.59,96658.61
"(-12996.533, 148762.2616)","(-12941.8035, 148805.4978)",69.747,21.2,336932.23,131013.35,505398.35,252699.17,131013.35
