Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-14882.8223, 143940.9079)","(-14937.8595, 143988.0076)",55.849,21.3,269792.94,104906.78,404689.4,202344.7,104906.78
"(-14882.8223, 143940.9079)","(-14837.4535, 143903.0305)",51.718,21.3,249835.13,97146.35,374752.69,187376.35,97146.35
"(-14295.0346, 144660.4065)","(-14293.7117, 144641.8856)",84.72,26.6,636629.96,227367.84,954944.93,477472.47,227367.84
"(-14295.0346, 144660.4065)","(-14300.1792, 144684.7358)",59.608,26.6,447925.16,159973.27,671887.74,335943.87,159973.27
"(-13641.197, 143698.7287)","(-13569.2411, 143691.1617)",65.784,21.3,317787.39,123569.03,476681.08,238340.54,123569.03
"(-13641.197, 143698.7287)","(-13659.7846, 143649.7006)",65.441,21.3,316127.54,122923.61,474191.3,237095.65,122923.61
"(-13641.197, 143698.7287)","(-13717.7523, 143727.4306)",67.145,26.9,504560.68,180200.24,756841.03,378420.51,180200.24
"(-12211.0144, 143809.2747)","(-12175.8567, 143853.6039)",46.451,9.9,224393.21,87253.47,336589.82,168294.91,87253.47
"(-12211.0144, 143809.2747)","(-12382.7748, 143713.6377)",74.211,9.9,358493.0,139397.07,537739.5,268869.75,139397.07
"(-13870.7893, 144102.4101)","(-13807.4871, 144065.9095)",60.536,25.4,454894.8,162462.43,682342.2,341171.1,162462.43
"(-13870.7893, 144102.4101)","(-13781.3609, 144108.7234)",125.607,25.4,943876.07,337098.6,1415814.11,707907.05,337098.6
"(-13744.8703, 144480.6744)","(-13816.5141, 144482.5627)",46.245,26.1,347507.34,124109.76,521261.01,260630.51,124109.76
"(-13744.8703, 144480.6744)","(-13633.0444, 144442.1228)",91.715,25.4,689191.84,246139.94,1033787.77,516893.88,246139.94
"(-13737.2332, 145007.5559)","(-13718.1832, 145090.1061)",53.01,27.8,398347.37,142266.92,597521.05,298760.52,142266.92
"(-13737.2332, 145007.5559)","(-13743.5832, 144824.993)",123.743,26.2,835187.89,303683.72,1252781.83,626390.92,303683.72
"(-13925.3523, 144701.8293)","(-13917.4148, 144725.6418)",77.836,23.2,376007.69,146207.52,564011.54,282005.77,146207.52
