variable,coefficient,type,prefix,width,edge,period
C_node2node232_timber_t5,0.0,B,C,timber,,5
C_node2node232_wide_t0,0.0,B,C,wide,,0
C_node2node232_wide_t1,0.0,B,C,wide,,1
C_node2node232_wide_t2,0.0,B,C,wide,,2
C_node2node232_wide_t3,0.0,B,C,wide,,3
C_node2node232_wide_t4,0.0,B,C,wide,,4
C_node2node232_wide_t5,0.0,B,C,wide,,5
C_node2node234_timber_t0,0.0,B,C,timber,,0
C_node2node234_timber_t1,0.0,B,C,timber,,1
C_node2node234_timber_t2,0.0,B,C,timber,,2
C_node2node234_timber_t3,0.0,B,C,timber,,3
C_node2node234_timber_t4,0.0,B,C,timber,,4
C_node2node234_timber_t5,0.0,B,C,timber,,5
C_node2node234_wide_t0,0.0,B,C,wide,,0
C_node2node234_wide_t1,0.0,B,C,wide,,1
C_node2node234_wide_t2,0.0,B,C,wide,,2
C_node2node234_wide_t3,0.0,B,C,wide,,3
C_node2node234_wide_t4,0.0,B,C,wide,,4
C_node2node234_wide_t5,0.0,B,C,wide,,5
C_node3node33_timber_t0,108.0,B,C,timber,,0
C_node3node33_timber_t1,90.93,B,C,timber,,1
C_node3node33_timber_t2,64.46,B,C,timber,,2
C_node3node33_timber_t3,45.7,B,C,timber,,3
C_node3node33_timber_t4,32.4,B,C,timber,,4
C_node3node33_timber_t5,22.97,B,C,timber,,5
C_node3node33_wide_t0,162.0,B,C,wide,,0
C_node3node33_wide_t1,136.4,B,C,wide,,1
C_node3node33_wide_t2,96.7,B,C,wide,,2
C_node3node33_wide_t3,68.55,B,C,wide,,3
C_node3node33_wide_t4,48.6,B,C,wide,,4
C_node3node33_wide_t5,34.45,B,C,wide,,5
C_node3node65_timber_t0,670.0,B,C,timber,,0
C_node3node65_timber_t1,564.12,B,C,timber,,1
C_node3node65_timber_t2,399.92,B,C,timber,,2
C_node3node65_timber_t3,283.51,B,C,timber,,3
C_node3node65_timber_t4,200.98,B,C,timber,,4
C_node3node65_timber_t5,142.48,B,C,timber,,5
C_node3node65_wide_t0,1005.0,B,C,wide,,0
C_node3node65_wide_t1,846.18,B,C,wide,,1
C_node3node65_wide_t2,599.88,B,C,wide,,2
C_node3node65_wide_t3,425.26,B,C,wide,,3
C_node3node65_wide_t4,301.48,B,C,wide,,4
C_node3node65_wide_t5,213.72,B,C,wide,,5
C_node3node78_timber_t0,881.0,B,C,timber,,0
C_node3node78_timber_t1,741.78,B,C,timber,,1
C_node3node78_timber_t2,525.86,B,C,timber,,2
C_node3node78_timber_t3,372.79,B,C,timber,,3
C_node3node78_timber_t4,264.28,B,C,timber,,4
C_node3node78_timber_t5,187.35,B,C,timber,,5
C_node3node78_wide_t0,1321.0,B,C,wide,,0
C_node3node78_wide_t1,1112.25,B,C,wide,,1
C_node3node78_wide_t2,788.49,B,C,wide,,2
C_node3node78_wide_t3,558.98,B,C,wide,,3
C_node3node78_wide_t4,396.27,B,C,wide,,4
C_node3node78_wide_t5,280.92,B,C,wide,,5
C_node3node228_timber_t0,0.0,B,C,timber,,0
C_node3node228_timber_t1,0.0,B,C,timber,,1
C_node3node228_timber_t2,0.0,B,C,timber,,2
C_node3node228_timber_t3,0.0,B,C,timber,,3
C_node3node228_timber_t4,0.0,B,C,timber,,4
C_node3node228_timber_t5,0.0,B,C,timber,,5
C_node3node228_wide_t0,0.0,B,C,wide,,0
C_node3node228_wide_t1,0.0,B,C,wide,,1
C_node3node228_wide_t2,0.0,B,C,wide,,2
C_node3node228_wide_t3,0.0,B,C,wide,,3
C_node3node228_wide_t4,0.0,B,C,wide,,4
C_node3node228_wide_t5,0.0,B,C,wide,,5
C_node4node159_timber_t0,907.0,B,C,timber,,0
C_node4node159_timber_t1,763.67,B,C,timber,,1
C_node4node159_timber_t2,541.38,B,C,timber,,2
C_node4node159_timber_t3,383.79,B,C,timber,,3
C_node4node159_timber_t4,272.08,B,C,timber,,4
C_node4node159_timber_t5,192.88,B,C,timber,,5
C_node4node159_wide_t0,1359.0,B,C,wide,,0
C_node4node159_wide_t1,1144.24,B,C,wide,,1
C_node4node159_wide_t2,811.17,B,C,wide,,2
C_node4node159_wide_t3,575.06,B,C,wide,,3
C_node4node159_wide_t4,407.67,B,C,wide,,4
C_node4node159_wide_t5,289.0,B,C,wide,,5
C_node4node38_timber_t0,978.0,B,C,timber,,0
C_node4node38_timber_t1,823.45,B,C,timber,,1
C_node4node38_timber_t2,583.76,B,C,timber,,2
C_node4node38_timber_t3,413.84,B,C,timber,,3
C_node4node38_timber_t4,293.38,B,C,timber,,4
C_node4node38_timber_t5,207.98,B,C,timber,,5
C_node4node38_wide_t0,1467.0,B,C,wide,,0
C_node4node38_wide_t1,1235.17,B,C,wide,,1
C_node4node38_wide_t2,875.64,B,C,wide,,2
C_node4node38_wide_t3,620.76,B,C,wide,,3
C_node4node38_wide_t4,440.07,B,C,wide,,4
C_node4node38_wide_t5,311.97,B,C,wide,,5
C_node4node167_timber_t0,3256.0,B,C,timber,,0
C_node4node167_timber_t1,2741.46,B,C,timber,,1
C_node4node167_timber_t2,1943.48,B,C,timber,,2
C_node4node167_timber_t3,1377.77,B,C,timber,,3
C_node4node167_timber_t4,976.72,B,C,timber,,4
C_node4node167_timber_t5,692.42,B,C,timber,,5
C_node4node167_wide_t0,4884.0,B,C,wide,,0
C_node4node167_wide_t1,4112.2,B,C,wide,,1
C_node4node167_wide_t2,2915.21,B,C,wide,,2
C_node4node167_wide_t3,2066.65,B,C,wide,,3
C_node4node167_wide_t4,1465.09,B,C,wide,,4
C_node4node167_wide_t5,1038.63,B,C,wide,,5
C_node4node259_timber_t0,0.0,B,C,timber,,0
C_node4node259_timber_t1,0.0,B,C,timber,,1
C_node4node259_timber_t2,0.0,B,C,timber,,2
C_node4node259_timber_t3,0.0,B,C,timber,,3
C_node4node259_timber_t4,0.0,B,C,timber,,4
C_node4node259_timber_t5,0.0,B,C,timber,,5
C_node4node259_wide_t0,0.0,B,C,wide,,0
C_node4node259_wide_t1,0.0,B,C,wide,,1
C_node4node259_wide_t2,0.0,B,C,wide,,2
C_node4node259_wide_t3,0.0,B,C,wide,,3
C_node4node259_wide_t4,0.0,B,C,wide,,4
C_node4node259_wide_t5,0.0,B,C,wide,,5
C_node4node285_timber_t0,0.0,B,C,timber,,0
C_node4node285_timber_t1,0.0,B,C,timber,,1
C_node4node285_timber_t2,0.0,B,C,timber,,2
C_node4node285_timber_t3,0.0,B,C,timber,,3
C_node4node285_timber_t4,0.0,B,C,timber,,4
C_node4node285_timber_t5,0.0,B,C,timber,,5
C_node4node285_wide_t0,0.0,B,C,wide,,0
C_node4node285_wide_t1,0.0,B,C,wide,,1
C_node4node285_wide_t2,0.0,B,C,wide,,2
C_node4node285_wide_t3,0.0,B,C,wide,,3
C_node4node285_wide_t4,0.0,B,C,wide,,4
C_node4node285_wide_t5,0.0,B,C,wide,,5
C_node5node199_timber_t0,187.0,B,C,timber,,0
C_node5node199_timber_t1,157.45,B,C,timber,,1
C_node5node199_timber_t2,111.62,B,C,timber,,2
C_node5node199_timber_t3,79.13,B,C,timber,,3
C_node5node199_timber_t4,56.1,B,C,timber,,4
C_node5node199_timber_t5,39.77,B,C,timber,,5
C_node5node199_wide_t0,280.0,B,C,wide,,0
C_node5node199_wide_t1,235.75,B,C,wide,,1
C_node5node199_wide_t2,167.13,B,C,wide,,2
C_node5node199_wide_t3,118.48,B,C,wide,,3
C_node5node199_wide_t4,83.99,B,C,wide,,4
C_node5node199_wide_t5,59.54,B,C,wide,,5
C_node5node115_timber_t0,1355.0,B,C,timber,,0
C_node5node115_timber_t1,1140.87,B,C,timber,,1
C_node5node115_timber_t2,808.79,B,C,timber,,2
C_node5node115_timber_t3,573.36,B,C,timber,,3
C_node5node115_timber_t4,406.47,B,C,timber,,4
C_node5node115_timber_t5,288.15,B,C,timber,,5
C_node5node115_wide_t0,2030.0,B,C,wide,,0
C_node5node115_wide_t1,1709.21,B,C,wide,,1
C_node5node115_wide_t2,1211.69,B,C,wide,,2
C_node5node115_wide_t3,858.99,B,C,wide,,3
C_node5node115_wide_t4,608.95,B,C,wide,,4
C_node5node115_wide_t5,431.7,B,C,wide,,5
C_node5node52_timber_t0,1834.0,B,C,timber,,0
C_node5node52_timber_t1,1544.18,B,C,timber,,1
C_node5node52_timber_t2,1094.7,B,C,timber,,2
C_node5node52_timber_t3,776.05,B,C,timber,,3
C_node5node52_timber_t4,550.16,B,C,timber,,4
C_node5node52_timber_t5,390.02,B,C,timber,,5
C_node5node52_wide_t0,2750.0,B,C,wide,,0
C_node5node52_wide_t1,2315.43,B,C,wide,,1
C_node5node52_wide_t2,1641.45,B,C,wide,,2
C_node5node52_wide_t3,1163.65,B,C,wide,,3
C_node5node52_wide_t4,824.94,B,C,wide,,4
C_node5node52_wide_t5,584.81,B,C,wide,,5
C_node5node220_timber_t0,0.0,B,C,timber,,0
C_node5node220_timber_t1,0.0,B,C,timber,,1
C_node5node220_timber_t2,0.0,B,C,timber,,2
C_node5node220_timber_t3,0.0,B,C,timber,,3
C_node5node220_timber_t4,0.0,B,C,timber,,4
C_node5node220_timber_t5,0.0,B,C,timber,,5
C_node5node220_wide_t0,0.0,B,C,wide,,0
C_node5node220_wide_t1,0.0,B,C,wide,,1
C_node5node220_wide_t2,0.0,B,C,wide,,2
C_node5node220_wide_t3,0.0,B,C,wide,,3
C_node5node220_wide_t4,0.0,B,C,wide,,4
C_node5node220_wide_t5,0.0,B,C,wide,,5
C_node6node81_timber_t0,568.0,B,C,timber,,0
C_node6node81_timber_t1,478.24,B,C,timber,,1
C_node6node81_timber_t2,339.03,B,C,timber,,2
C_node6node81_timber_t3,240.35,B,C,timber,,3
C_node6node81_timber_t4,170.39,B,C,timber,,4
C_node6node81_timber_t5,120.79,B,C,timber,,5
C_node6node81_wide_t0,853.0,B,C,wide,,0
C_node6node81_wide_t1,718.2,B,C,wide,,1
C_node6node81_wide_t2,509.15,B,C,wide,,2
C_node6node81_wide_t3,360.94,B,C,wide,,3
C_node6node81_wide_t4,255.88,B,C,wide,,4
C_node6node81_wide_t5,181.4,B,C,wide,,5
C_node6node174_timber_t0,2058.0,B,C,timber,,0
C_node6node174_timber_t1,1732.78,B,C,timber,,1
C_node6node174_timber_t2,1228.4,B,C,timber,,2
C_node6node174_timber_t3,870.84,B,C,timber,,3
C_node6node174_timber_t4,617.35,B,C,timber,,4
C_node6node174_timber_t5,437.65,B,C,timber,,5
C_node6node174_wide_t0,3085.0,B,C,wide,,0
C_node6node174_wide_t1,2597.49,B,C,wide,,1
C_node6node174_wide_t2,1841.41,B,C,wide,,2
C_node6node174_wide_t3,1305.41,B,C,wide,,3
C_node6node174_wide_t4,925.43,B,C,wide,,4
C_node6node174_wide_t5,656.05,B,C,wide,,5
C_node6node143_timber_t0,3406.0,B,C,timber,,0
C_node6node143_timber_t1,2867.76,B,C,timber,,1
C_node6node143_timber_t2,2033.01,B,C,timber,,2
C_node6node143_timber_t3,1441.24,B,C,timber,,3
C_node6node143_timber_t4,1021.72,B,C,timber,,4
C_node6node143_timber_t5,724.32,B,C,timber,,5
C_node6node143_wide_t0,5110.0,B,C,wide,,0
