1091.0 * C_node2node219_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
918.59 * C_node2node219_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
651.21 * C_node2node219_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
461.65 * C_node2node219_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
327.27 * C_node2node219_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
232.01 * C_node2node219_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1634.0 * C_node2node219_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1375.78 * C_node2node219_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
975.32 * C_node2node219_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
691.42 * C_node2node219_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
490.16 * C_node2node219_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
347.49 * C_node2node219_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2919.0 * C_node2node116_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2457.72 * C_node2node116_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1742.32 * C_node2node116_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1235.17 * C_node2node116_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
875.63 * C_node2node116_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
620.75 * C_node2node116_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4378.0 * C_node2node116_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3686.16 * C_node2node116_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2613.19 * C_node2node116_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1852.54 * C_node2node116_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1313.3 * C_node2node116_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
931.02 * C_node2node116_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node2node495_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node2node495_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node2node495_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node2node495_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node2node495_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node2node495_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node2node495_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node2node495_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node2node495_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node2node495_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node2node495_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node2node495_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
245.0 * C_node3node45_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
206.28 * C_node3node45_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
146.24 * C_node3node45_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
103.67 * C_node3node45_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
73.49 * C_node3node45_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
52.1 * C_node3node45_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
368.0 * C_node3node45_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
309.85 * C_node3node45_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
219.66 * C_node3node45_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
155.72 * C_node3node45_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
110.39 * C_node3node45_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
78.26 * C_node3node45_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
694.0 * C_node3node235_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
584.33 * C_node3node235_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
414.24 * C_node3node235_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
293.66 * C_node3node235_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
208.18 * C_node3node235_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
147.59 * C_node3node235_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1041.0 * C_node3node235_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
876.49 * C_node3node235_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
621.36 * C_node3node235_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
440.5 * C_node3node235_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
312.28 * C_node3node235_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
221.38 * C_node3node235_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node516_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node516_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node516_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node516_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node516_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node516_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node516_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node516_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node516_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node516_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node516_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node516_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
999.0 * C_node4node262_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
841.13 * C_node4node262_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
596.29 * C_node4node262_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
422.72 * C_node4node262_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
299.68 * C_node4node262_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
212.45 * C_node4node262_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1497.0 * C_node4node262_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1260.43 * C_node4node262_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
