"Source(x,y)","Target(x,y)"
"(-15947.52308, 146759.81421)","(-15850.68548, 146796.32671)"
"(-15947.52308, 146759.81421)","(-16029.42378, 146803.37321)"
"(-15947.52308, 146759.81421)","(-15947.28723, 146959.19963)"
"(-16651.88498, 146512.53441)","(-16643.10178, 146543.56047)"
"(-16651.88498, 146512.53441)","(-16626.36577, 146413.07821)"
"(-16651.88498, 146512.53441)","(-16693.35238, 146526.28581)"
"(-16651.88498, 146512.53441)","(-16467.0309, 146393.77072)"
"(-16651.88498, 146512.53441)","(-16340.40695, 146890.74634)"
"(-15733.05268, 146415.66451)","(-15724.33929, 146396.77447)"
"(-15733.05268, 146415.66451)","(-15622.57698, 146353.40921)"
"(-15733.05268, 146415.66451)","(-15780.18396, 146397.01665)"
"(-15812.77948, 146234.90331)","(-15883.06818, 146118.33051)"
"(-15812.77948, 146234.90331)","(-15740.99018, 146299.77681)"
"(-15812.77948, 146234.90331)","(-15892.17008, 146353.17941)"
"(-15812.77948, 146234.90331)","(-16036.95388, 146149.55953)"
"(-15812.77948, 146234.90331)","(-15780.18396, 146397.01665)"
"(-16350.38888, 146659.19811)","(-16315.23479, 146667.68448)"
"(-16350.38888, 146659.19811)","(-16635.03688, 146572.04921)"
"(-16350.38888, 146659.19811)","(-16467.0309, 146393.77072)"
"(-16350.38888, 146659.19811)","(-16340.40695, 146890.74634)"
"(-16635.03688, 146572.04921)","(-16643.10178, 146543.56047)"
"(-16635.03688, 146572.04921)","(-16467.0309, 146393.77072)"
"(-16635.03688, 146572.04921)","(-16340.40695, 146890.74634)"
"(-15883.06818, 146118.33051)","(-16178.85418, 146039.69021)"
"(-15883.06818, 146118.33051)","(-16036.95388, 146149.55953)"
"(-15849.48298, 146991.10651)","(-15766.65882, 146804.85319)"
"(-15849.48298, 146991.10651)","(-15835.33118, 147057.22501)"
"(-15849.48298, 146991.10651)","(-15947.28723, 146959.19963)"
"(-16142.70368, 146847.94301)","(-16093.17378, 146887.74721)"
"(-16142.70368, 146847.94301)","(-16287.96848, 146674.26671)"
"(-16142.70368, 146847.94301)","(-16110.03058, 146708.63041)"
"(-16142.70368, 146847.94301)","(-16211.62969, 146475.75481)"
"(-16142.70368, 146847.94301)","(-16007.51744, 146714.35793)"
"(-16142.70368, 146847.94301)","(-16340.40695, 146890.74634)"
"(-15743.05588, 146800.60781)","(-15717.79138, 146751.46851)"
"(-15743.05588, 146800.60781)","(-15724.86258, 146811.38421)"
"(-15743.05588, 146800.60781)","(-16029.42378, 146803.37321)"
"(-15743.05588, 146800.60781)","(-15613.46074, 146711.17348)"
"(-15743.05588, 146800.60781)","(-16007.51744, 146714.35793)"
"(-15740.99018, 146299.77681)","(-15700.50204, 146312.746)"
"(-15740.99018, 146299.77681)","(-15780.18396, 146397.01665)"
"(-15850.68548, 146796.32671)","(-15766.65882, 146804.85319)"
"(-15850.68548, 146796.32671)","(-15947.28723, 146959.19963)"
"(-15582.66032, 146310.19463)","(-15639.82038, 146344.00381)"
"(-15582.66032, 146310.19463)","(-15415.43758, 146498.93001)"
"(-15582.66032, 146310.19463)","(-15579.5748, 146504.2417)"
"(-15582.66032, 146310.19463)","(-15613.46074, 146711.17348)"
"(-15582.66032, 146310.19463)","(-15780.18396, 146397.01665)"
"(-15415.43758, 146498.93001)","(-14736.57198, 146718.84911)"
"(-15415.43758, 146498.93001)","(-15543.70108, 146719.93721)"
"(-15415.43758, 146498.93001)","(-15613.46074, 146711.17348)"
"(-15415.43758, 146498.93001)","(-15140.32403, 146720.3201)"
"(-15655.43248, 147111.32401)","(-15724.51288, 147111.51971)"
"(-15655.43248, 147111.32401)","(-15560.00118, 146806.31831)"
"(-15655.43248, 147111.32401)","(-15596.69818, 147158.65721)"
"(-15655.43248, 147111.32401)","(-15613.46074, 146711.17348)"
"(-15655.43248, 147111.32401)","(-15567.14514, 147025.80351)"
"(-15754.89288, 147087.98681)","(-15717.71888, 146829.64051)"
"(-15754.89288, 147087.98681)","(-15724.51288, 147111.51971)"
"(-15754.89288, 147087.98681)","(-15613.46074, 146711.17348)"
"(-16475.95008, 146686.29951)","(-16072.25618, 147118.03921)"
"(-16475.95008, 146686.29951)","(-16562.20894, 146669.13743)"
"(-16475.95008, 146686.29951)","(-16340.40695, 146890.74634)"
"(-15892.17008, 146353.17941)","(-15913.604, 146352.993)"
"(-15892.17008, 146353.17941)","(-15855.93998, 146362.93421)"
"(-15892.17008, 146353.17941)","(-16036.95388, 146149.55953)"
"(-15892.17008, 146353.17941)","(-15780.18396, 146397.01665)"
"(-15639.82038, 146344.00381)","(-15622.57698, 146353.40921)"
"(-15639.82038, 146344.00381)","(-15780.18396, 146397.01665)"
"(-15717.71888, 146829.64051)","(-15724.86258, 146811.38421)"
"(-15717.71888, 146829.64051)","(-15613.46074, 146711.17348)"
"(-15622.57698, 146353.40921)","(-15780.18396, 146397.01665)"
"(-15717.79138, 146751.46851)","(-15681.70098, 146650.70791)"
"(-15717.79138, 146751.46851)","(-15918.57027, 146672.39913)"
"(-15717.79138, 146751.46851)","(-15613.46074, 146711.17348)"
"(-15717.79138, 146751.46851)","(-15854.2208, 146597.84899)"
"(-15717.79138, 146751.46851)","(-16007.51744, 146714.35793)"
"(-16061.26558, 146340.59931)","(-15950.94588, 146334.44399)"
"(-16061.26558, 146340.59931)","(-16034.71648, 146409.87141)"
"(-16061.26558, 146340.59931)","(-16121.0393, 146303.39878)"
"(-16061.26558, 146340.59931)","(-16036.95388, 146149.55953)"
"(-16061.26558, 146340.59931)","(-16211.62969, 146475.75481)"
"(-16332.31168, 146251.73441)","(-16353.25683, 146320.57432)"
"(-16332.31168, 146251.73441)","(-16277.64906, 146171.91551)"
"(-16332.31168, 146251.73441)","(-16402.00358, 146092.05941)"
"(-16332.31168, 146251.73441)","(-16036.95388, 146149.55953)"
"(-16332.31168, 146251.73441)","(-16467.0309, 146393.77072)"
"(-16332.31168, 146251.73441)","(-16211.62969, 146475.75481)"
"(-16110.03058, 146708.63041)","(-16060.81798, 146536.67731)"
"(-16110.03058, 146708.63041)","(-16211.62969, 146475.75481)"
"(-16110.03058, 146708.63041)","(-16007.51744, 146714.35793)"
"(-15681.70098, 146650.70791)","(-15670.55014, 146644.62183)"
"(-15681.70098, 146650.70791)","(-15831.60321, 146484.05543)"
"(-15681.70098, 146650.70791)","(-15613.46074, 146711.17348)"
"(-15681.70098, 146650.70791)","(-15780.18396, 146397.01665)"
"(-15681.70098, 146650.70791)","(-15854.2208, 146597.84899)"
"(-15560.00118, 146806.31831)","(-15464.19148, 146899.64941)"
"(-15560.00118, 146806.31831)","(-15543.70108, 146719.93721)"
"(-15560.00118, 146806.31831)","(-15613.46074, 146711.17348)"
"(-15560.00118, 146806.31831)","(-15102.136, 146892.12868)"
"(-15560.00118, 146806.31831)","(-15567.14514, 147025.80351)"
"(-16093.17378, 146887.74721)","(-16029.42378, 146803.37321)"
"(-16093.17378, 146887.74721)","(-16072.25618, 147118.03921)"
"(-16093.17378, 146887.74721)","(-16007.51744, 146714.35793)"
"(-16093.17378, 146887.74721)","(-16340.40695, 146890.74634)"
"(-16093.17378, 146887.74721)","(-15947.28723, 146959.19963)"
"(-16402.00358, 146092.05941)","(-16178.85418, 146039.69021)"
"(-16402.00358, 146092.05941)","(-16532.68004, 146138.91481)"
"(-16402.00358, 146092.05941)","(-16036.95388, 146149.55953)"
"(-16402.00358, 146092.05941)","(-16467.0309, 146393.77072)"
"(-16029.42378, 146803.37321)","(-16007.51744, 146714.35793)"
"(-16029.42378, 146803.37321)","(-15947.28723, 146959.19963)"
"(-15724.86258, 146811.38421)","(-15613.46074, 146711.17348)"
