902.0 * C_node2node26_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
759.46 * C_node2node26_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
538.4 * C_node2node26_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
381.68 * C_node2node26_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
270.58 * C_node2node26_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
191.82 * C_node2node26_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1353.0 * C_node2node26_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1139.19 * C_node2node26_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
807.59 * C_node2node26_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
572.52 * C_node2node26_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
405.87 * C_node2node26_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
287.73 * C_node2node26_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1415.0 * C_node2node99_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1191.39 * C_node2node99_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
844.6 * C_node2node99_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
598.75 * C_node2node99_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
424.47 * C_node2node99_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
300.91 * C_node2node99_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2122.0 * C_node2node99_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1786.67 * C_node2node99_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1266.6 * C_node2node99_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
897.92 * C_node2node99_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
636.55 * C_node2node99_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
451.26 * C_node2node99_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
