"Node1(x,y)","Node2(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-10786.55928, 149879.45501)","(-10881.84282, 149894.82891)",True,False,15.9324,0.09651585256392782,466,181,699,181,350,
"(-10786.55928, 149879.45501)","(-10788.47436, 149851.70646)",True,False,False,0.032553740348567235,157,62,237,62,118,"[(-10782.30288, 149876.87291)]"
"(-10786.55928, 149879.45501)","(-10766.09178, 150093.78201)",True,False,False,0.30370686681615705,1467,571,2200,571,1101,"[(-10771.13468, 149920.57031), (-10718.42158, 149940.01471), (-10676.78938, 149973.77461), (-10730.67918, 150036.85241)]"
"(-10786.55928, 149879.45501)","(-10647.74568, 149848.54741)",False,True,False,0.0,0,0,0,0,0,
"(-10786.55928, 149879.45501)","(-10863.48728, 150048.96257)",False,True,False,0.0,0,0,0,0,0,
"(-10055.79168, 150750.85151)","(-10068.12958, 150545.78041)",True,False,14.1512,0.20544191352209615,992,386,1489,386,744,
"(-10055.79168, 150750.85151)","(-10007.94106, 151006.20067)",True,False,False,0.3238876782944283,1564,610,2347,610,1174,"[(-10063.68738, 150828.72371), (-10066.33318, 150786.39031), (-10070.30198, 150851.21341), (-10001.06638, 150990.02971)]"
"(-10055.79168, 150750.85151)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10490.83158, 150562.31421)","(-10484.79926, 150553.26573)",True,False,14.1512,0.010874919535001654,53,20,79,20,39,
"(-10490.83158, 150562.31421)","(-10238.9722, 150837.16012)",True,False,False,0.8295221068258917,4005,1557,6011,1557,3005,"[(-10366.56058, 150853.79041), (-10421.27678, 150819.40641), (-10391.15998, 150777.31641), (-10343.58408, 150770.03661), (-10340.03958, 150767.56301), (-10308.83888, 150866.37481)]"
"(-10490.83158, 150562.31421)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-11125.67678, 150196.59571)","(-10896.52638, 150314.09401)",False,False,False,0.31776491390776673,1535,596,2303,596,1149,"[(-11000.87218, 150284.55191), (-11045.48808, 150253.32371), (-11097.10698, 150235.71061), (-10973.14088, 150313.93751)]"
"(-11125.67678, 150196.59571)","(-11466.76968, 150118.51391)",False,False,False,0.4449621931664778,2150,835,3225,835,1612,"[(-11176.15808, 150171.15231), (-11210.49168, 150134.66771)]"
"(-11125.67678, 150196.59571)","(-11038.4333, 150153.40613)",True,False,False,0.10247218107092396,494,193,742,193,371,"[(-11070.84558, 150186.42821)]"
"(-11125.67678, 150196.59571)","(-11227.96093, 150329.57773)",False,True,False,0.0,0,0,0,0,0,
"(-11125.67678, 150196.59571)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10766.09178, 150093.78201)","(-10308.00978, 150027.72871)",True,False,False,0.5007844180632008,2420,940,3630,940,1813,"[(-10588.86958, 150093.11761), (-10511.42878, 150065.86281), (-10369.34358, 150069.26931)]"
"(-10766.09178, 150093.78201)","(-11001.19171, 150193.41214)",True,False,False,0.2939490096236496,1420,552,2131,552,1065,"[(-10800.79318, 150147.52621), (-10843.92698, 150164.38221), (-10938.07238, 150219.39641), (-10990.86208, 150212.07271)]"
"(-10766.09178, 150093.78201)","(-10647.74568, 149848.54741)",False,True,False,0.0,0,0,0,0,0,
"(-10766.09178, 150093.78201)","(-10863.48728, 150048.96257)",False,True,False,0.0,0,0,0,0,0,
"(-10766.09178, 150093.78201)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10262.31898, 150158.54881)",False,False,17.4729,0.07479280313410862,361,141,542,141,271,
"(-10289.87348, 150228.08091)","(-10299.96506, 150230.19274)",True,False,15.9324,0.010310180058822576,50,19,75,19,37,
"(-10289.87348, 150228.08091)","(-10212.42188, 150389.66871)",False,False,False,0.18756793267530414,906,352,1359,352,680,"[(-10284.58178, 150235.48921), (-10247.54008, 150264.06421)]"
"(-10289.87348, 150228.08091)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10289.87348, 150228.08091)","(-10027.86364, 150363.3928)",False,True,False,0.0,0,0,0,0,0,
"(-10068.12958, 150545.78041)","(-10212.42188, 150389.66871)",False,False,False,0.24890406157465222,1202,468,1804,468,901,"[(-10120.92688, 150523.84591), (-10189.59318, 150490.31971)]"
"(-10068.12958, 150545.78041)","(-9930.49008, 150259.04581)",False,False,False,0.7253190636146708,3503,1363,5256,1363,2629,"[(-9988.57688, 150511.00511), (-9897.69168, 150484.64831), (-9831.18668, 150454.98061)]"
"(-10068.12958, 150545.78041)","(-10027.86364, 150363.3928)",False,True,False,0.0,0,0,0,0,0,
"(-10068.12958, 150545.78041)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-10308.00978, 150027.72871)",True,False,False,0.4580712376400755,2213,861,3317,861,1661,"[(-9981.54038, 150198.42031), (-10034.80758, 150138.77411), (-10181.03168, 150068.55591)]"
"(-9930.49008, 150259.04581)","(-10262.31898, 150158.54881)",False,False,False,0.3656145607919845,1766,686,2650,686,1324,"[(-9993.04548, 150269.79891), (-10055.39618, 150267.34101), (-10128.59858, 150200.15801), (-10194.26958, 150174.61531)]"
"(-9930.49008, 150259.04581)","(-9771.65944, 149896.3741)",True,False,False,0.5646286254320383,2728,1059,4091,1059,2046,"[(-9874.10408, 150229.04401), (-9881.12688, 150169.67941), (-9883.46388, 150121.57061), (-9838.77728, 150087.70511), (-9783.36978, 150083.96631), (-9824.15848, 150034.49591), (-9775.78998, 150010.84161), (-9729.59718, 149968.59851), (-9779.63338, 149937.16801)]"
"(-9930.49008, 150259.04581)","(-10030.8537, 149930.39017)",False,True,False,0.0,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-10123.71377, 150155.0526)",False,True,False,0.0,0,0,0,0,0,
"(-9930.49008, 150259.04581)","(-10027.86364, 150363.3928)",False,True,False,0.0,0,0,0,0,0,
"(-11196.59328, 150568.22561)","(-11129.53308, 150560.60801)",False,False,17.8507,0.06749146800744485,326,127,489,127,245,
"(-11196.59328, 150568.22561)","(-11466.76968, 150118.51391)",False,False,False,0.656672162566382,3171,1232,4759,1232,2379,"[(-11474.92428, 150309.43731), (-11434.40208, 150273.89461), (-11402.04028, 150207.97191), (-11465.02598, 150396.50511), (-11307.32548, 150518.87851)]"
"(-11196.59328, 150568.22561)","(-11227.96093, 150329.57773)",False,True,False,0.0,0,0,0,0,0,
"(-11196.59328, 150568.22561)","(-11426.60129, 150489.78239)",False,True,False,0.0,0,0,0,0,0,
"(-10319.05108, 149890.84211)","(-10793.02358, 149833.15541)",True,False,False,1.6942369554879992,8185,3184,12276,3184,6139,"[(-10794.81428, 149785.96891), (-10851.04668, 149710.42241)]"
"(-10319.05108, 149890.84211)","(-10269.17415, 149957.4208)",True,False,False,0.08322406263910867,402,156,603,156,301,"[(-10299.92768, 149918.34141)]"
"(-10319.05108, 149890.84211)","(-10000.61717, 149694.17443)",True,False,False,0.6292137157524773,3040,1183,4558,1183,2280,"[(-10182.42728, 149795.62561), (-10221.08298, 149763.32911), (-10222.08738, 149607.54051), (-10114.36568, 149647.74081)]"
"(-10319.05108, 149890.84211)","(-10647.74568, 149848.54741)",False,True,False,0.0,0,0,0,0,0,
"(-10319.05108, 149890.84211)","(-10030.8537, 149930.39017)",False,True,False,0.0,0,0,0,0,0,
"(-10308.00978, 150027.72871)","(-10269.17415, 149957.4208)",True,False,False,0.0898712971282093,434,169,651,169,325,"[(-10260.60268, 149968.31281)]"
"(-10308.00978, 150027.72871)","(-10262.31898, 150158.54881)",True,False,False,0.13940879749229063,674,262,1010,262,505,"[(-10276.51748, 150094.78271)]"
"(-10308.00978, 150027.72871)","(-10647.74568, 149848.54741)",False,True,False,0.0,0,0,0,0,0,
"(-10308.00978, 150027.72871)","(-10030.8537, 149930.39017)",False,True,False,0.0,0,0,0,0,0,
"(-10308.00978, 150027.72871)","(-10123.71377, 150155.0526)",False,True,False,0.0,0,0,0,0,0,
"(-10308.00978, 150027.72871)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-11129.53308, 150560.60801)","(-10896.52638, 150314.09401)",False,False,False,0.4442315213570648,2147,833,3220,833,1611,"[(-10992.54348, 150420.89651), (-10996.01968, 150423.72091), (-10996.80088, 150423.47841), (-11013.73418, 150437.23681), (-11065.59268, 150473.22021), (-11123.69888, 150521.13661), (-10961.85188, 150430.42151)]"
"(-11129.53308, 150560.60801)","(-11466.76968, 150118.51391)",False,False,False,1.217687951824888,5885,2286,8822,2286,4414,"[(-11105.65518, 150604.54641)]"
"(-11129.53308, 150560.60801)","(-11227.96093, 150329.57773)",False,True,False,0.0,0,0,0,0,0,
"(-11129.53308, 150560.60801)","(-11426.60129, 150489.78239)",False,True,False,0.0,0,0,0,0,0,
"(-11028.98928, 150143.19561)","(-11021.07831, 150157.48684)",True,False,15.9324,0.01633470848389578,79,31,118,31,59,
"(-11028.98928, 150143.19561)","(-11038.4333, 150153.40613)",True,False,15.9324,0.013908423074909606,67,26,101,26,50,
"(-11028.98928, 150143.19561)","(-10881.84282, 149894.82891)",True,False,False,0.5644012966955613,2727,1062,4090,1062,2045,"[(-10949.53768, 150036.79651), (-11006.21838, 150071.46931), (-11025.43178, 150139.34951), (-10909.71428, 150010.80861)]"
"(-11028.98928, 150143.19561)","(-10863.48728, 150048.96257)",False,True,False,0.0,0,0,0,0,0,
"(-11028.98928, 150143.19561)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10652.40158, 150433.19211)","(-10836.19272, 150318.3575)",True,False,False,0.22699096995977025,1097,426,1645,426,823,"[(-10795.13088, 150363.16171), (-10720.08878, 150389.26361)]"
"(-10652.40158, 150433.19211)","(-10427.97478, 150424.28671)",True,False,False,0.25662701644710717,1240,482,1860,482,929,"[(-10495.46748, 150416.25401)]"
"(-10652.40158, 150433.19211)","(-10473.89818, 150536.91411)",True,False,False,0.2725403254333752,1317,512,1974,512,987,"[(-10617.12628, 150491.16881), (-10613.53408, 150539.25191), (-10531.04838, 150535.85591)]"
"(-10652.40158, 150433.19211)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10652.40158, 150433.19211)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10212.42188, 150389.66871)","(-10427.97478, 150424.28671)",True,False,False,0.23284145472340945,1125,437,1687,437,843,"[(-10272.94008, 150405.88121)]"
"(-10212.42188, 150389.66871)","(-10027.86364, 150363.3928)",False,True,False,0.0,0,0,0,0,0,
"(-10212.42188, 150389.66871)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10896.52638, 150314.09401)","(-10836.19272, 150318.3575)",True,False,False,0.07263615730031979,350,136,526,136,263,"[(-10891.52038, 150312.56061), (-10892.26948, 150311.51191)]"
"(-10896.52638, 150314.09401)","(-11227.96093, 150329.57773)",False,True,False,0.0,0,0,0,0,0,
"(-10896.52638, 150314.09401)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10427.97478, 150424.28671)","(-10299.96506, 150230.19274)",True,False,False,0.26231974097896743,1268,493,1900,493,951,"[(-10416.42168, 150319.02051), (-10435.95128, 150369.62321), (-10384.01018, 150307.11421)]"
"(-10427.97478, 150424.28671)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10427.97478, 150424.28671)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10228.14938, 150821.44261)","(-10229.52848, 150818.27261)",True,False,14.1512,0.0034569953442110633,17,6,25,6,13,
"(-10228.14938, 150821.44261)","(-10225.27318, 150815.69021)",True,False,14.1512,0.006431378716883001,31,12,47,12,23,
"(-10228.14938, 150821.44261)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10225.27318, 150815.69021)","(-10218.71664, 150830.76025)",True,False,14.1512,0.016434546612941168,79,31,119,31,60,
"(-10225.27318, 150815.69021)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10123.71377, 150155.0526)",False,True,False,0.0,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10624.90433, 150233.62028)",False,True,False,0.0,0,0,0,0,0,
"(-10262.31898, 150158.54881)","(-10027.86364, 150363.3928)",False,True,False,0.0,0,0,0,0,0,
"(-10229.52848, 150818.27261)","(-10238.9722, 150837.16012)",True,False,14.1512,0.02111686249037497,102,40,153,40,77,
"(-10229.52848, 150818.27261)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10793.02358, 149833.15541)","(-10788.47436, 149851.70646)",True,False,18.2227,0.019100703094654645,92,36,138,36,69,
"(-10793.02358, 149833.15541)","(-10647.74568, 149848.54741)",False,True,False,0.0,0,0,0,0,0,
"(-11466.76968, 150118.51391)","(-11227.96093, 150329.57773)",False,True,False,0.0,0,0,0,0,0,
"(-11466.76968, 150118.51391)","(-11426.60129, 150489.78239)",False,True,False,0.0,0,0,0,0,0,
"(-10473.89818, 150536.91411)","(-10484.79926, 150553.26573)",True,False,14.1512,0.019652201448968353,95,37,142,37,71,
"(-10473.89818, 150536.91411)","(-10283.879, 150641.97766)",False,True,False,0.0,0,0,0,0,0,
"(-10269.17415, 149957.4208)","(-10647.74568, 149848.54741)",True,True,False,0.0,0,0,0,0,0,
"(-10269.17415, 149957.4208)","(-10030.8537, 149930.39017)",True,True,False,0.0,0,0,0,0,0,
"(-10788.47436, 149851.70646)","(-10647.74568, 149848.54741)",True,True,False,0.0,0,0,0,0,0,
"(-10000.61717, 149694.17443)","(-9771.65944, 149896.3741)",True,False,False,0.49601273366454646,2397,931,3594,931,1797,"[(-9769.00308, 149882.78441), (-9788.17138, 149835.90851), (-9858.10618, 149777.67771), (-9986.47948, 149840.07741)]"
