Node,Stand
"(-10427.97478, 150424.28671)",[1207]
"(-10435.95128, 150369.62321)",[1207]
"(-10416.42168, 150319.02051)",[1207]
"(-10384.01018, 150307.11421)",[1207]
"(-10352.92158, 150261.47361)",[1207]
"(-10319.84868, 150234.35371)",[1207]
"(-10289.87348, 150228.08091)",[1207]
"(-10262.31898, 150158.54881)",[1207]
"(-10276.51748, 150094.78271)",[1207]
"(-10308.00978, 150027.72871)",[1207]
"(-10369.34358, 150069.26931)",[1207]
"(-10432.86448, 150103.99241)",[1207]
"(-10511.42878, 150065.86281)",[1207]
"(-10588.86958, 150093.11761)",[1207]
"(-10674.88268, 150119.77521)",[1207]
"(-10766.09178, 150093.78201)",[1207]
"(-10800.79318, 150147.52621)",[1207]
"(-10843.92698, 150164.38221)",[1207]
"(-10938.07238, 150219.39641)",[1207]
"(-10990.86208, 150212.07271)",[1207]
"(-11028.98928, 150143.19561)",[1207]
"(-11066.58828, 150183.84621)",[1207]
"(-11068.84448, 150184.26461)",[1207]
"(-11070.84558, 150186.42821)",[1207]
"(-11125.67678, 150196.59571)","[974, 1207]"
"(-11097.10698, 150235.71061)","[974, 1207]"
"(-11045.48808, 150253.32371)","[974, 1207]"
"(-11000.87218, 150284.55191)","[974, 1207]"
"(-10973.14088, 150313.93751)","[974, 1207]"
"(-10944.50158, 150342.85441)","[974, 1207]"
"(-10944.49498, 150342.86101)","[974, 1207]"
"(-10929.77168, 150357.56851)","[974, 1207]"
"(-10910.83998, 150318.47791)","[974, 1207]"
"(-10896.52638, 150314.09401)","[974, 1207]"
"(-10891.52038, 150312.56061)",[1207]
"(-10892.26948, 150311.51191)",[1207]
"(-10853.38208, 150299.60151)",[1207]
"(-10795.13088, 150363.16171)",[1207]
"(-10720.08878, 150389.26361)",[1207]
"(-10723.61358, 150392.26621)",[1207]
"(-10652.40158, 150433.19211)",[1207]
"(-10611.00528, 150384.38041)",[1207]
"(-10595.69658, 150384.03771)",[1207]
"(-10551.47818, 150383.04781)",[1207]
"(-10495.46748, 150416.25401)",[1207]
"(-11001.19172, 150193.41213)",[1207]
"(-11021.07831, 150157.48684)",[1207]
"(-11038.4333, 150153.40612)",[1207]
"(-10836.19272, 150318.3575)",[1207]
"(-10428.48496, 150420.79042)",[1207]
"(-10299.96506, 150230.19274)",[1207]
"(-10316.07608, 150033.19191)",[1207]
"(-10431.2283, 150423.89949)",[1207]
"(-11370.01228, 150702.88441)",[973]
"(-11369.66248, 150702.18461)",[973]
"(-11333.94368, 150684.98671)",[973]
"(-11307.43048, 150671.97831)",[973]
"(-11260.04548, 150672.49191)",[973]
"(-11183.41938, 150662.76171)",[973]
"(-11136.21328, 150637.05561)",[973]
"(-11105.65518, 150604.54641)",[973]
"(-11129.53308, 150560.60801)","[973, 974]"
"(-11196.59328, 150568.22561)","[973, 974]"
"(-11259.21748, 150550.46221)","[973, 974]"
"(-11307.32548, 150518.87851)","[973, 974]"
"(-11354.11728, 150505.83141)","[973, 974]"
"(-11388.46938, 150480.84961)","[973, 974]"
"(-11437.30708, 150448.10831)","[973, 974]"
"(-11465.02598, 150396.50511)","[973, 974]"
"(-11474.92428, 150309.43731)","[973, 974]"
"(-11434.40208, 150273.89461)","[973, 974]"
"(-11402.04028, 150207.97191)","[973, 974]"
"(-11437.75028, 150152.85031)","[973, 974]"
"(-11466.76968, 150118.51391)","[973, 974]"
"(-11494.85768, 150158.75681)",[973]
"(-11525.94888, 150189.77961)",[973]
"(-11527.51268, 150189.67241)",[973]
"(-11530.20758, 150192.36121)",[973]
"(-11581.92418, 150188.81451)",[973]
"(-11609.11038, 150318.27361)",[973]
"(-11569.42288, 150447.91971)",[973]
"(-11569.42278, 150506.12811)",[973]
"(-11548.25608, 150572.53871)",[973]
"(-11516.50608, 150622.80951)",[973]
"(-11511.21448, 150678.37221)",[973]
"(-11479.46438, 150739.22641)",[973]
"(-11434.74638, 150765.53131)",[973]
"(-11388.47308, 150733.87061)",[973]
"(-11373.92108, 150704.76641)",[973]
"(-11123.69888, 150521.13661)",[974]
"(-11065.59268, 150473.22021)",[974]
"(-11013.73418, 150437.23681)",[974]
"(-10996.80088, 150423.47841)",[974]
"(-10996.01968, 150423.72091)",[974]
"(-10992.54348, 150420.89651)",[974]
"(-10961.85188, 150430.42151)",[974]
"(-10932.21858, 150443.12151)",[974]
"(-10906.14458, 150437.32731)",[974]
"(-10894.14228, 150423.47851)",[974]
"(-10899.43398, 150386.43671)",[974]
"(-10882.50058, 150369.50331)",[974]
"(-10869.80058, 150351.51171)",[974]
"(-11176.15808, 150171.15231)",[974]
"(-11210.49168, 150134.66771)",[974]
"(-11254.57188, 150099.44971)",[974]
"(-11322.21058, 150109.14441)",[974]
"(-11374.45098, 150037.77591)",[974]
"(-11427.39908, 150067.60331)",[974]
"(-11463.85658, 150114.34031)",[974]
