ID_UG;nodes
858;(-18996.32668, 150487.65351),(-19376.89108, 150760.39251),(-19019.12398, 150372.41711),(-19230.43039, 150897.91981),(-19171.50488, 150282.66491),(-19207.26707, 150925.01944),(-18845.63342, 150416.73626),(-19088.28132, 150702.15719),(-19365.44542, 150724.09401)
1159;(-18996.32668, 150487.65351),(-19376.89108, 150760.39251),(-19558.77228, 150381.97331),(-19565.48968, 150344.30641),(-19854.66238, 150585.87891),(-19327.41838, 150270.24241),(-19548.72419, 150744.70941),(-19415.18204, 150753.26966)
907;(-20259.92888, 151297.15551),(-20373.47708, 151208.52501),(-20092.06248, 151216.75921),(-20321.9493, 151240.18964)
1219;(-20259.92888, 151297.15551),(-20092.06248, 151216.75921),(-20561.34198, 152005.92651),(-20741.02698, 151638.04541),(-20044.01838, 151181.16291),(-19802.28038, 151400.11821),(-20945.79298, 152083.71261),(-20120.91688, 151657.29481),(-20374.93602, 151630.77118)
908;(-20373.47708, 151208.52501),(-20092.06248, 151216.75921),(-20044.01838, 151181.16291),(-19998.12958, 150938.66231),(-20033.07478, 150852.75251),(-20159.7491, 151058.63753)
1224;(-20103.17388, 149999.66451),(-20178.05698, 149587.84371),(-20193.35238, 149582.65091),(-20092.07628, 149500.54201),(-20456.27388, 149496.74611),(-19813.21978, 149952.63661),(-19594.76518, 150380.08471),(-20053.67008, 149291.77761),(-20060.03348, 149768.02671),(-20176.43468, 149095.40991),(-19636.16808, 150436.07961)
914;(-20103.17388, 149999.66451),(-20237.69718, 149935.84221),(-19791.86918, 150576.07971),(-20046.19378, 150276.43261),(-20314.44328, 150018.54451),(-19636.16808, 150436.07961),(-19910.82027, 150258.01538)
999;(-18180.79438, 148065.30721),(-18134.15908, 147991.56901),(-18575.62358, 147895.17401),(-18464.56308, 148078.10291),(-18395.12388, 147997.37027)
986;(-20133.49248, 148960.09531),(-19844.77948, 148925.99981),(-19888.80978, 148982.37721),(-19772.75208, 148891.60841),(-20387.43948, 148449.78211),(-20147.71748, 148589.73481),(-20420.76727, 148462.10478)
1162;(-20133.49248, 148960.09531),(-19844.77948, 148925.99981),(-19456.44598, 148951.98991),(-19888.80978, 148982.37721),(-19772.75208, 148891.60841),(-19316.37238, 149204.48681),(-20053.67008, 149291.77761),(-20176.43468, 149095.40991),(-19901.75438, 149308.30131),(-19666.52517, 149136.00579)
1161;(-19977.49208, 150945.54141),(-19376.89108, 150760.39251),(-19424.59208, 150993.18951),(-19230.43039, 150897.91981),(-19923.83008, 150612.01551),(-19854.66238, 150585.87891),(-19724.47581, 151109.50839)
