x,y,ID_UG
-20384.30125,152292.70993,840
-20110.40315,152253.80375,841
-20680.81871,152160.5311,842
-19919.77255,152085.19067,843
-20363.54039,151832.77585,844
-19604.86816,151882.26748,845
-18252.27956,148775.25179,1511
-20427.12043,150759.05765,1415
-20321.9493,151240.18964,907
-20159.7491,151058.63753,908
-20444.32954,151222.99863,909
-20611.80988,150929.69322,910
-20217.89813,150643.2137,912
-19991.69528,150462.0952,913
-19910.82027,150258.01538,914
-19050.06598,150206.4676,859
-18911.84518,149487.71269,862
-19146.85309,149339.87061,863
-19825.36991,148548.32859,987
-18508.47489,149031.36554,990
-18256.14705,149035.06612,991
-19027.04257,149126.83841,992
-18945.70317,148950.5831,993
-18664.94384,148603.76108,995
-18257.0914,148547.03044,996
-19208.91521,148455.63729,997
-18593.38864,148204.39552,998
-18395.12388,147997.37027,999
-19552.1067,148432.02912,1163
-17864.62096,148505.90669,1167
-20374.93602,151630.77118,1219
-18296.8675,149342.90115,1319
-18113.14101,149583.06404,1320
-20145.15517,149868.9616,1323
-19350.41742,150250.88267,1328
-19262.87982,149088.7106,1329
-19410.53731,148675.25083,1330
-19464.3927,148757.11694,1331
-18203.06698,148235.76639,1333
-19187.11285,150378.93697,1337
-19998.78504,151739.76057,1537
-19501.83001,152113.83699,1557
-19328.37375,151691.90101,1558
-19480.90404,151507.39846,1559
-20003.22532,150752.09398,1561
-19985.91822,151209.96399,1562
-19661.30926,151391.02818,1563
-19743.42606,150532.31805,1565
-19351.03966,149144.68212,1566
-19478.45355,151832.00642,1580
-19716.27775,152303.39347,1581
-19505.73007,152463.49644,1582
-19614.49896,152390.42898,1583
-19389.22731,152404.32656,1584
