"Source(x,y)","Target(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-18361.91829, 150854.93906)","(-18190.1355, 150820.50617)",True,False,False,0.17677196853408164,1328,474,1993,474,996,"[(-18352.36548, 150847.12311), (-18263.44988, 150831.06901), (-18227.18088, 150825.71561)]"
"(-18361.91829, 150854.93906)","(-18503.4154, 150718.05193)",True,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18396.02178, 150881.51911)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18732.89038, 150619.88671)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18836.56688, 150717.75251)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18630.00538, 150654.28451)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18408.96258, 150876.72471)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18676.69798, 150655.24541)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18172.44848, 150818.01901)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18824.69198, 150844.66351)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18443.77608, 150561.90141)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18690.70598, 150788.11461)",False,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18361.91829, 150854.93906)",True,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18190.1355, 150820.50617)",True,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18549.02809, 150615.1303)",True,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18641.97749, 150654.53089)",True,True,False,0.0,0,0,0,0,0,
"(-18503.4154, 150718.05193)","(-18839.92852, 150737.52197)",True,True,False,0.0,0,0,0,0,0,
"(-18732.89038, 150619.88671)","(-18723.67344, 150609.30989)",True,False,30.4836,0.014029294503850633,105,38,158,38,79,
"(-18732.89038, 150619.88671)","(-18836.56688, 150717.75251)",True,False,False,0.14309965446783837,1075,385,1612,385,807,"[(-18744.63198, 150633.36071)]"
"(-18732.89038, 150619.88671)","(-18676.69798, 150655.24541)",True,False,False,0.06797613240610215,511,183,766,183,383,"[(-18708.58038, 150643.33911)]"
"(-18732.89038, 150619.88671)","(-19001.43311, 150620.92439)",False,True,False,0.0,0,0,0,0,0,
"(-18732.89038, 150619.88671)","(-18503.4154, 150718.05193)",False,True,False,0.0,0,0,0,0,0,
"(-18723.67344, 150609.30989)","(-18732.89038, 150619.88671)",True,False,30.4836,0.014029294503850633,105,38,158,38,79,
"(-18723.67344, 150609.30989)","(-18707.12948, 150590.32501)",True,False,30.4836,0.025181903841769115,189,68,284,68,142,
"(-18723.67344, 150609.30989)","(-19001.43311, 150620.92439)",True,True,False,0.0,0,0,0,0,0,
"(-18836.56688, 150717.75251)","(-18732.89038, 150619.88671)",True,False,False,0.14309965446783837,1075,385,1612,385,807,"[(-18744.63198, 150633.36071)]"
