"Node1(x,y)","Node2(x,y)"
"(-15367.86, 147126.9756)","(-15371.594, 147106.1825)"
"(-15371.594, 147106.1825)","(-15366.3847, 147099.2598)"
"(-15366.3847, 147099.2598)","(-15365.2109, 147071.6643)"
"(-15365.2109, 147071.6643)","(-15349.3359, 147053.1435)"
"(-15381.048, 146181.409)","(-15381.0428, 146181.4313)"
"(-15381.0428, 146181.4313)","(-15381.0214, 146181.5298)"
"(-15381.0214, 146181.5298)","(-15380.9306, 146181.943)"
"(-15380.9306, 146181.943)","(-15380.529, 146183.7689)"
"(-15380.529, 146183.7689)","(-15375.6781, 146205.8237)"
"(-15375.6781, 146205.8237)","(-15368.2733, 146239.4901)"
"(-15368.2733, 146239.4901)","(-15367.4728, 146243.1297)"
"(-15367.4728, 146243.1297)","(-15364.4106, 146255.5062)"
"(-15364.4106, 146255.5062)","(-15358.1451, 146280.8296)"
"(-15358.1451, 146280.8296)","(-15350.4287, 146312.0168)"
"(-15350.4287, 146312.0168)","(-15370.2043, 146367.2407)"
"(-15370.2043, 146367.2407)","(-15410.0204, 146410.1702)"
"(-15410.0204, 146410.1702)","(-15413.1757, 146485.5368)"
"(-15413.1757, 146485.5368)","(-15480.0621, 146522.0431)"
"(-15480.0621, 146522.0431)","(-15510.3326, 146570.888)"
"(-15510.3326, 146570.888)","(-15516.1525, 146622.8037)"
"(-15516.1525, 146622.8037)","(-15541.417, 146671.943)"
"(-15541.417, 146671.943)","(-15539.3818, 146673.1485)"
"(-15539.3818, 146673.1485)","(-15523.2237, 146682.7194)"
"(-15523.2237, 146682.7194)","(-15516.08, 146700.9757)"
"(-15516.08, 146700.9757)","(-15523.6206, 146732.3289)"
"(-15523.6206, 146732.3289)","(-15532.7487, 146759.7133)"
"(-15532.7487, 146759.7133)","(-15553.1617, 146776.8298)"
"(-15553.1617, 146776.8298)","(-15560.1332, 146782.7321)"
"(-15560.1332, 146782.7321)","(-15566.0863, 146800.5915)"
"(-15566.0863, 146800.5915)","(-15560.1688, 146820.4616)"
"(-15560.1688, 146820.4616)","(-15552.7248, 146837.6135)"
"(-15552.7248, 146837.6135)","(-15549.0206, 146866.1884)"
"(-15549.0206, 146866.1884)","(-15549.5498, 146882.5927)"
"(-15549.5498, 146882.5927)","(-15553.4299, 146940.2644)"
"(-15553.4299, 146940.2644)","(-15553.254, 146959.322)"
"(-15553.254, 146959.322)","(-15544.2581, 146982.0762)"
"(-15544.2581, 146982.0762)","(-15522.874, 146982.8549)"
"(-15522.874, 146982.8549)","(-15453.7936, 146982.6592)"
"(-15453.7936, 146982.6592)","(-15464.6374, 146928.8166)"
"(-15464.6374, 146928.8166)","(-15434.0843, 146868.4152)"
"(-15434.0843, 146868.4152)","(-15426.7978, 146812.6308)"
"(-15426.7978, 146812.6308)","(-15396.0177, 146748.3704)"
"(-15396.0177, 146748.3704)","(-15358.3623, 146677.6535)"
"(-15358.3623, 146677.6535)","(-15361.2028, 146613.2532)"
"(-15361.2028, 146613.2532)","(-15342.0622, 146591.2724)"
"(-15342.0622, 146591.2724)","(-15342.4772, 146590.9893)"
"(-15342.4772, 146590.9893)","(-15311.3558, 146544.4366)"
"(-15311.3558, 146544.4366)","(-15278.9771, 146513.2017)"
"(-15278.9771, 146513.2017)","(-15309.1396, 146483.0391)"
"(-15309.1396, 146483.0391)","(-15301.3272, 146430.6377)"
"(-15301.3272, 146430.6377)","(-15248.8145, 146387.789)"
"(-15248.8145, 146387.789)","(-15213.7987, 146370.2652)"
"(-15213.7987, 146370.2652)","(-15256.9349, 146363.975)"
"(-15256.9349, 146363.975)","(-15278.8055, 146289.5168)"
"(-15278.8055, 146289.5168)","(-15289.0324, 146227.329)"
"(-15289.0324, 146227.329)","(-15298.9268, 146179.866)"
"(-15298.9268, 146179.866)","(-15321.3996, 146136.7598)"
"(-15321.3996, 146136.7598)","(-15369.0319, 146123.054)"
"(-15369.0319, 146123.054)","(-15385.0115, 146163.3883)"
"(-15385.0115, 146163.3883)","(-15381.0566, 146181.3697)"
"(-15381.0566, 146181.3697)","(-15381.048, 146181.409)"
"(-14794.2013, 146332.7875)","(-14850.4857, 146304.1778)"
"(-14850.4857, 146304.1778)","(-14902.965, 146258.3702)"
"(-14902.965, 146258.3702)","(-14967.4398, 146230.588)"
"(-14967.4398, 146230.588)","(-15048.5038, 146223.7008)"
"(-15048.5038, 146223.7008)","(-15101.8375, 146202.9281)"
"(-15101.8375, 146202.9281)","(-15154.4154, 146158.665)"
"(-15154.4154, 146158.665)","(-15154.5093, 146158.542)"
"(-15154.5093, 146158.542)","(-15154.5597, 146159.0077)"
"(-15154.5597, 146159.0077)","(-15204.7673, 146093.2992)"
"(-15204.7673, 146093.2992)","(-15256.1733, 146061.7306)"
"(-15256.1733, 146061.7306)","(-15267.1555, 146112.4075)"
"(-15267.1555, 146112.4075)","(-15248.6659, 146182.5508)"
"(-15248.6659, 146182.5508)","(-15242.831, 146256.3498)"
"(-15242.831, 146256.3498)","(-15225.3045, 146317.537)"
"(-15225.3045, 146317.537)","(-15212.7236, 146370.0582)"
"(-15212.7236, 146370.0582)","(-15137.9418, 146314.3062)"
"(-15137.9418, 146314.3062)","(-15059.5158, 146324.3224)"
"(-15059.5158, 146324.3224)","(-15002.1526, 146329.5152)"
"(-15002.1526, 146329.5152)","(-14958.3531, 146341.7459)"
"(-14958.3531, 146341.7459)","(-14855.433, 146361.649)"
"(-14855.433, 146361.649)","(-14820.8566, 146412.6084)"
"(-14820.8566, 146412.6084)","(-14778.634, 146426.8089)"
