variable,lb,ub,type,edge,period,road_type
flow_timber_node87node204_t2,0.0,9.0,I,node87node204,2,timber
flow_timber_node87node204_t3,0.0,9.0,I,node87node204,3,timber
flow_timber_node87node204_t4,0.0,9.0,I,node87node204,4,timber
flow_timber_node87node204_t5,0.0,9.0,I,node87node204,5,timber
flow_wide_node87node204_t1,0.0,9.0,I,node87node204,1,wide
flow_wide_node87node204_t2,0.0,9.0,I,node87node204,2,wide
flow_wide_node87node204_t3,0.0,9.0,I,node87node204,3,wide
flow_wide_node87node204_t4,0.0,9.0,I,node87node204,4,wide
flow_wide_node87node204_t5,0.0,9.0,I,node87node204,5,wide
flow_timber_node87node288_t1,0.0,9.0,I,node87node288,1,timber
flow_timber_node87node288_t2,0.0,9.0,I,node87node288,2,timber
flow_timber_node87node288_t3,0.0,9.0,I,node87node288,3,timber
flow_timber_node87node288_t4,0.0,9.0,I,node87node288,4,timber
flow_timber_node87node288_t5,0.0,9.0,I,node87node288,5,timber
flow_wide_node87node288_t1,0.0,9.0,I,node87node288,1,wide
flow_wide_node87node288_t2,0.0,9.0,I,node87node288,2,wide
flow_wide_node87node288_t3,0.0,9.0,I,node87node288,3,wide
flow_wide_node87node288_t4,0.0,9.0,I,node87node288,4,wide
flow_wide_node87node288_t5,0.0,9.0,I,node87node288,5,wide
flow_timber_node87node292_t1,0.0,9.0,I,node87node292,1,timber
flow_timber_node87node292_t2,0.0,9.0,I,node87node292,2,timber
flow_timber_node87node292_t3,0.0,9.0,I,node87node292,3,timber
flow_timber_node87node292_t4,0.0,9.0,I,node87node292,4,timber
flow_timber_node87node292_t5,0.0,9.0,I,node87node292,5,timber
flow_wide_node87node292_t1,0.0,9.0,I,node87node292,1,wide
flow_wide_node87node292_t2,0.0,9.0,I,node87node292,2,wide
flow_wide_node87node292_t3,0.0,9.0,I,node87node292,3,wide
flow_wide_node87node292_t4,0.0,9.0,I,node87node292,4,wide
flow_wide_node87node292_t5,0.0,9.0,I,node87node292,5,wide
flow_timber_node158node1_t1,0.0,9.0,I,node158node1,1,timber
flow_timber_node158node1_t2,0.0,9.0,I,node158node1,2,timber
flow_timber_node158node1_t3,0.0,9.0,I,node158node1,3,timber
flow_timber_node158node1_t4,0.0,9.0,I,node158node1,4,timber
flow_timber_node158node1_t5,0.0,9.0,I,node158node1,5,timber
flow_wide_node158node1_t1,0.0,9.0,I,node158node1,1,wide
flow_wide_node158node1_t2,0.0,9.0,I,node158node1,2,wide
flow_wide_node158node1_t3,0.0,9.0,I,node158node1,3,wide
flow_wide_node158node1_t4,0.0,9.0,I,node158node1,4,wide
flow_wide_node158node1_t5,0.0,9.0,I,node158node1,5,wide
