1244.0 * C_node2node82_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1047.41 * C_node2node82_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
742.53 * C_node2node82_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
526.39 * C_node2node82_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
373.17 * C_node2node82_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
264.55 * C_node2node82_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1866.0 * C_node2node82_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1571.12 * C_node2node82_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1113.8 * C_node2node82_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
789.59 * C_node2node82_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
559.76 * C_node2node82_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
396.82 * C_node2node82_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2276.0 * C_node2node49_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1916.33 * C_node2node49_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1358.52 * C_node2node49_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
963.08 * C_node2node49_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
682.75 * C_node2node49_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
484.01 * C_node2node49_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3413.0 * C_node2node49_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2873.65 * C_node2node49_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2037.19 * C_node2node49_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1444.2 * C_node2node49_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1023.82 * C_node2node49_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
725.81 * C_node2node49_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
5907.0 * C_node2node110_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
4973.54 * C_node2node110_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
3525.83 * C_node2node110_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
2499.53 * C_node2node110_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1771.96 * C_node2node110_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1256.18 * C_node2node110_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
8859.0 * C_node2node110_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
7459.04 * C_node2node110_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
5287.85 * C_node2node110_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
3748.66 * C_node2node110_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2657.5 * C_node2node110_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1883.95 * C_node2node110_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
