UG,species,Presc,period,Vremovido(ton),Rait
1021,Qr,19600,3,1.210014,49.0691
1021,Qr,19600,4,0.0,49.0691
1021,Qr,19600,5,83.072106,49.0691
1022,Ec,20600,1,206.44699500000002,14.7343
1022,Qr,20600,1,0.0,58.937
1022,Qr,20600,2,0.0,73.6713
1022,Qr,20600,3,1.453374,73.6713
1022,Qr,20600,4,0.0,73.6713
1022,Qr,20600,5,99.77799,73.6713
1023,Ec,21,1,334.3507875,63.1103
1023,Ec,21,2,457.3980225,64.6495
1023,Ec,21,3,752.2434225000001,61.571
1023,Ec,21,4,670.1616,63.1103
1023,Ec,21,5,0.0,63.1103
1024,Ec,21,1,146.9714625,24.3584
1024,Ec,21,2,201.059685,25.7117
1024,Ec,21,3,330.6656925,25.0351
1024,Ec,21,4,294.5847825,24.3584
1024,Ec,21,5,0.0,24.3584
1025,Ec,37,1,319.974435,48.7024
1025,Ec,37,2,748.433385,48.7024
1025,Ec,37,3,668.4397425000001,48.7024
1025,Ec,37,4,577.48815,48.7024
1025,Ec,37,5,748.433385,48.7024
1026,Ec,21,1,155.07099000000002,27.1286
1026,Ec,21,2,212.1400125,28.5565
1026,Ec,21,3,348.8885325,27.8425
1026,Ec,21,4,310.8192075,26.4147
1026,Ec,21,5,0.0,27.8425
1027,Ec,21,1,152.3383875,24.1447
1027,Ec,21,2,207.938475,23.4346
1027,Ec,21,3,343.2101625,22.7244
1027,Ec,21,4,305.3419875,24.1447
1027,Ec,21,5,0.0,23.4346
1028,Ec,20,1,469.7372925,30.4555
1028,Ec,20,2,659.8935,30.4555
1028,Ec,20,3,834.6316275,30.4555
1028,Ec,20,4,774.5011425000001,30.4555
1028,Ec,20,5,681.99273,30.4555
1029,Ec,21,1,813.6254925000001,46.405
1029,Ec,21,2,1129.2087825,46.405
1029,Ec,21,3,1424.4319125,46.405
1029,Ec,21,4,1321.06464,46.405
1029,Ec,21,5,0.0,46.405
103,Pb,503,1,0.0,10.8049
103,Pb,503,2,0.0,16.9792
103,Pb,503,3,158.36934,22.3816
103,Pb,503,4,252.37218,23.1534
103,Pb,503,5,1673.99148,27.7841
1030,Ec,35,1,568.0366650000001,39.0937
1030,Ec,35,2,1682.2522125,39.0937
1030,Ec,35,3,1579.3379325,39.0937
1030,Ec,35,4,1414.4112675000001,39.0937
1030,Ec,35,5,1682.2522125,39.0937
1031,Ec,35700,1,527.773725,16.7499
1031,Sb,35700,1,0.0,15.4099
1031,Sb,35700,2,0.0,27.4699
1031,Sb,35700,3,0.0,33.4999
1031,Sb,35700,4,123.019572,33.4999
1031,Sb,35700,5,191.1663,33.4999
1032,Ec,35700,1,1950.0176925000003,41.4592
1032,Sb,35700,1,0.0,41.4592
1032,Sb,35700,2,0.0,82.9183
1032,Sb,35700,3,0.0,82.9183
1032,Sb,35700,4,380.62003200000004,82.9183
1032,Sb,35700,5,591.464796,82.9183
1033,Ec,20700,1,409.97616750000003,8.5225
1033,Sb,20700,1,0.0,14.7724
1033,Sb,20700,2,0.0,22.1586
1033,Sb,20700,3,0.0,28.4084
1033,Sb,20700,4,104.32258200000001,28.4084
1033,Sb,20700,5,162.11208000000002,28.4084
1034,Ec,34700,1,724.7787525000001,33.4824
1034,Sb,34700,1,0.0,11.5457
1034,Sb,34700,2,0.0,57.7283
1034,Sb,34700,3,0.0,57.7283
1034,Sb,34700,4,211.99214400000002,57.7283
1034,Sb,34700,5,329.425356,57.7283
1035,Ec,3700,1,449.3822625,40.3486
1035,Sb,3700,1,0.0,5.0436
1035,Sb,3700,2,0.0,48.4183
1035,Sb,3700,3,0.0,50.4357
1035,Sb,3700,4,185.212092,50.4357
1035,Sb,3700,5,287.810406,50.4357
1036,Ec,21,1,693.590715,39.5589
1036,Ec,21,2,957.2753475000001,39.5589
1036,Ec,21,3,1208.2763925000002,39.5589
1036,Ec,21,4,1120.1589900000001,39.5589
1036,Ec,21,5,0.0,39.5589
1037,Ec,35700,1,227.24401500000002,16.2899
1037,Sb,35700,1,0.0,38.0098
1037,Sb,35700,2,0.0,54.2996
1037,Sb,35700,3,0.0,54.2996
1037,Sb,35700,4,249.251652,54.2996
1037,Sb,35700,5,387.324834,54.2996
1037,Sb,700,1,0.0,24.9701
1037,Sb,700,2,0.0,28.5373
1037,Sb,700,3,0.0,28.5373
1037,Sb,700,4,0.0,28.5373
1037,Sb,700,5,0.0,28.5373
1038,Ec,24700,1,835.3823625,8.1028
1038,Sb,24700,1,0.0,72.9252
1038,Sb,24700,2,0.0,81.028
1038,Sb,24700,3,0.0,81.028
1038,Sb,24700,4,297.55408800000004,81.028
1038,Sb,24700,5,995.302074,81.028
1039,Ct,19310,1,0.0,6.5883
1039,Ec,19310,1,400.23895500000003,23.4251
1039,Ct,19310,2,0.0,30.7454
1039,Ct,19310,3,0.0,32.2094
1039,Ct,19310,4,200.986968,36.6016
1039,Ct,19310,5,306.048288,36.6016
104,Pb,503,1,0.0,8.2562
104,Pb,503,2,29.014799999999997,10.6152
104,Pb,503,3,156.39696,13.5638
104,Pb,503,4,182.22719999999998,15.333
104,Pb,503,5,1425.26442,17.692
1040,Ec,20700,1,466.1772075,6.8005
1040,Sb,20700,1,0.0,27.2022
1040,Sb,20700,2,0.0,34.0027
1040,Sb,20700,3,0.0,37.7808
1040,Sb,20700,4,138.74016,37.7808
1040,Sb,20700,5,215.595354,37.7808
1041,Ec,3700,1,1005.1623450000001,34.5807
1041,Sb,3700,1,0.0,4.3226
1041,Sb,3700,2,0.0,43.2258
1041,Sb,3700,3,0.0,43.2258
1041,Sb,3700,4,198.419442,43.2258
1041,Sb,3700,5,308.334078,43.2258
1042,Ec,19700,1,115.66374750000001,2.937
1042,Sb,19700,1,0.0,26.4333
1042,Sb,19700,2,0.0,29.3703
1042,Sb,19700,3,0.0,29.3703
1042,Sb,19700,4,179.757864,29.3703
1042,Sb,19700,5,601.280238,29.3703
1043,Ec,35700,1,122.534235,1.7165
1043,Sb,35700,1,0.0,15.4486
1043,Sb,35700,2,0.0,17.1651
1043,Sb,35700,3,0.0,17.1651
1043,Sb,35700,4,105.057498,17.1651
1043,Sb,35700,5,351.41152800000003,17.1651
1044,Ec,37,1,134.8325325,18.8879
1044,Ec,37,2,295.3600875,18.8879
1044,Ec,37,3,264.3366825,18.8879
1044,Ec,37,4,228.21351750000002,18.8879
1044,Ec,37,5,295.3600875,18.8879
1045,Ec,21,1,97.75917,17.7902
1045,Ec,21,2,136.286955,17.7902
1045,Ec,21,3,417.89283750000004,17.7902
1045,Ec,21,4,380.2664475,17.7902
1045,Ec,21,5,0.0,17.7902
1046,Ec,36700,1,286.70976,6.8151
1046,Sb,36700,1,0.0,27.2604
1046,Sb,36700,2,0.0,34.0754
1046,Sb,36700,3,0.0,34.0754
1046,Sb,36700,4,208.555386,34.0754
1046,Sb,36700,5,324.084774,34.0754
1047,Ec,20700,1,353.21568750000006,17.4973
1047,Sb,20700,1,0.0,79.9875
1047,Sb,20700,2,0.0,99.9844
1047,Sb,20700,3,0.0,99.9844
1047,Sb,20700,4,458.95855200000005,99.9844
1047,Sb,20700,5,713.198928,99.9844
1048,Ec,37700,1,386.35393500000004,1.9859
1048,Sb,37700,1,0.0,17.8731
1048,Sb,37700,2,0.0,19.859
1048,Sb,37700,3,0.0,19.859
1048,Sb,37700,4,121.54521600000001,19.859
1048,Sb,37700,5,406.56213,19.859
1049,Ec,35700,1,161.41227750000002,3.0148
1049,Sb,35700,1,0.0,24.8725
1049,Sb,35700,2,0.0,28.641
1049,Sb,35700,3,0.0,30.1485
1049,Sb,35700,4,138.390486,30.1485
1049,Sb,35700,5,462.90839400000004,30.1485
105,Ec,3,1,460.103625,29.2861
105,Ec,3,2,469.4934825,29.2861
105,Ec,3,3,425.5094025000001,29.2861
105,Ec,3,4,689.9083875,29.2861
105,Ec,3,5,0.0,29.2861
1050,Ec,21,1,454.487895,26.4355
1050,Ec,21,2,663.1595550000001,30.8414
1050,Ec,21,3,1683.8731575000002,31.7226
1050,Ec,21,4,1580.37831,27.3166
1050,Ec,21,5,1416.2140575,27.3166
1051,Ec,19700,1,273.208005,15.1404
1051,Sb,19700,1,0.0,15.1404
1051,Sb,19700,2,0.0,30.2807
1051,Sb,19700,3,0.0,30.2807
1051,Sb,19700,4,185.330262,30.2807
1051,Sb,19700,5,287.994096,30.2807
1052,Ec,36,1,322.565085,37.4597
1052,Ec,36,2,805.7579625000001,37.4597
1052,Ec,36,3,729.0591975000001,37.4597
1052,Ec,36,4,626.2323975,37.4597
1052,Ec,36,5,805.7579625000001,37.4597
1053,Ec,21,1,209.2642425,22.5881
1053,Ec,21,2,275.20722,22.0234
1053,Ec,21,3,0.0,22.5881
1053,Ec,21,4,462.36345750000004,22.0234
1053,Ec,21,5,422.34021000000007,22.0234
1054,Ec,19700,1,304.29729,28.6229
1054,Sb,19700,1,0.0,28.6229
1054,Sb,19700,2,0.0,57.2458
1054,Sb,19700,3,0.0,57.2458
1054,Sb,19700,4,262.775448,57.2458
1054,Sb,19700,5,408.340062,57.2458
1055,Ec,35700,1,154.640745,4.7237
1055,Sb,35700,1,0.0,18.8946
1055,Sb,35700,2,0.0,23.6183
1055,Sb,35700,3,0.0,23.6183
1055,Sb,35700,4,144.553422,23.6183
1055,Sb,35700,5,224.628846,23.6183
1056,Ec,35700,1,344.37568500000003,13.9777
1056,Sb,35700,1,0.0,55.9108
1056,Sb,35700,2,0.0,69.8885
1056,Sb,35700,3,0.0,69.8885
1056,Sb,35700,4,320.80924200000004,69.8885
1056,Sb,35700,5,498.52179,69.8885
1057,Ec,21700,1,263.2905675,37.2724
1057,Sb,21700,2,0.0,36.4056
