UG,species,Presc,period,Vremovido(ton),Rait
101,Pb,503,4,269.87796,24.5344
101,Pb,503,5,1809.6545999999998,26.9878
1010,Ec,3,1,0.0,21.0146
1010,Ec,3,2,775.879695,19.5485
1010,Ec,3,3,724.7481750000001,21.0146
1010,Ec,3,4,644.2572600000001,21.0146
1010,Ec,3,5,775.879695,20.5259
1011,Ec,3,1,2135.8995975000003,44.1641
1011,Ec,3,2,0.0,40.5832
1011,Ec,3,3,2011.0167675,42.9704
1011,Ec,3,4,1742.7200625,44.1641
1011,Ec,3,5,1878.0769350000003,41.7768
1012,Ec,34700,1,388.68282000000005,16.2557
1012,Sb,34700,1,0.0,5.0017
1012,Sb,34700,2,0.0,21.8827
1012,Sb,34700,3,0.0,25.0087
1012,Sb,34700,4,114.79767000000001,25.0087
1012,Sb,34700,5,178.3899,25.0087
1013,Ec,34700,1,205.17138000000003,6.9306
1013,Sb,34700,1,0.0,1.6501
1013,Sb,34700,2,0.0,6.2706
1013,Sb,34700,3,0.0,11.8811
1013,Sb,34700,4,60.59742,13.2012
1013,Sb,34700,5,94.1655,13.2012
1014,Ec,3,1,293.7097125,19.1791
1014,Ec,3,2,0.0,18.5797
1014,Ec,3,3,261.7495425,19.7784
1014,Ec,3,4,232.21674000000004,19.7784
1014,Ec,3,5,375.0260175,18.5797
1015,Ec,3,1,47.336467500000005,11.1501
1015,Ec,3,2,102.99150000000002,11.4435
1015,Ec,3,3,0.0,11.4435
1015,Ec,3,4,92.09814750000001,11.7369
1015,Ec,3,5,178.4525175,11.7369
1015,Pb,503,1,0.0,9.6435
1015,Pb,503,2,0.0,11.2507
1015,Pb,503,3,0.0,12.858
1015,Pb,503,4,0.0,13.6616
1015,Pb,503,5,579.09168,14.4652
1016,Pb,500602,1,0.0,8.1272
1016,Pb,500602,2,0.0,8.1272
1016,Pb,500602,3,0.0,8.9399
1016,Pb,500602,4,223.33589999999998,1.6254
1016,Qr,500602,4,0.0,32.5089
1016,Qr,500602,5,0.0,37.3852
1018,Ec,19700,1,118.61410500000001,5.7243
1018,Sb,19700,1,0.0,19.626
1018,Sb,19700,2,0.0,25.3503
1018,Sb,19700,3,0.0,32.7101
1018,Sb,19700,4,150.149064,32.7101
1018,Sb,19700,5,233.324208,32.7101
1019,Ec,19700,1,576.9918225,9.8679
