UG,species,Presc,period,Vremovido(ton),Rait
1,Ec,3502,1,3968.3560500000003,136.3257
1,Pb,3502,1,0.0,4.2602
1,Pb,3502,2,0.0,46.862
1,Pb,3502,3,0.0,63.9027
1,Pb,3502,4,869.07636,80.9434
1,Pb,3502,5,1439.08818,102.2443
10,Ec,19502,1,2556.20718,46.772
10,Pb,19502,2,0.0,18.7088
10,Pb,19502,3,76.7061,34.2995
10,Pb,19502,4,403.17468,40.5357
10,Pb,19502,5,544.4262,49.8901
100,Ec,2,1,916.1667000000001,20.0255
100,Ec,2,2,865.4771700000001,17.2442
100,Ec,2,3,0.0,16.6879
100,Ec,2,4,752.4582075000001,21.6943
100,Ec,2,5,804.64968,17.8004
1000,Ec,21,1,665.88588,56.5924
1000,Ec,21,2,954.4125375000001,56.5924
1000,Ec,21,3,0.0,64.6771
1000,Ec,21,4,2577.5836200000003,55.245
1000,Ec,21,5,2419.3269,56.5924
1001,Ec,20,1,1274.617215,18.6484
1001,Ec,20,2,1071.3498075,18.6484
1001,Ec,20,3,0.0,24.1738
1001,Ec,20,4,990.22932,18.6484
1001,Ec,20,5,925.89237,20.7204
1002,Ec,35,1,634.092975,9.2771
1002,Ec,35,2,492.616485,11.6823
1002,Ec,35,3,0.0,9.2771
1002,Ec,35,4,460.61034750000005,10.6515
1002,Ec,35,5,409.8179475,12.0259
1003,Ec,20,1,197.18329500000002,10.3846
1003,Ec,20,2,173.71631250000002,11.2876
1003,Ec,20,3,0.0,13.9966
1003,Ec,20,4,249.90774750000003,11.2876
1003,Ec,20,5,225.22171500000005,11.7391
1004,Ec,34,1,376.35185250000006,15.6719
1004,Ec,34,2,283.9930875,18.083
1004,Ec,34,3,254.291805,16.8774
1004,Ec,34,4,219.7081125,16.8774
1004,Ec,34,5,283.9930875,18.083
1005,Ec,34,1,264.0691125,12.0822
1005,Ec,34,2,199.66884750000003,15.4152
1005,Ec,34,3,179.4207375,13.7487
1005,Ec,34,4,155.2354875,13.7487
1005,Ec,34,5,199.66884750000003,15.4152
1006,Ec,36,1,1671.5976075,20.5684
1006,Ec,36,2,0.0,24.6821
1006,Ec,36,3,1302.2911350000002,24.6821
1006,Ec,36,4,1216.2122325,23.0367
1006,Ec,36,5,1080.707265,23.8594
1007,Ec,36502,1,924.3306225,38.5063
1007,Pb,36502,2,0.0,14.4398
1007,Pb,36502,3,0.0,18.0498
1007,Pb,36502,4,161.72627999999997,20.4564
1007,Pb,36502,5,257.02925999999997,22.8631
1008,Ec,2,1,1659.4920900000002,33.6363
1008,Ec,2,2,1565.922105,28.5399
1008,Ec,2,3,0.0,29.5592
1008,Ec,2,4,1358.82954,37.7134
1008,Ec,2,5,1455.1516350000002,32.617
1009,Ec,23,1,186.07745250000002,34.7301
1009,Ec,23,2,256.4059725,34.7301
1009,Ec,23,3,438.0878925,32.5595
1009,Ec,23,4,387.5393025,32.5595
1009,Ec,23,5,334.060335,34.7301
101,Pb,503,1,0.0,12.2672
101,Pb,503,2,0.0,17.9919
101,Pb,503,3,161.43612,23.7166
101,Pb,503,4,269.87796,24.5344
101,Pb,503,5,1809.6545999999998,29.4412
1010,Ec,2,1,0.0,21.0146
1010,Ec,2,2,704.29554,20.0372
1010,Ec,2,3,658.7719875,21.0146
1010,Ec,2,4,586.5280875000001,20.5259
1010,Ec,2,5,704.29554,21.0146
1011,Ec,3502,1,2135.8995975000003,44.1641
1011,Pb,3502,2,0.0,13.1299
1011,Pb,3502,3,58.726259999999996,19.098
1011,Pb,3502,4,308.67101999999994,27.4533
1011,Pb,3502,5,416.81328,31.0342
1012,Ec,35,1,460.00460250000003,21.2574
1012,Ec,35,2,344.37042,23.1331
1012,Ec,35,3,0.0,21.2574
1012,Ec,35,4,309.7645875,22.5079
1012,Ec,35,5,266.718285,21.8827
1013,Ec,35,1,242.81950500000002,7.9207
1013,Ec,35,2,181.78047,9.9009
