"Node1(x,y)","Node2(x,y)"
"(-16901.01498, 146258.24251)","(-16830.90028, 146262.21131)"
"(-16901.01498, 146258.24251)","(-16964.51518, 146232.44561)"
"(-16950.40388, 145927.21101)","(-16947.68288, 145888.20451)"
"(-16950.40388, 145927.21101)","(-16895.18318, 145962.59211)"
"(-17383.47268, 146512.73251)","(-17431.09778, 146484.95121)"
"(-17383.47268, 146512.73251)","(-17301.45168, 146548.45131)"
"(-17455.50558, 146283.11341)","(-17483.28698, 146293.43221)"
"(-17455.50558, 146283.11341)","(-17428.73138, 146282.43121)"
"(-17585.47128, 146083.55771)","(-17594.57248, 146074.45621)"
"(-17585.47128, 146083.55771)","(-17584.29268, 146084.84391)"
"(-17604.91598, 146044.22811)","(-17605.81818, 146040.86081)"
"(-17604.91598, 146044.22811)","(-17604.61218, 146047.70121)"
"(-16733.13058, 145999.26771)","(-16665.39888, 146004.98321)"
"(-16733.13058, 145999.26771)","(-16790.52688, 145977.65901)"
"(-17477.51798, 146038.18001)","(-17425.29968, 146084.21491)"
"(-17477.51798, 146038.18001)","(-17532.31638, 146000.78011)"
"(-16873.64618, 145833.86851)","(-16842.68988, 145841.01231)"
"(-16873.64618, 145833.86851)","(-16902.74038, 145822.23081)"
"(-17670.73148, 145989.60261)","(-17686.82358, 145982.87991)"
"(-17670.73148, 145989.60261)","(-17642.55368, 146007.84691)"
"(-16872.68518, 145742.98941)","(-16860.77888, 145766.80201)"
"(-16872.68518, 145742.98941)","(-16898.08518, 145693.77681)"
"(-16651.88498, 146512.53441)","(-16640.79428, 146437.36001)"
"(-16651.88498, 146512.53441)","(-16643.10179, 146543.56046)"
"(-17311.59518, 145946.59821)","(-17312.92008, 145943.21301)"
"(-17311.59518, 145946.59821)","(-17289.62448, 146002.73401)"
"(-17252.20658, 146095.49431)","(-17262.17758, 146075.14551)"
"(-17252.20658, 146095.49431)","(-17258.47331, 146122.32185)"
"(-16762.44028, 146619.75251)","(-16678.84838, 146610.41981)"
"(-16762.44028, 146619.75251)","(-16811.62418, 146563.19101)"
"(-17601.54048, 146104.68971)","(-17634.61218, 146052.50331)"
"(-17601.54048, 146104.68971)","(-17589.76888, 146152.32161)"
"(-17087.63318, 145858.12551)","(-17063.82068, 145856.80261)"
"(-17087.63318, 145858.12551)","(-17112.10718, 145875.98491)"
"(-16602.94848, 146743.66131)","(-16590.82228, 146806.67931)"
"(-16602.94848, 146743.66131)","(-16575.59628, 146694.55491)"
"(-17584.29268, 146084.84391)","(-17582.29308, 146087.69971)"
"(-16917.46558, 145829.36501)","(-16902.74038, 145822.23081)"
"(-16917.46558, 145829.36501)","(-16947.68288, 145888.20451)"
"(-16350.34018, 146292.65801)","(-16357.74858, 146363.56651)"
"(-16350.34018, 146292.65801)","(-16352.45688, 146259.84961)"
"(-16915.87088, 145795.18521)","(-16938.81568, 145795.04831)"
"(-16915.87088, 145795.18521)","(-16896.01238, 145797.42561)"
"(-16851.53178, 145795.65831)","(-16859.48848, 145799.47591)"
"(-16851.53178, 145795.65831)","(-16860.77888, 145766.80201)"
"(-16851.53178, 145795.65831)","(-16843.56168, 145791.83421)"
"(-17579.60548, 146106.94001)","(-17579.61358, 146106.66541)"
"(-17579.60548, 146106.94001)","(-17579.61368, 146110.04111)"
"(-17312.34458, 146142.69611)","(-17306.05758, 146139.11441)"
"(-17312.34458, 146142.69611)","(-17325.83248, 146150.11691)"
"(-16915.44578, 146432.84031)","(-16909.86758, 146476.74911)"
"(-16915.44578, 146432.84031)","(-16970.45678, 146422.62931)"
"(-16915.44578, 146432.84031)","(-16888.70088, 146412.19071)"
"(-16902.74038, 145822.23081)","(-16905.39628, 145821.16851)"
"(-17624.47868, 146019.54981)","(-17631.17348, 146015.21521)"
"(-17624.47868, 146019.54981)","(-17614.78568, 146029.24321)"
"(-16843.56168, 145791.83421)","(-16799.98598, 145822.75601)"
"(-16783.21348, 146099.02921)","(-16787.18218, 146137.39391)"
"(-16783.21348, 146099.02921)","(-16725.00498, 146100.35211)"
"(-17013.15258, 146236.51291)","(-16964.51518, 146232.44561)"
"(-17013.15258, 146236.51291)","(-17036.06928, 146154.97031)"
"(-16668.11948, 146395.36311)","(-16678.82168, 146378.23951)"
"(-16668.11948, 146395.36311)","(-16644.30698, 146411.23811)"
"(-17081.81368, 145970.46871)","(-17084.05598, 145977.93421)"
"(-17081.81368, 145970.46871)","(-17091.07938, 145963.99981)"
"(-16350.38888, 146659.19811)","(-16400.65598, 146685.53301)"
"(-16350.38888, 146659.19811)","(-16315.2348, 146667.68448)"
"(-17018.89558, 146744.60211)","(-17060.84918, 146775.06131)"
"(-17018.89558, 146744.60211)","(-16973.00208, 146752.18311)"
"(-16694.57788, 146353.02971)","(-16702.51538, 146327.89421)"
"(-16694.57788, 146353.02971)","(-16678.82168, 146378.23951)"
"(-17256.69598, 146280.16891)","(-17298.64208, 146295.39391)"
"(-17256.69598, 146280.16891)","(-17250.71768, 146288.66971)"
"(-17248.02968, 145837.14561)","(-17223.74508, 145849.28851)"
"(-17248.02968, 145837.14561)","(-17284.45698, 145856.15001)"
"(-17021.24858, 145988.39101)","(-17030.59408, 145992.82361)"
"(-17021.24858, 145988.39101)","(-17007.13578, 145977.21881)"
"(-17306.05758, 146139.11441)","(-17288.80088, 146129.74301)"
"(-17232.80398, 146343.74121)","(-17232.75848, 146343.47601)"
"(-17232.80398, 146343.74121)","(-17263.23108, 146367.55371)"
"(-17041.86438, 145984.98061)","(-17056.54168, 145960.51771)"
"(-17041.86438, 145984.98061)","(-17030.59408, 145992.82361)"
"(-17063.82068, 145856.80261)","(-17047.41628, 145852.88171)"
"(-17625.31338, 145960.48981)","(-17600.02508, 145963.39311)"
"(-17625.31338, 145960.48981)","(-17650.44328, 145959.06731)"
"(-16525.29878, 146170.62711)","(-16546.36428, 146080.12281)"
"(-16525.29878, 146170.62711)","(-16519.24698, 146225.50021)"
"(-16517.53618, 146241.75221)","(-16519.24698, 146225.50021)"
"(-16517.53618, 146241.75221)","(-16512.89698, 146285.82541)"
"(-16980.23328, 145892.28301)","(-16980.87478, 145893.62811)"
"(-16980.23328, 145892.28301)","(-16965.10878, 145860.56641)"
"(-16895.18318, 145962.59211)","(-16833.79968, 145986.93381)"
"(-17067.99748, 145941.42421)","(-17094.82848, 145938.86811)"
"(-17067.99748, 145941.42421)","(-17056.54168, 145960.51771)"
"(-17631.17348, 146015.21521)","(-17642.55368, 146007.84691)"
"(-16635.03688, 146572.04921)","(-16593.98418, 146592.28351)"
"(-16635.03688, 146572.04921)","(-16643.10179, 146543.56046)"
"(-17223.74508, 145849.28851)","(-17203.68428, 145905.77631)"
"(-17298.64208, 146295.39391)","(-17326.18188, 146305.39001)"
"(-17327.03708, 145828.31231)","(-17311.16208, 145809.26221)"
"(-17327.03708, 145828.31231)","(-17339.73708, 145854.50601)"
"(-16816.92148, 146036.73981)","(-16803.99928, 146007.81501)"
"(-16816.92148, 146036.73981)","(-16866.69828, 146040.65251)"
"(-17307.98708, 145884.66861)","(-17284.45698, 145856.15001)"
"(-17307.98708, 145884.66861)","(-17297.74498, 145914.64251)"
"(-17297.74498, 145914.64251)","(-17286.82988, 145947.88401)"
"(-17202.15248, 146283.57241)","(-17188.38488, 146288.10291)"
"(-17202.15248, 146283.57241)","(-17224.72238, 146297.09661)"
"(-17342.11838, 145897.36871)","(-17339.73708, 145854.50601)"
"(-17342.11838, 145897.36871)","(-17312.92008, 145943.21301)"
"(-16357.74858, 146363.56651)","(-16379.97358, 146429.18321)"
"(-16575.59628, 146694.55491)","(-16575.39698, 146694.19711)"
"(-17525.35578, 146267.23841)","(-17542.81828, 146215.64461)"
"(-17525.35578, 146267.23841)","(-17483.28698, 146293.43221)"
"(-17047.41628, 145852.88171)","(-17031.54128, 145833.83161)"
"(-16400.08198, 146525.49181)","(-16296.36508, 146610.15861)"
"(-16400.08198, 146525.49181)","(-16379.97358, 146429.18321)"
