x,y,ID_UG
-16832.57697,145921.30985,1369
-16036.95388,146149.55953,1618
-16751.01147,146166.53932,1067
-16756.49056,146228.02718,1371
-16467.0309,146393.77072,1513
-16211.62969,146475.75481,1179
-17027.65967,145825.175,1436
-17228.54687,145950.97874,1564
-17159.21504,146052.57917,1370
-17418.48682,146163.07549,1066
-16986.65434,146319.74169,1065
-17023.3203,146566.83534,1064
-17630.70568,146923.14339,1063
-16340.40695,146890.74634,1533
-16586.15807,146922.24105,1061
-16826.12533,146972.72939,1062
