ID_UG;nodes
1181;(-15014.72408, 153167.90491),(-15095.01908, 153300.52321),(-14801.88788, 153358.94921),(-15001.70948, 152924.85131),(-14962.21548, 153358.86791),(-14484.50214, 153104.42915)
854;(-15014.72408, 153167.90491),(-15095.01908, 153300.52321),(-15596.45308, 153287.71271),(-15549.70788, 153136.50711),(-15419.81558, 153317.89911),(-15659.80868, 153216.96681),(-15055.73748, 152930.22141),(-15395.02858, 153052.33881)
852;(-15976.92878, 153413.79221),(-15486.86868, 153528.25641),(-15775.89268, 153355.43131),(-15596.45308, 153287.71271),(-15419.81558, 153317.89911),(-15342.05808, 153421.05961),(-15921.06328, 153443.92081),(-15591.81915, 153437.5229)
853;(-15976.92878, 153413.79221),(-15775.89268, 153355.43131),(-15704.64978, 153261.19951),(-16304.48518, 153386.81631),(-15995.00427, 153317.00716)
1284;(-15095.01908, 153300.52321),(-15018.94258, 153419.55411),(-15419.81558, 153317.89911),(-15342.05808, 153421.05961),(-14962.21548, 153358.86791),(-15229.99363, 153336.11732)
851;(-15486.86868, 153528.25641),(-15683.05668, 153707.71551),(-15925.36078, 153564.02211),(-15410.95268, 153649.94951),(-15921.06328, 153443.92081),(-15704.23264, 153574.34328)
1285;(-15486.86868, 153528.25641),(-15018.94258, 153419.55411),(-15410.95268, 153649.94951),(-15342.05808, 153421.05961),(-15012.10888, 153938.81881),(-15028.68288, 153750.90691),(-15382.67598, 153708.69991)
1424;(-16017.60378, 154010.95271),(-15765.33368, 153918.74811),(-16072.53438, 153723.28781),(-15974.95963, 153877.02783)
821;(-16017.60378, 154010.95271),(-15765.33368, 153918.74811),(-15565.90848, 154228.96621),(-15898.05821, 154139.31619)
1241;(-14835.89608, 153934.05631),(-15018.94258, 153419.55411),(-14773.95228, 153891.77021),(-15012.10888, 153938.81881),(-15028.68288, 153750.90691),(-14608.41378, 153747.06271),(-14888.28368, 153768.95591)
1399;(-14835.89608, 153934.05631),(-14841.81778, 153992.33571),(-15012.10888, 153938.81881),(-15458.03388, 153748.27851),(-15382.67598, 153708.69991),(-14784.89698, 153967.79781),(-14795.59858, 153972.41115),(-15124.80997, 154024.99935),(-14857.24072, 153996.39466)
1555;(-15226.28388, 154266.27041),(-15565.90848, 154228.96621),(-15562.48438, 154228.00791),(-15378.52882, 154236.74701)
823;(-15226.28388, 154266.27041),(-14841.81778, 153992.33571),(-15458.03388, 153748.27851),(-15565.90848, 154228.96621),(-15562.48438, 154228.00791)
1286;(-15018.94258, 153419.55411),(-14801.88788, 153358.94921),(-14962.21548, 153358.86791),(-14608.41378, 153747.06271),(-14451.31085, 153729.91777),(-14408.19767, 153728.7204)
822;(-15765.33368, 153918.74811),(-15683.05668, 153707.71551),(-15410.95268, 153649.94951),(-15458.03388, 153748.27851),(-15565.90848, 154228.96621),(-15382.67598, 153708.69991),(-15676.98158, 153789.43381),(-15596.59333, 153869.06925)
1231;(-15765.33368, 153918.74811),(-16072.53438, 153723.28781),(-15974.59098, 153610.87871),(-15676.98158, 153789.43381),(-15935.12605, 153726.80157)
1423;(-15683.05668, 153707.71551),(-15925.36078, 153564.02211),(-15974.59098, 153610.87871),(-15676.98158, 153789.43381),(-15812.90547, 153683.01471)
1172;(-15549.70788, 153136.50711),(-15704.64978, 153261.19951),(-15659.80868, 153216.96681),(-16714.77088, 153771.90811),(-16304.48518, 153386.81631),(-15612.92631, 153045.89532)
