x,y,ID_UG
-14508.09788,153375.42491,884
-15585.5948,152594.62126,856
-15037.86438,153043.58337,1604
-15275.83761,153122.12558,854
-14818.29877,153150.50555,1181
-15229.99363,153336.11732,1284
-15591.81915,153437.5229,852
-14691.48999,153547.63891,1286
-16045.07031,152794.84578,820
-15814.18076,152977.858,855
-16221.23741,153236.87723,1172
-15995.00427,153317.00715,853
-15704.23264,153574.34328,851
-15812.90547,153683.01471,1423
-15935.12605,153726.80157,1231
-15974.95962,153877.02783,1424
-15898.0582,154139.31619,821
-14867.96898,153702.08588,1241
-15199.48047,153679.20768,1285
-15219.35963,153947.56703,1399
-15596.59333,153869.06925,822
-15286.09467,154079.51375,823
-14766.78552,154181.41878,1180
-15378.52882,154236.74701,1555
-14579.4234,153910.17937,1283
