variable,lb,ub,type,edge,period,road_type
flow_timber_node17node7_t4,0.0,9.0,I,node17node7,4,timber
flow_timber_node17node7_t5,0.0,9.0,I,node17node7,5,timber
flow_wide_node17node7_t1,0.0,9.0,I,node17node7,1,wide
flow_wide_node17node7_t2,0.0,9.0,I,node17node7,2,wide
flow_wide_node17node7_t3,0.0,9.0,I,node17node7,3,wide
flow_wide_node17node7_t4,0.0,9.0,I,node17node7,4,wide
flow_wide_node17node7_t5,0.0,9.0,I,node17node7,5,wide
flow_timber_node5node1_t1,0.0,9.0,I,node5node1,1,timber
flow_timber_node5node1_t2,0.0,9.0,I,node5node1,2,timber
flow_timber_node5node1_t3,0.0,9.0,I,node5node1,3,timber
flow_timber_node5node1_t4,0.0,9.0,I,node5node1,4,timber
flow_timber_node5node1_t5,0.0,9.0,I,node5node1,5,timber
flow_wide_node5node1_t1,0.0,9.0,I,node5node1,1,wide
flow_wide_node5node1_t2,0.0,9.0,I,node5node1,2,wide
flow_wide_node5node1_t3,0.0,9.0,I,node5node1,3,wide
flow_wide_node5node1_t4,0.0,9.0,I,node5node1,4,wide
flow_wide_node5node1_t5,0.0,9.0,I,node5node1,5,wide
flow_timber_node5node3_t1,0.0,9.0,I,node5node3,1,timber
flow_timber_node5node3_t2,0.0,9.0,I,node5node3,2,timber
flow_timber_node5node3_t3,0.0,9.0,I,node5node3,3,timber
flow_timber_node5node3_t4,0.0,9.0,I,node5node3,4,timber
flow_timber_node5node3_t5,0.0,9.0,I,node5node3,5,timber
flow_wide_node5node3_t1,0.0,9.0,I,node5node3,1,wide
flow_wide_node5node3_t2,0.0,9.0,I,node5node3,2,wide
flow_wide_node5node3_t3,0.0,9.0,I,node5node3,3,wide
flow_wide_node5node3_t4,0.0,9.0,I,node5node3,4,wide
flow_wide_node5node3_t5,0.0,9.0,I,node5node3,5,wide
flow_timber_node5node9_t1,0.0,9.0,I,node5node9,1,timber
flow_timber_node5node9_t2,0.0,9.0,I,node5node9,2,timber
flow_timber_node5node9_t3,0.0,9.0,I,node5node9,3,timber
flow_timber_node5node9_t4,0.0,9.0,I,node5node9,4,timber
flow_timber_node5node9_t5,0.0,9.0,I,node5node9,5,timber
flow_wide_node5node9_t1,0.0,9.0,I,node5node9,1,wide
flow_wide_node5node9_t2,0.0,9.0,I,node5node9,2,wide
flow_wide_node5node9_t3,0.0,9.0,I,node5node9,3,wide
flow_wide_node5node9_t4,0.0,9.0,I,node5node9,4,wide
flow_wide_node5node9_t5,0.0,9.0,I,node5node9,5,wide
flow_timber_node5node19_t1,0.0,9.0,I,node5node19,1,timber
flow_timber_node5node19_t2,0.0,9.0,I,node5node19,2,timber
flow_timber_node5node19_t3,0.0,9.0,I,node5node19,3,timber
flow_timber_node5node19_t4,0.0,9.0,I,node5node19,4,timber
flow_timber_node5node19_t5,0.0,9.0,I,node5node19,5,timber
flow_wide_node5node19_t1,0.0,9.0,I,node5node19,1,wide
flow_wide_node5node19_t2,0.0,9.0,I,node5node19,2,wide
flow_wide_node5node19_t3,0.0,9.0,I,node5node19,3,wide
flow_wide_node5node19_t4,0.0,9.0,I,node5node19,4,wide
flow_wide_node5node19_t5,0.0,9.0,I,node5node19,5,wide
flow_timber_node19node1_t1,0.0,9.0,I,node19node1,1,timber
flow_timber_node19node1_t2,0.0,9.0,I,node19node1,2,timber
flow_timber_node19node1_t3,0.0,9.0,I,node19node1,3,timber
flow_timber_node19node1_t4,0.0,9.0,I,node19node1,4,timber
flow_timber_node19node1_t5,0.0,9.0,I,node19node1,5,timber
flow_wide_node19node1_t1,0.0,9.0,I,node19node1,1,wide
flow_wide_node19node1_t2,0.0,9.0,I,node19node1,2,wide
flow_wide_node19node1_t3,0.0,9.0,I,node19node1,3,wide
flow_wide_node19node1_t4,0.0,9.0,I,node19node1,4,wide
flow_wide_node19node1_t5,0.0,9.0,I,node19node1,5,wide
flow_timber_node19node5_t1,0.0,9.0,I,node19node5,1,timber
flow_timber_node19node5_t2,0.0,9.0,I,node19node5,2,timber
flow_timber_node19node5_t3,0.0,9.0,I,node19node5,3,timber
flow_timber_node19node5_t4,0.0,9.0,I,node19node5,4,timber
flow_timber_node19node5_t5,0.0,9.0,I,node19node5,5,timber
flow_wide_node19node5_t1,0.0,9.0,I,node19node5,1,wide
flow_wide_node19node5_t2,0.0,9.0,I,node19node5,2,wide
