159.0 * C_node3node5_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
133.87 * C_node3node5_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
94.91 * C_node3node5_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
67.28 * C_node3node5_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
47.7 * C_node3node5_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
33.81 * C_node3node5_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
238.0 * C_node3node5_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
200.39 * C_node3node5_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
142.06 * C_node3node5_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
100.71 * C_node3node5_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
71.39 * C_node3node5_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
50.61 * C_node3node5_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4718.0 * C_node3node10_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3972.43 * C_node3node10_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2816.13 * C_node3node10_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1996.41 * C_node3node10_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1415.29 * C_node3node10_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
1003.33 * C_node3node10_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
7078.0 * C_node3node10_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5959.49 * C_node3node10_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
4224.79 * C_node3node10_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2995.03 * C_node3node10_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
2123.24 * C_node3node10_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1505.2 * C_node3node10_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
483.0 * C_node3node6_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
406.67 * C_node3node6_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
288.3 * C_node3node6_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
204.38 * C_node3node6_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
144.89 * C_node3node6_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
102.71 * C_node3node6_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
725.0 * C_node3node6_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
610.43 * C_node3node6_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
432.75 * C_node3node6_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
306.78 * C_node3node6_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
217.48 * C_node3node6_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
154.18 * C_node3node6_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node3node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node3node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node3node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node3node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node3node20_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node3node20_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node3node20_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node3node20_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node3node20_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node3node20_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node3node20_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node3node20_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1452.0 * C_node4node9_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1222.55 * C_node4node9_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
866.69 * C_node4node9_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
614.41 * C_node4node9_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
435.57 * C_node4node9_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
308.78 * C_node4node9_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2179.0 * C_node4node9_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1834.66 * C_node4node9_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1300.62 * C_node4node9_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
922.04 * C_node4node9_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
653.65 * C_node4node9_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
463.38 * C_node4node9_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3596.0 * C_node4node6_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3027.74 * C_node4node6_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2146.42 * C_node4node6_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1521.64 * C_node4node6_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1078.72 * C_node4node6_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
