x,y,ID_UG
-8214.04646,151962.82384,1577
-8322.38385,151946.31322,903
-8368.12405,152387.73976,1585
-8339.73285,152830.3319,1570
-9105.24003,152781.75773,1542
-8387.40598,152825.98393,1543
-8703.39839,152860.25856,1541
-9201.52319,152963.87284,901
-10080.61686,154474.97791,1571
-8684.69437,153065.59419,1214
-9234.10021,153272.4792,899
-8849.93088,153502.95525,1569
-9300.76989,153699.08117,1261
-9084.14791,153718.2478,1260
-9144.49542,154090.56559,835
-8810.32024,154186.3406,1554
-8880.79455,154212.71744,1394
-9199.42622,154369.00437,836
-9471.66965,154482.05864,1586
-9086.35807,154508.14115,1587
