ID_UG;nodes
1394;(-8783.11158, 154156.75041),(-8965.84828, 154144.35501),(-8834.72368, 154307.22231),(-8945.93118, 154155.40331),(-9015.72998, 154269.88901)
1554;(-8783.11158, 154156.75041),(-8834.72368, 154307.22231),(-8835.59968, 153874.84741),(-8874.96718, 154417.00641),(-8852.34948, 153877.67781),(-8904.28368, 154402.87661),(-8810.32024, 154186.3406)
1260;(-8783.11158, 154156.75041),(-8975.20958, 153995.50861),(-8965.84828, 154144.35501),(-8945.93118, 154155.40331),(-8857.99268, 153850.47371),(-8852.34948, 153877.67781)
1214;(-8968.46528, 152869.15571),(-8922.91238, 153401.61281),(-8323.28988, 153083.83651),(-8684.68075, 153202.36468),(-8266.07438, 152972.15161)
1586;(-9647.95268, 154463.42041),(-9655.60508, 154441.73551),(-9301.53188, 154509.50481),(-9298.88598, 154538.60901),(-9471.66965, 154482.05864)
1571;(-9647.95268, 154463.42041),(-9655.60508, 154441.73551),(-10442.15288, 154672.22391),(-10396.67752, 154683.572)
1569;(-8922.91238, 153401.61281),(-8684.68075, 153202.36468),(-8835.59968, 153874.84741),(-8703.67818, 153204.60371),(-8857.99268, 153850.47371),(-8852.34948, 153877.67781),(-8849.93088, 153502.95525)
1570;(-8323.28988, 153083.83651),(-8684.68075, 153202.36468),(-8227.42728, 152874.87931),(-8266.07438, 152972.15161),(-8703.67818, 153204.60371)
836;(-8834.72368, 154307.22231),(-9655.60508, 154441.73551),(-9301.53188, 154509.50481),(-9239.18788, 154202.56361),(-9015.72998, 154269.88901),(-8904.28368, 154402.87661),(-8987.80826, 154263.83146),(-9011.58678, 154302.27078)
1587;(-9301.53188, 154509.50481),(-8874.96718, 154417.00641),(-8904.28368, 154402.87661),(-9298.88598, 154538.60901),(-9086.35807, 154508.14115)
