"Node1(x,y)","Node2(x,y)",has_exit,has_source,slope,edgelength,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-13265.54438, 155135.46451)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-13265.54438, 155135.46451)","(-13203.4369, 155178.23285)",False,True,False,0.0,0,0,0,0,0,
"(-13275.89328, 154501.70781)","(-13304.70098, 154541.95181)",True,False,False,0.05168628510981338,250,97,375,97,187,"[(-13292.55428, 154523.41501)]"
"(-13275.89328, 154501.70781)","(-13076.11888, 154651.24001)",True,False,False,0.26373414822786767,1275,495,1911,495,956,"[(-13275.79258, 154501.78791), (-13273.31908, 154497.99101), (-13209.57508, 154548.76661), (-13127.26028, 154590.76331)]"
"(-13275.89328, 154501.70781)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-14044.21468, 154489.40361)","(-14000.78807, 154474.9652)",True,False,34.0912,0.045763939290888754,344,123,516,123,258,
"(-14044.21468, 154489.40361)","(-14146.30858, 154350.37791)",False,False,False,0.25635534204644583,1240,482,1859,482,930,"[(-14076.75848, 154369.62651), (-14075.96478, 154409.31411), (-14073.58348, 154445.82671), (-14102.15848, 154341.05141)]"
"(-14044.21468, 154489.40361)","(-14102.58518, 154663.34791)",False,False,False,0.1901876423695342,1428,510,2144,510,1072,"[(-14098.98348, 154644.05291)]"
"(-14044.21468, 154489.40361)","(-14341.24251, 154510.74141)",False,True,False,0.0,0,0,0,0,0,
"(-14044.21468, 154489.40361)","(-14009.68686, 154547.03849)",False,True,False,0.0,0,0,0,0,0,
"(-13304.70098, 154541.95181)","(-13278.17152, 154722.83351)",True,False,False,0.19336240082637612,935,363,1402,363,700,"[(-13304.28498, 154543.28261)]"
"(-13304.70098, 154541.95181)","(-13452.63494, 154738.84411)",False,True,False,0.0,0,0,0,0,0,
"(-13304.70098, 154541.95181)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-14102.58518, 154663.34791)","(-14146.30858, 154350.37791)",False,False,False,1.7594665549288266,8501,3306,12748,3306,6374,"[(-14233.51068, 154398.37751), (-14240.21708, 154390.23831), (-14241.48928, 154339.99601), (-14208.52128, 154391.85161), (-14150.57738, 154352.95781)]"
"(-14102.58518, 154663.34791)","(-14341.24251, 154510.74141)",False,True,False,0.0,0,0,0,0,0,
"(-14102.58518, 154663.34791)","(-14009.68686, 154547.03849)",False,True,False,0.0,0,0,0,0,0,
"(-14146.30858, 154350.37791)","(-14341.24251, 154510.74141)",False,True,False,0.0,0,0,0,0,0,
"(-13171.51808, 155113.93251)","(-13190.56279, 155116.75897)",True,False,19.0639,0.01925330764091207,93,36,140,36,70,
"(-13171.51808, 155113.93251)","(-13156.39394, 155126.16178)",True,False,19.0639,0.01944979834013832,94,37,141,37,70,
"(-13171.51808, 155113.93251)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-13171.51808, 155113.93251)","(-13203.4369, 155178.23285)",False,True,False,0.0,0,0,0,0,0,
"(-13811.70418, 154581.91751)","(-13827.24741, 154663.77048)",True,False,False,0.1658196668432959,801,311,1202,311,601,"[(-13787.53818, 154646.39171)]"
"(-13811.70418, 154581.91751)","(-13833.87708, 154465.66001)",True,False,False,0.16933449414935509,818,318,1226,318,614,"[(-13857.05188, 154576.05781), (-13823.88778, 154538.43211)]"
"(-13811.70418, 154581.91751)","(-13871.99409, 154581.18321)",False,True,False,0.0,0,0,0,0,0,
"(-13811.70418, 154581.91751)","(-13657.288, 154786.52593)",False,True,False,0.0,0,0,0,0,0,
"(-13076.11888, 154651.24001)","(-12932.48768, 154706.61373)",True,False,False,0.29959439373825836,643,322,964,322,483,"[(-13019.83208, 154643.21101), (-13006.16928, 154619.64471), (-12975.61808, 154571.10621)]"
"(-13076.11888, 154651.24001)","(-13241.37661, 154865.31788)",False,True,False,0.0,0,0,0,0,0,
"(-13076.11888, 154651.24001)","(-12943.25001, 154869.28021)",False,True,False,0.0,0,0,0,0,0,
"(-13833.87708, 154465.66001)","(-13789.52852, 154490.76516)",True,False,24.2434,0.050961390587355604,246,96,369,96,185,
"(-13833.87708, 154465.66001)","(-13871.99409, 154581.18321)",False,True,False,0.0,0,0,0,0,0,
"(-13833.87708, 154465.66001)","(-13657.288, 154786.52593)",False,True,False,0.0,0,0,0,0,0,
"(-14000.78807, 154474.9652)","(-14009.68686, 154547.03849)",True,True,False,0.0,0,0,0,0,0,
"(-13827.24741, 154663.77048)","(-13871.99409, 154581.18321)",True,True,False,0.0,0,0,0,0,0,
"(-13827.24741, 154663.77048)","(-13657.288, 154786.52593)",True,True,False,0.0,0,0,0,0,0,
"(-13789.52852, 154490.76516)","(-13657.288, 154786.52593)",True,True,False,0.0,0,0,0,0,0,
"(-13793.64897, 154737.17705)","(-13657.288, 154786.52593)",True,True,False,0.0,0,0,0,0,0,
"(-13300.3097, 154744.33066)","(-13278.17152, 154722.83351)",True,False,20.7029,0.0308581670200181,149,58,224,58,112,
"(-13300.3097, 154744.33066)","(-13452.63494, 154738.84411)",True,True,False,0.0,0,0,0,0,0,
"(-13300.3097, 154744.33066)","(-13241.37661, 154865.31788)",True,True,False,0.0,0,0,0,0,0,
"(-13278.17152, 154722.83351)","(-13452.63494, 154738.84411)",True,True,False,0.0,0,0,0,0,0,
"(-13278.17152, 154722.83351)","(-13241.37661, 154865.31788)",True,True,False,0.0,0,0,0,0,0,
"(-13190.56279, 155116.75897)","(-13241.37661, 154865.31788)",True,True,False,0.0,0,0,0,0,0,
"(-13190.56279, 155116.75897)","(-13203.4369, 155178.23285)",True,True,False,0.0,0,0,0,0,0,
"(-13415.69879, 155119.82411)","(-13241.37661, 154865.31788)",True,True,False,0.0,0,0,0,0,0,
"(-13022.87188, 154931.71945)","(-12891.75518, 155014.94849)",True,False,False,0.6082020994560627,1306,651,1957,651,980,"[(-12919.46868, 155018.41271), (-12914.17698, 155027.67311)]"
"(-13022.87188, 154931.71945)","(-12943.25001, 154869.28021)",True,True,False,0.0,0,0,0,0,0,
"(-12932.48768, 154706.61373)","(-12828.73193, 154793.29026)",True,False,False,0.149648428101485,321,161,482,161,241,"[(-12848.70138, 154786.41281)]"
"(-12932.48768, 154706.61373)","(-12943.25001, 154869.28021)",True,True,False,0.0,0,0,0,0,0,
"(-12891.75518, 155014.94849)","(-12828.73193, 154793.29026)",True,False,False,0.40649298654003063,872,437,1308,437,654,"[(-12778.88118, 154810.45881)]"
"(-12891.75518, 155014.94849)","(-12943.25001, 154869.28021)",True,True,False,0.0,0,0,0,0,0,
"(-12828.73193, 154793.29026)","(-12943.25001, 154869.28021)",True,True,False,0.0,0,0,0,0,0,
"(-13156.39394, 155126.16178)","(-13269.15979, 155186.64614)",True,False,False,0.2851217507800535,1378,535,2066,535,1034,"[(-13129.01908, 155148.29691)]"
"(-13156.39394, 155126.16178)","(-13203.4369, 155178.23285)",True,True,False,0.0,0,0,0,0,0,
"(-13269.15979, 155186.64614)","(-13203.4369, 155178.23285)",True,True,False,0.0,0,0,0,0,0,
