x,y,ID_UG
-11880.5901,144169.38769,1204
-13057.70996,143877.6256,1145
-15115.35646,145154.71423,1270
-15333.27834,145474.89108,809
-15271.38486,146389.89541,1072
-15270.89308,146214.25023,1074
-15076.28973,146203.10543,1075
-13922.07305,146747.28399,1077
-14063.64801,146946.88795,1078
-14386.53572,146761.48642,1079
-13897.71909,146463.82065,1080
-13774.52217,146320.91618,1081
-14050.24728,146287.72287,1083
-14417.67108,146340.51248,1084
-13963.64637,145976.30874,1085
-13655.88281,145885.01283,1086
-14450.87999,145742.99909,1087
-14210.0163,145662.98633,1088
-12783.44634,145696.1311,1105
-15538.35345,144768.78233,1123
-15446.09152,144455.33831,1124
-15478.47442,144165.43644,1125
-14535.42758,144378.51004,1129
-13822.73111,144670.89372,1130
-14240.09493,144386.59892,1131
-13673.07265,144548.54876,1132
-14073.66188,144294.19414,1133
-13990.43339,144070.36421,1134
-13792.74666,143937.53797,1135
-12313.83797,144906.44377,1137
-12577.40439,144829.48169,1138
-12500.85375,144671.15687,1140
-12694.47488,144537.16356,1141
-12124.7887,144347.00114,1142
-12620.33643,144117.02908,1143
-12932.68867,143951.77359,1144
-14749.79506,146501.08626,1184
-15140.32403,146720.3201,1185
-14711.28746,143900.9135,1186
-13682.26892,143786.9889,1197
-15851.33884,145108.6354,1240
-14705.06867,144174.05827,1363
-14772.62257,144506.64344,1364
-15217.47228,146531.61888,1437
-14894.93136,146118.49544,1439
-15277.08527,146095.69683,1440
-14585.89342,145983.83296,1441
-15205.42606,145303.25986,1442
-14196.83739,145461.2258,1443
-14094.09607,145754.5465,1444
-13879.23622,145628.15937,1445
-14284.63873,147142.12782,1480
-14724.08893,147009.39681,1481
-15102.136,146892.12868,1482
-15220.22044,145847.8051,1483
-14583.55517,144807.30626,1484
-14613.29046,144971.98796,1485
-13789.68052,144870.38592,1487
-12657.72403,144941.5732,1488
-15302.41223,145848.98376,1534
-13755.50767,146880.03015,1600
-15093.01525,144518.54495,1611
-13828.13436,144265.92996,1612
-14203.21841,143980.72307,1613
-13570.15901,144132.66308,1614
-13141.46522,144167.07128,1615
-13213.56495,144713.4573,1616
-14954.98396,145808.79306,1620
