"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-12650.0027, 145987.77659)","(-12470.54088, 146156.54001)",0.0,False,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12618.47018, 145830.80591)",0.0,False,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12954.9812, 145893.10886)",0.0,True,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12487.36392, 146087.27366)",0.0,True,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12467.49998, 145981.35076)",0.0,True,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12536.33127, 145876.48658)",0.0,True,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12492.603, 146154.41865)",0.0,True,True,0,0,0,0,0,False,
"(-12650.0027, 145987.77659)","(-12732.65338, 146038.01083)",0.0,True,True,0,0,0,0,0,False,
"(-15941.47488, 147247.21421)","(-15835.33118, 147057.22501)",0.22561629062762373,True,False,1091,423,1634,423,817,False,"[(-15936.24658, 147190.40111), (-15890.59668, 147132.52051), (-15861.96978, 147080.07021)]"
"(-15941.47488, 147247.21421)","(-15624.77528, 147738.45101)",0.6043016693531408,True,False,2919,1134,4378,1134,2191,False,"[(-15925.64478, 147251.73431), (-15880.82538, 147273.21041), (-15844.43968, 147307.71571)]"
"(-15941.47488, 147247.21421)","(-15640.20498, 147373.86358)",0.0,False,True,0,0,0,0,0,False,
"(-15835.33118, 147057.22501)","(-15941.47488, 147247.21421)",0.22561629062762373,True,False,1091,423,1634,423,817,False,"[(-15936.24658, 147190.40111), (-15890.59668, 147132.52051), (-15861.96978, 147080.07021)]"
"(-15835.33118, 147057.22501)","(-15735.57828, 147134.12361)",0.18002821951739625,True,False,871,340,1305,340,652,False,"[(-15813.37108, 147039.69941), (-15825.42008, 147048.72531), (-15767.32828, 147049.98591)]"
"(-15835.33118, 147057.22501)","(-15640.20498, 147373.86358)",0.0,False,True,0,0,0,0,0,False,
"(-15624.77528, 147738.45101)","(-15941.47488, 147247.21421)",0.6043016693531408,True,False,2919,1134,4378,1134,2191,False,"[(-15925.64478, 147251.73431), (-15880.82538, 147273.21041), (-15844.43968, 147307.71571)]"
"(-15624.77528, 147738.45101)","(-15332.67418, 147529.44691)",0.3931683243770254,True,False,1900,738,2850,738,1423,False,"[(-15385.17718, 147528.02691)]"
"(-15624.77528, 147738.45101)","(-15429.40488, 147826.59591)",0.7953974541469684,True,False,3844,1493,5764,1493,2883,False,"[(-15615.42508, 147994.78811), (-15579.72288, 148019.92511), (-15584.34238, 148034.93481), (-15535.08348, 148041.17741), (-15655.24498, 147958.30261)]"
"(-15624.77528, 147738.45101)","(-15640.20498, 147373.86358)",0.0,False,True,0,0,0,0,0,False,
"(-15624.77528, 147738.45101)","(-15531.06862, 147784.87915)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15941.47488, 147247.21421)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15332.67418, 147529.44691)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15624.77528, 147738.45101)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15691.12808, 147129.36111)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15735.57828, 147134.12361)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15472.98178, 147325.67091)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15835.33118, 147057.22501)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15553.29318, 147341.12741)",0.0,False,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15459.2015, 147326.96696)",0.0,True,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15320.51254, 147407.83962)",0.0,True,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15325.16514, 147506.3762)",0.0,True,True,0,0,0,0,0,False,
"(-15640.20498, 147373.86358)","(-15637.92549, 147127.55899)",0.0,True,True,0,0,0,0,0,False,
"(-12581.62248, 146404.94151)","(-12610.10888, 146362.91541)",0.05077074025628781,True,False,245,95,368,95,184,10.4611,
"(-12581.62248, 146404.94151)","(-12639.35458, 146509.71671)",0.14358545950631124,True,False,694,269,1041,269,520,False,"[(-12565.74738, 146438.27901), (-12577.65368, 146468.44151)]"
"(-12581.62248, 146404.94151)","(-12419.48714, 146353.17934)",0.0,False,True,0,0,0,0,0,False,
"(-12610.10888, 146362.91541)","(-12581.62248, 146404.94151)",0.05077074025628781,True,False,245,95,368,95,184,10.4611,
"(-12610.10888, 146362.91541)","(-12617.50681, 146376.30705)",0.01529919573621269,True,False,74,29,111,29,55,21.8102,
"(-12610.10888, 146362.91541)","(-12470.54088, 146156.54001)",0.2513862111588564,False,False,1214,473,1821,473,911,False,"[(-12580.47548, 146329.04871), (-12540.42858, 146276.60601), (-12491.57528, 146212.63171), (-12477.61118, 146175.39391)]"
"(-12610.10888, 146362.91541)","(-12761.58902, 146343.38883)",0.0,False,True,0,0,0,0,0,False,
"(-12610.10888, 146362.91541)","(-12419.48714, 146353.17934)",0.0,False,True,0,0,0,0,0,False,
"(-12639.35458, 146509.71671)","(-12581.62248, 146404.94151)",0.14358545950631124,True,False,694,269,1041,269,520,False,"[(-12565.74738, 146438.27901), (-12577.65368, 146468.44151)]"
