ID_UG;nodes
1105;(-12768.49968, 145909.42561),(-12546.48628, 145635.30851),(-13038.96588, 145407.01511),(-12618.47018, 145830.80591),(-12783.44634, 145696.1311)
1290;(-12768.49968, 145909.42561),(-13292.24088, 145526.60111),(-13127.19118, 145351.06941),(-12953.64678, 145875.34591),(-13038.96588, 145407.01511),(-13221.60638, 145569.76031),(-13183.69518, 145362.82751),(-13212.28022, 145386.6771),(-13069.46945, 145625.71536)
1100;(-12768.49968, 145909.42561),(-12851.63218, 146007.97911),(-12625.62488, 146127.91231),(-12953.64678, 145875.34591),(-12460.81378, 146096.66401),(-12470.54088, 146156.54001),(-12618.47018, 145830.80591),(-12487.36392, 146087.27366),(-12467.49998, 145981.35076),(-12536.33127, 145876.48658),(-12492.603, 146154.41865),(-12732.65338, 146038.01083),(-12650.0027, 145987.77659)
1239;(-15941.47488, 147247.21421),(-15332.67418, 147529.44691),(-15624.77528, 147738.45101),(-15691.12808, 147129.36111),(-15735.57828, 147134.12361),(-15472.98178, 147325.67091),(-15835.33118, 147057.22501),(-15553.29318, 147341.12741),(-15637.92549, 147127.55899),(-15640.20498, 147373.86358)
1103;(-12581.62248, 146404.94151),(-12580.68998, 146607.75611),(-12610.10888, 146362.91541),(-12460.81378, 146096.66401),(-12470.54088, 146156.54001),(-12451.77348, 146591.56311),(-12150.32018, 146106.93491),(-12639.35458, 146509.71671),(-12641.10768, 146527.34251),(-12306.4491, 146483.83352),(-12265.70579, 146469.35783),(-12157.26545, 146117.35794),(-12419.48714, 146353.17934)
1081;(-13898.76948, 146139.04071),(-13382.92928, 146531.36851),(-13843.33068, 146371.05681),(-13962.53738, 146402.88011),(-13740.26288, 146249.11651),(-13774.52216, 146320.91618)
1083;(-13898.76948, 146139.04071),(-13872.10778, 146541.02391),(-14068.93818, 146558.79081),(-13962.53738, 146402.88011),(-14293.61348, 146146.41531),(-14265.31618, 146091.30941),(-14050.24728, 146287.72287)
1085;(-13898.76948, 146139.04071),(-14303.29188, 145778.45391),(-13895.32728, 145698.62381),(-14244.10188, 145768.12701),(-13567.18558, 146177.82421),(-14342.66708, 145947.30791),(-13977.27458, 145720.25701),(-14265.31618, 146091.30941),(-13740.26288, 146249.11651),(-13583.63677, 146097.02885),(-13963.64637, 145976.30874)
1453;(-13867.32058, 147174.92451),(-13889.55158, 147172.20381),(-13808.57768, 147230.26881),(-14132.75218, 147599.00951),(-13788.95158, 147217.47001),(-13931.50718, 147431.49511),(-13910.47698, 147474.63001),(-14299.97578, 147426.14361),(-14297.34464, 147649.73247),(-13823.81668, 147245.87331),(-14261.79398, 147279.95771),(-14151.45153, 147604.69307),(-14027.63359, 147523.27423),(-14007.67332, 147513.84128),(-14094.27527, 147414.05318)
1078;(-13867.32058, 147174.92451),(-13885.34898, 146976.36511),(-13889.55158, 147172.20381),(-14234.68988, 147049.58221),(-14124.68208, 146675.54151),(-13835.91738, 147077.74961),(-14063.64801, 146946.88794)
