C_node1node12_timber_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=0, cost=502.0
C_node1node12_timber_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=1, cost=422.67
C_node1node12_timber_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=2, cost=299.64
C_node1node12_timber_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=3, cost=212.42
C_node1node12_timber_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=4, cost=150.59
C_node1node12_timber_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node12, period=5, cost=106.75
C_node1node12_wide_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=0, cost=753.0
C_node1node12_wide_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=1, cost=634.01
C_node1node12_wide_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=2, cost=449.46
C_node1node12_wide_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=3, cost=318.63
C_node1node12_wide_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=4, cost=225.88
C_node1node12_wide_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node12, period=5, cost=160.13
C_node1node30_timber_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=0, cost=482.0
C_node1node30_timber_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=1, cost=405.83
C_node1node30_timber_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=2, cost=287.7
C_node1node30_timber_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=3, cost=203.96
C_node1node30_timber_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=4, cost=144.59
C_node1node30_timber_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node30, period=5, cost=102.5
C_node1node30_wide_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=0, cost=723.0
C_node1node30_wide_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=1, cost=608.75
C_node1node30_wide_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=2, cost=431.55
C_node1node30_wide_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=3, cost=305.94
C_node1node30_wide_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=4, cost=216.88
C_node1node30_wide_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node30, period=5, cost=153.75
C_node1node77_timber_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=0, cost=0.0
C_node1node77_timber_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=1, cost=0.0
C_node1node77_timber_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=2, cost=0.0
C_node1node77_timber_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=3, cost=0.0
C_node1node77_timber_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=4, cost=0.0
C_node1node77_timber_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node1node77, period=5, cost=0.0
C_node1node77_wide_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=0, cost=0.0
C_node1node77_wide_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=1, cost=0.0
C_node1node77_wide_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=2, cost=0.0
C_node1node77_wide_t3: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=3, cost=0.0
C_node1node77_wide_t4: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=4, cost=0.0
C_node1node77_wide_t5: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=wide, edge=node1node77, period=5, cost=0.0
C_node2node55_timber_t0: lb=0.0, ub=0.0, type=B, var_type_letter=C, road_type=timber, edge=node2node55, period=0, cost=156.0
C_node2node55_timber_t1: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node2node55, period=1, cost=131.35
C_node2node55_timber_t2: lb=0.0, ub=1.0, type=B, var_type_letter=C, road_type=timber, edge=node2node55, period=2, cost=93.11
