Node,Stand
"(-9933.03548, 146858.81191)",[1117]
"(-9915.57288, 146898.49951)",[1117]
"(-9971.13558, 146876.27451)",[1117]
"(-10016.58438, 146871.00761)","[1432, 1117]"
"(-10006.38588, 146908.39971)","[1432, 1117]"
"(-9971.77838, 146980.55291)","[1432, 1117]"
"(-9996.58058, 147027.22271)","[1432, 1117]"
"(-10021.43838, 147062.12361)","[1432, 1117]"
"(-10029.83778, 147107.51921)","[1432, 1117]"
"(-10002.95238, 147159.66751)","[1432, 1117]"
"(-9960.98568, 147170.37661)","[1432, 1117]"
"(-9915.13408, 147216.04111)","[1432, 1117]"
"(-9892.94758, 147253.10311)","[1432, 1117]"
"(-9909.01338, 147302.02701)","[1432, 1117]"
"(-9851.33688, 147310.62231)","[1432, 1117]"
"(-9813.60208, 147369.42781)","[1432, 1117]"
"(-9778.49868, 147421.32631)","[1432, 1117]"
"(-9756.27978, 147463.44701)","[1432, 1117]"
"(-9705.21758, 147451.92511)","[1432, 1117]"
"(-9693.05128, 147388.84441)","[1432, 1117]"
"(-9697.43225, 147273.15556)",[1117]
"(-9766.59483, 147443.89262)",[1117]
"(-10066.49578, 146868.98541)",[1432]
"(-10074.46358, 147482.53131)","[1432, 1257, 1106]"
"(-9880.22808, 147484.39361)","[1432, 1257]"
"(-9858.50258, 147549.69351)","[1432, 1257]"
"(-9811.39208, 147594.29381)","[1432, 1257, 1056]"
"(-9790.47348, 147555.85181)","[1432, 1056]"
"(-9741.48908, 147555.94981)","[1432, 1056]"
"(-9689.38938, 147565.73931)","[1432, 1056]"
"(-9627.24758, 147577.20811)","[1432, 1056]"
"(-9579.72818, 147592.34751)","[1432, 1056]"
"(-9514.41648, 147613.78181)","[1432, 1056, 1431]"
"(-9533.14758, 147524.62411)","[1432, 1431]"
"(-9609.34778, 147454.77411)","[1432, 1431]"
"(-9663.32288, 147389.68641)","[1432, 1431]"
"(-10065.81726, 147482.61421)",[1432]
"(-10074.81299, 146855.72189)",[1432]
"(-10326.13958, 147256.34511)","[1257, 1106]"
"(-10286.48668, 147330.70801)","[1257, 1106]"
"(-10322.54838, 147398.74801)","[1257, 1106]"
"(-10384.47728, 147406.62471)","[1257, 1106]"
"(-10441.46398, 147433.28591)","[1257, 1106]"
"(-10495.65758, 147433.81191)","[1257, 1106]"
"(-10555.02188, 147468.33481)","[1257, 1106]"
"(-10665.40868, 147322.65781)",[1257]
"(-10703.25028, 147363.33281)",[1257]
"(-10790.12018, 147367.31061)",[1257]
"(-10792.05398, 147418.15951)",[1257]
"(-10706.11228, 147493.76641)",[1257]
"(-10622.06508, 147575.15841)",[1257]
"(-10596.32348, 147613.33341)",[1257]
"(-10614.80738, 147658.01291)","[1257, 812]"
"(-10563.33548, 147688.33001)","[1257, 812]"
"(-10538.85278, 147698.32011)","[1257, 812, 1447]"
"(-10533.26338, 147663.32511)","[1257, 1447]"
"(-10479.02368, 147656.71051)","[1257, 1447]"
"(-10362.60688, 147669.93971)","[1257, 1447]"
"(-10285.87748, 147664.64801)","[1257, 1447]"
"(-10121.83548, 147623.63751)","[1257, 1447]"
"(-10055.68958, 147607.76251)","[1257, 1447]"
"(-10074.21048, 147651.41891)","[1257, 1447]"
"(-10125.80428, 147679.20021)","[1257, 1447]"
"(-10211.79408, 147737.40861)","[1257, 1447]"
"(-10303.39178, 147781.97041)","[1257, 812, 1447]"
"(-10256.55228, 147827.72501)","[1257, 812]"
"(-10215.77278, 147861.51591)","[1257, 812]"
"(-10173.86138, 147884.31911)","[1257, 812]"
"(-10109.42898, 147891.14591)","[1257, 812]"
"(-10050.14308, 147943.22301)","[1257, 812]"
"(-10004.50268, 147911.10491)","[1257, 812]"
"(-9997.54808, 147866.73571)","[1257, 812]"
"(-10012.99598, 147802.23151)","[1257, 812]"
"(-9969.41768, 147745.57841)","[1257, 812]"
"(-9914.33208, 147713.56711)","[1257, 812]"
"(-9850.21278, 147724.72761)","[1257, 812]"
"(-9784.49468, 147720.96441)","[1257, 812]"
"(-9737.58338, 147773.25181)","[1056, 1257, 812]"
"(-9692.51868, 147728.44561)","[1056, 1257]"
"(-9687.78868, 147659.46801)","[1056, 1257]"
"(-9704.46498, 147615.96421)","[1056, 1257]"
"(-9762.64808, 147611.33351)","[1056, 1257]"
"(-10116.38915, 147890.40846)",[1257]
"(-10101.66153, 147618.79577)",[1257]
"(-10117.52009, 147674.73949)",[1257]
"(-10703.99725, 147363.36701)",[1257]
"(-10691.46673, 147350.66697)",[1257]
"(-10678.3357, 147336.55274)",[1257]
"(-10548.32915, 147694.4533)",[1257]
"(-10495.87318, 147715.85771)","[812, 1447]"
"(-10406.65638, 147753.00911)","[812, 1447]"
"(-10493.83028, 147958.00721)","[1041, 812, 1038]"
"(-10518.43158, 147958.03181)","[1041, 812]"
"(-10537.28528, 147857.79981)","[1041, 812]"
"(-10573.24348, 147781.34821)","[1041, 812]"
"(-10632.62018, 147781.66341)","[1041, 812]"
"(-10673.55978, 147746.81541)","[1041, 812]"
"(-10682.58678, 147682.68901)","[1041, 812]"
"(-10737.26558, 147661.30971)",[1041]
"(-10791.61818, 147704.05331)",[1041]
"(-10782.31208, 147778.74201)",[1041]
"(-10788.58638, 147851.81911)",[1041]
"(-10835.81898, 147904.52331)",[1041]
"(-10854.08248, 147964.26271)",[1041]
"(-10818.34428, 147998.58731)",[1041]
"(-10774.56448, 147994.92611)",[1041]
"(-10693.28848, 147963.73771)",[1041]
"(-10684.43908, 148020.36461)",[1041]
"(-10743.25498, 148070.39561)",[1041]
"(-10708.26868, 148142.16581)",[1041]
"(-10711.75118, 148144.70891)","[1041, 1038]"
"(-10635.99598, 148140.87121)","[1041, 1038]"
"(-10580.35028, 148177.04571)","[1041, 1038]"
"(-10488.59448, 148229.23491)","[1041, 1038]"
"(-10490.89558, 148149.57651)","[1041, 1038]"
"(-10503.01368, 148088.22121)","[1041, 1038]"
"(-10510.52338, 148044.43201)","[1041, 1038]"
"(-10529.59508, 148001.68911)","[1041, 1038]"
"(-10682.00809, 147686.79992)",[1041]
"(-10745.04868, 147667.43044)",[1041]
"(-10786.20101, 147824.03655)",[1041]
"(-10851.11889, 147954.5689)",[1041]
"(-10786.98531, 147833.17134)",[1041]
"(-10846.22164, 147971.81262)",[1041]
"(-9789.53378, 148484.73641)","[1210, 1051, 812]"
"(-9815.27028, 148436.54431)","[1051, 812]"
"(-9801.10198, 148388.50241)","[1051, 812, 1053]"
