"Node1(x,y)","Node2(x,y)"
"(-10682.58678, 147682.68901)","(-10493.83028, 147958.00721)"
"(-10682.58678, 147682.68901)","(-10655.17557, 147943.26206)"
"(-10682.58678, 147682.68901)","(-10067.24305, 148028.80374)"
"(-9559.28811, 151039.28307)","(-9566.42637, 150982.75877)"
"(-9559.28811, 151039.28307)","(-10017.11358, 151027.77671)"
"(-9559.28811, 151039.28307)","(-9370.84798, 151072.67401)"
"(-9559.28811, 151039.28307)","(-9451.80531, 151064.65268)"
"(-9559.28811, 151039.28307)","(-9787.88075, 150982.55589)"
"(-10225.27318, 150815.69021)","(-10228.14938, 150821.44261)"
"(-10225.27318, 150815.69021)","(-10218.71664, 150830.76025)"
"(-10225.27318, 150815.69021)","(-10283.879, 150641.97766)"
"(-8684.68075, 153202.36468)","(-8703.67818, 153204.60371)"
"(-8684.68075, 153202.36468)","(-8323.28988, 153083.83651)"
"(-8684.68075, 153202.36468)","(-8922.91238, 153401.61281)"
"(-8684.68075, 153202.36468)","(-8339.73285, 152830.3319)"
"(-8684.68075, 153202.36468)","(-8684.69437, 153065.59419)"
"(-8684.68075, 153202.36468)","(-8849.93088, 153502.95525)"
"(-10074.46358, 147482.53131)","(-10108.32618, 147159.38581)"
"(-10074.46358, 147482.53131)","(-9811.39208, 147594.29381)"
"(-10074.46358, 147482.53131)","(-10370.37518, 147245.84701)"
"(-10074.46358, 147482.53131)","(-9903.06983, 147327.8529)"
"(-10074.46358, 147482.53131)","(-10233.48609, 147350.59702)"
"(-10074.46358, 147482.53131)","(-10271.11205, 147549.61274)"
"(-10979.90808, 148514.67611)","(-10810.04518, 148739.02791)"
"(-10979.90808, 148514.67611)","(-10502.55748, 148422.87531)"
"(-10979.90808, 148514.67611)","(-10629.23877, 148284.67724)"
"(-10979.90808, 148514.67611)","(-10715.51166, 148570.73657)"
"(-9696.70618, 149333.69741)","(-9648.04658, 149350.06601)"
"(-9696.70618, 149333.69741)","(-9799.49707, 149327.06965)"
"(-9696.70618, 149333.69741)","(-9840.89568, 149535.23461)"
"(-9696.70618, 149333.69741)","(-9633.71633, 149510.33412)"
"(-9696.70618, 149333.69741)","(-9758.54318, 149210.79965)"
"(-9696.70618, 149333.69741)","(-10149.97515, 149373.88976)"
"(-8498.51988, 151132.63021)","(-8383.39678, 150754.94041)"
"(-8498.51988, 151132.63021)","(-8541.53788, 151163.40521)"
"(-8498.51988, 151132.63021)","(-8380.10708, 150754.94041)"
"(-8498.51988, 151132.63021)","(-8367.09544, 150920.68234)"
"(-8498.51988, 151132.63021)","(-8398.94245, 151094.20055)"
"(-10125.80428, 147679.20021)","(-10303.39178, 147781.97041)"
"(-10125.80428, 147679.20021)","(-10101.66153, 147618.79577)"
"(-10125.80428, 147679.20021)","(-10271.11205, 147549.61274)"
"(-10125.80428, 147679.20021)","(-10304.77408, 147697.21211)"
"(-9061.56738, 152918.58721)","(-9009.84602, 152922.36078)"
"(-9061.56738, 152918.58721)","(-8968.46528, 152869.15571)"
"(-9061.56738, 152918.58721)","(-9262.13018, 152655.84661)"
"(-9061.56738, 152918.58721)","(-9105.24003, 152781.75773)"
"(-9061.56738, 152918.58721)","(-9201.52319, 152963.87284)"
"(-9061.56738, 152918.58721)","(-8684.69437, 153065.59419)"
"(-9444.16318, 149547.89841)","(-9430.59708, 149471.41691)"
"(-9444.16318, 149547.89841)","(-9401.60948, 149475.98931)"
"(-9444.16318, 149547.89841)","(-9616.60468, 149684.09891)"
"(-9444.16318, 149547.89841)","(-9633.71633, 149510.33412)"
"(-9444.16318, 149547.89841)","(-9195.31222, 149600.1961)"
"(-8815.64888, 148572.11251)","(-8829.41218, 148652.51591)"
"(-8815.64888, 148572.11251)","(-8695.40188, 148292.43521)"
"(-8815.64888, 148572.11251)","(-8959.02451, 148361.81525)"
"(-8815.64888, 148572.11251)","(-8673.18783, 148556.63592)"
"(-8815.64888, 148572.11251)","(-9028.69179, 148622.97994)"
"(-9916.47948, 149638.33261)","(-9976.24618, 149694.22161)"
"(-9916.47948, 149638.33261)","(-9929.14039, 149632.91781)"
"(-9916.47948, 149638.33261)","(-9850.83509, 149543.57647)"
"(-9916.47948, 149638.33261)","(-10149.97515, 149373.88976)"
"(-9916.47948, 149638.33261)","(-10311.60363, 149567.71383)"
"(-9916.47948, 149638.33261)","(-9814.72541, 149707.54588)"
"(-10005.56618, 146772.18441)","(-10058.28294, 146752.22657)"
"(-10005.56618, 146772.18441)","(-9976.58998, 146666.29741)"
"(-10005.56618, 146772.18441)","(-10016.58438, 146871.00761)"
"(-10005.56618, 146772.18441)","(-10253.47608, 146660.54684)"
"(-10005.56618, 146772.18441)","(-9867.65706, 147057.93473)"
"(-9655.49558, 148893.24831)","(-9724.23318, 148977.57961)"
"(-9655.49558, 148893.24831)","(-9829.14738, 148672.75791)"
"(-9655.49558, 148893.24831)","(-9355.83098, 148869.48711)"
"(-9655.49558, 148893.24831)","(-9788.53268, 148838.6824)"
"(-9655.49558, 148893.24831)","(-9465.16664, 148761.07613)"
"(-9655.49558, 148893.24831)","(-9492.41177, 148989.25343)"
"(-8870.39095, 150026.99275)","(-8876.46568, 150032.73221)"
"(-8870.39095, 150026.99275)","(-8630.82078, 149817.67201)"
"(-8870.39095, 150026.99275)","(-8660.09166, 150546.68364)"
"(-8870.39095, 150026.99275)","(-9195.31222, 149600.1961)"
"(-8870.39095, 150026.99275)","(-8715.35286, 150252.92494)"
"(-8232.98348, 151801.17151)","(-8238.53978, 152081.52451)"
"(-8232.98348, 151801.17151)","(-8256.85768, 151748.90831)"
"(-8232.98348, 151801.17151)","(-8245.87627, 151692.79859)"
"(-8232.98348, 151801.17151)","(-8214.04646, 151962.82384)"
"(-8232.98348, 151801.17151)","(-8322.38385, 151946.31322)"
"(-9088.08928, 149237.55581)","(-8961.63542, 149290.1978)"
"(-9088.08928, 149237.55581)","(-9176.27018, 149207.79901)"
"(-9088.08928, 149237.55581)","(-9056.37368, 148999.23316)"
"(-9088.08928, 149237.55581)","(-9195.31222, 149600.1961)"
"(-9956.90198, 149155.55691)","(-9938.65227, 149154.81321)"
"(-9956.90198, 149155.55691)","(-10012.02228, 149237.86841)"
"(-9956.90198, 149155.55691)","(-10067.64118, 148962.60741)"
"(-9956.90198, 149155.55691)","(-10343.70484, 148954.31332)"
"(-9956.90198, 149155.55691)","(-9899.26926, 148998.0663)"
"(-9956.90198, 149155.55691)","(-9758.54318, 149210.79965)"
"(-10484.22468, 149388.86291)","(-10647.58738, 149585.06161)"
"(-10484.22468, 149388.86291)","(-9929.14039, 149632.91781)"
"(-10484.22468, 149388.86291)","(-10549.45308, 149195.18991)"
"(-10484.22468, 149388.86291)","(-10149.97515, 149373.88976)"
"(-10484.22468, 149388.86291)","(-10311.60363, 149567.71383)"
"(-9267.94948, 148614.27461)","(-9055.75438, 148780.37381)"
"(-9267.94948, 148614.27461)","(-9624.70188, 148688.48941)"
"(-9267.94948, 148614.27461)","(-9424.02391, 148616.83292)"
"(-9267.94948, 148614.27461)","(-9028.69179, 148622.97994)"
"(-9267.94948, 148614.27461)","(-9465.16664, 148761.07613)"
"(-10554.96288, 148809.15251)","(-10549.45308, 149195.18991)"
"(-10554.96288, 148809.15251)","(-10810.04518, 148739.02791)"
"(-10554.96288, 148809.15251)","(-10787.56976, 148770.65187)"
"(-10554.96288, 148809.15251)","(-10343.70484, 148954.31332)"
"(-9840.89568, 149535.23461)","(-9850.83509, 149543.57647)"
"(-9840.89568, 149535.23461)","(-9666.16068, 149620.78621)"
"(-9840.89568, 149535.23461)","(-9633.71633, 149510.33412)"
"(-9840.89568, 149535.23461)","(-10149.97515, 149373.88976)"
"(-9840.89568, 149535.23461)","(-9814.72541, 149707.54588)"
