"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9620.52358, 148037.26381)","(-9737.58338, 147773.25181)",0.5541823608104007,False,False,False,2677,1042,4016,1042,2007,"[(-9696.81908, 148084.87921), (-9756.12258, 148088.70261), (-9785.79618, 148041.82221), (-9760.09188, 147982.86911), (-9781.95678, 147935.59761), (-9821.21548, 147894.98591), (-9831.79858, 147853.41221), (-9793.91908, 147830.46741), (-9753.05408, 147816.74621)]"
"(-9620.52358, 148037.26381)","(-10067.24305, 148028.80374)",0.0,False,False,True,0,0,0,0,0,
"(-9620.52358, 148037.26381)","(-9566.58245, 147840.83851)",0.0,False,False,True,0,0,0,0,0,
"(-9620.52358, 148037.26381)","(-9623.52531, 148188.20977)",0.0,False,False,True,0,0,0,0,0,
"(-8947.47258, 148172.98421)","(-9095.93818, 148163.72171)",0.20484911401496886,False,False,False,1539,549,2309,549,1155,"[(-8989.58958, 148179.68151), (-9028.34538, 148112.61171)]"
"(-8947.47258, 148172.98421)","(-8702.89838, 147929.52861)",0.3547314030516022,False,False,False,2666,952,3998,952,1999,"[(-8911.97978, 148129.79331), (-8835.49058, 148062.50641), (-8785.23838, 148022.34251), (-8717.12968, 147979.97041)]"
"(-8947.47258, 148172.98421)","(-8695.40188, 148292.43521)",0.32636065314846424,False,False,False,2453,876,3678,876,1839,"[(-8912.82168, 148231.13371), (-8865.43088, 148266.08491), (-8816.58088, 148229.34971), (-8753.11468, 148249.02201), (-8750.98768, 148250.61981), (-8724.53578, 148270.51981), (-8722.75538, 148271.85911), (-8721.20548, 148273.02491), (-8710.41598, 148281.14121), (-8706.42368, 148284.14431), (-8704.76708, 148285.39041), (-8697.40668, 148290.92711)]"
"(-8947.47258, 148172.98421)","(-9061.65446, 148023.46263)",0.0,False,False,True,0,0,0,0,0,
"(-8947.47258, 148172.98421)","(-8729.88683, 148121.06548)",0.0,False,False,True,0,0,0,0,0,
"(-8947.47258, 148172.98421)","(-8959.02451, 148361.81525)",0.0,False,False,True,0,0,0,0,0,
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)",0.04544105905731017,34.6185,True,False,341,122,512,122,256,
"(-11022.28918, 148344.65331)","(-10979.90808, 148514.67611)",0.19980751202902872,False,True,False,1501,536,2251,536,1126,"[(-11022.66908, 148344.68701), (-11026.54518, 148347.23531), (-11004.77118, 148396.30241), (-10986.28258, 148437.81041), (-11011.56658, 148472.89831)]"
"(-11022.28918, 148344.65331)","(-10629.23877, 148284.67724)",0.0,False,False,True,0,0,0,0,0,
