"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source
"(-10961.85188, 150430.42151)","(-10992.54348, 150420.89651)",0.032135648983020335,17.8507,False,False
"(-10961.85188, 150430.42151)","(-10932.21858, 150443.12151)",0.03224007550999635,17.8507,False,False
"(-9825.82548, 146654.12811)","(-9762.87928, 146669.14421)",0.06471249766196852,17.2107,False,False
"(-9825.82548, 146654.12811)","(-9773.98538, 146714.65251)",0.0796906453943801,23.9191,False,False
"(-9825.82548, 146654.12811)","(-9874.66158, 146683.22741)",0.05684834143315125,23.9191,False,False
"(-10480.84648, 150676.07601)","(-10484.47038, 150676.23651)",0.003627452475223218,14.1512,False,False
"(-10480.84648, 150676.07601)","(-10480.21438, 150673.65411)",0.0025030281700244954,14.1512,False,False
"(-8621.36058, 149352.24881)","(-8621.34858, 149352.31981)",7.200694410600984e-05,36.7819,False,False
"(-8621.36058, 149352.24881)","(-8621.71398, 149351.36461)",0.0009522085905938448,36.7819,False,False
"(-8304.42188, 152146.10471)","(-8327.48808, 152072.10471)",0.07751160933976257,31.8689,False,False
"(-8304.42188, 152146.10471)","(-8368.71658, 152123.74211)",0.06807271352642733,31.8689,False,False
"(-8304.42188, 152146.10471)","(-8248.36388, 152149.07701)",0.056136743148225664,31.8689,False,False
"(-8830.21138, 149262.40401)","(-8889.05148, 149254.96791)",0.05930811876311549,36.7819,False,False
"(-8830.21138, 149262.40401)","(-8798.65578, 149301.61021)",0.050327745924105105,36.7819,False,False
"(-9706.80918, 148641.37611)","(-9779.97128, 148657.82711)",0.07498885435456369,23.9191,False,False
"(-9706.80918, 148641.37611)","(-9667.03528, 148680.33611)",0.05567624916613345,23.9191,False,False
"(-8796.06058, 150461.22581)","(-8831.81018, 150491.92841)",0.04712412913698708,43.7565,False,False
"(-8796.06058, 150461.22581)","(-8814.30988, 150409.57201)",0.05478277105924866,43.7293,False,False
"(-8796.06058, 150461.22581)","(-8792.40328, 150457.17361)",0.005458586642166373,43.7565,False,False
"(-8223.82108, 151824.87981)","(-8225.67698, 151820.07771)",0.005148254968434388,31.8689,False,False
"(-8223.82108, 151824.87981)","(-8221.84868, 151829.98371)",0.005471759951777209,31.8689,False,False
"(-9620.52358, 148037.26381)","(-9545.35008, 148064.26281)",0.07987490909696768,23.9191,False,False
"(-9620.52358, 148037.26381)","(-9696.81908, 148084.87921)",0.08993458532406179,23.9191,False,False
"(-9620.52358, 148037.26381)","(-9562.66178, 147997.99761)",0.0699272647947913,23.9191,False,False
"(-8925.74058, 149449.83261)","(-8910.71998, 149430.49291)",0.024487597278018813,36.7819,False,False
"(-8925.74058, 149449.83261)","(-8942.52898, 149461.50291)",0.020446180001406963,36.7819,False,False
"(-8603.76998, 151035.39341)","(-8584.53768, 151030.03361)",0.019965190190171886,35.1593,False,False
"(-8603.76998, 151035.39341)","(-8611.00768, 151037.41041)",0.007513493880353467,35.1593,False,False
"(-8837.98098, 153685.85521)","(-8837.18718, 153653.31141)",0.03255347964321036,13.0327,False,False
"(-8837.98098, 153685.85521)","(-8851.47478, 153718.39901)",0.03523040670896411,13.0327,False,False
"(-9833.40198, 146132.72991)","(-9805.46208, 146134.68111)",0.02800794875477511,17.2107,False,False
"(-9833.40198, 146132.72991)","(-9868.80898, 146130.25731)",0.03549323033706551,17.2107,False,False
"(-10495.87318, 147715.85771)","(-10538.85278, 147698.32011)",0.04641996800860879,23.9191,False,False
"(-10495.87318, 147715.85771)","(-10406.65638, 147753.00911)",0.0966429714164471,23.9191,False,False
"(-8947.47258, 148172.98421)","(-8989.58958, 148179.68151)",0.042646166489967344,48.3398,False,False
"(-8947.47258, 148172.98421)","(-8911.97978, 148129.79331)",0.05590342292426167,48.3398,False,False
"(-8947.47258, 148172.98421)","(-8912.82168, 148231.13371)",0.06769083557661247,48.3398,False,False
"(-8443.33318, 150739.70861)","(-8443.33328, 150753.93811)",0.014229500000338112,24.6037,False,False
"(-8443.33318, 150739.70861)","(-8433.56478, 150729.94041)",0.013814462342046165,24.6037,False,False
"(-8827.28188, 148656.46881)","(-8828.14558, 148655.23551)",0.001505658188295581,51.2721,False,False
"(-8827.28188, 148656.46881)","(-8827.18598, 148685.83761)",0.029368956574073204,51.2721,False,False
"(-8835.49058, 148062.50641)","(-8911.97978, 148129.79331)",0.10187308097947594,48.3398,False,False
"(-8835.49058, 148062.50641)","(-8785.23838, 148022.34251)",0.06433057179950318,48.3398,False,False
"(-11022.28918, 148344.65331)","(-10984.31908, 148319.69011)",0.04544105905731017,34.6185,True,False
"(-11022.28918, 148344.65331)","(-11022.66908, 148344.68701)",0.00038139179330437366,34.6185,True,False
"(-9814.03458, 148574.01041)","(-9757.40768, 148585.33601)",0.0577483767648076,13.6833,False,False
"(-9814.03458, 148574.01041)","(-9837.32306, 148579.28166)",0.02387759152999227,13.6833,True,False
"(-10005.39248, 150730.18941)","(-10055.79168, 150750.85151)",0.05447019127055312,18.0975,True,False
"(-10005.39248, 150730.18941)","(-9955.50628, 150744.56451)",0.051916051953612756,18.0975,False,False
"(-10628.45128, 147229.18581)","(-10668.78398, 147166.45351)",0.07457927428301031,32.0702,False,False
"(-10628.45128, 147229.18581)","(-10665.40868, 147322.65781)",0.10051300512252999,23.9191,False,False
"(-10628.45128, 147229.18581)","(-10593.2623, 147235.79528)",0.035804321067731106,23.9191,True,False
"(-8780.66578, 151421.40811)","(-8770.08238, 151385.68931)",0.037253738456699347,19.7815,False,False
"(-8780.66578, 151421.40811)","(-8757.16228, 151497.83101)",0.07995545107533768,19.7815,False,False
"(-8958.06678, 149291.91461)","(-8961.63542, 149290.1978)",0.003960129799104167,36.7819,False,False
"(-8958.06678, 149291.91461)","(-8923.63948, 149311.17431)",0.03944838436970222,36.7819,False,False
"(-11210.49168, 150134.66771)","(-11176.15808, 150171.15231)",0.050099123007490996,17.8507,False,False
"(-11210.49168, 150134.66771)","(-11254.57188, 150099.44971)",0.056421374992476216,17.8507,False,False
"(-8921.86708, 153407.42501)","(-8922.57398, 153404.34661)",0.0031585208832600313,13.0327,False,False
"(-8921.86708, 153407.42501)","(-8920.75698, 153412.25971)",0.004960508653360516,13.0327,False,False
"(-8572.05778, 149116.40251)","(-8601.16238, 149145.50641)",0.04115962507566482,36.7819,False,False
"(-8572.05778, 149116.40251)","(-8563.12458, 149098.00281)",0.020453631030463108,36.7819,False,False
"(-9431.03318, 149459.76441)","(-9430.59708, 149471.41691)",0.011660657762747318,36.7819,False,False
"(-9431.03318, 149459.76441)","(-9432.40618, 149423.08291)",0.036707186915513466,36.7819,False,False
"(-9584.58478, 150211.06351)","(-9634.65108, 150170.45271)",0.06446604898960095,43.7293,False,False
"(-9584.58478, 150211.06351)","(-9623.74458, 150265.13181)",0.06675980078556569,23.7919,False,False
"(-9584.58478, 150211.06351)","(-9583.02208, 150212.19521)",0.0019294497091117088,43.7293,False,False
"(-9355.00298, 151119.88511)","(-9358.05608, 151122.59631)",0.00408313911714447,23.517,False,False
"(-9355.00298, 151119.88511)","(-9355.05798, 151119.72211)",0.00017202906731184653,23.517,False,False
"(-8256.79598, 151579.39731)","(-8271.08358, 151532.56591)",0.04896238903198625,29.5896,False,False
"(-8256.79598, 151579.39731)","(-8236.95228, 151582.57231)",0.020096095508580172,29.0654,False,False
"(-8256.79598, 151579.39731)","(-8257.25178, 151633.83521)",0.054439808137509996,29.0654,False,False
"(-10479.26608, 148736.35071)","(-10539.29848, 148693.46491)",0.07377723830151865,25.9151,False,False
"(-10479.26608, 148736.35071)","(-10436.20218, 148778.86421)",0.0605136114065258,13.6833,False,False
"(-10479.26608, 148736.35071)","(-10554.96288, 148809.15251)",0.10502431915267166,13.6833,False,False
"(-8830.17258, 150975.57221)","(-8827.12978, 150977.17831)",0.0034406669484167733,35.1593,False,False
"(-8830.17258, 150975.57221)","(-8834.55018, 150974.39931)",0.004532005755734436,35.1593,False,False
"(-9192.18578, 153279.75991)","(-9200.95308, 153220.64971)",0.05975685143420345,43.7598,False,False
"(-9192.18578, 153279.75991)","(-9237.27138, 153254.59561)",0.051632870555976575,43.7598,False,False
"(-8828.26088, 151483.28741)","(-8825.86158, 151483.49271)",0.0024080673952355273,19.7815,False,False
"(-8828.26088, 151483.28741)","(-8838.46208, 151498.64451)",0.018436512735620414,19.7815,True,False
