"Node1(x,y)","Node2(x,y)"
"(-8232.98348, 151801.17151)","(-8256.85768, 151748.90831)"
"(-9088.08928, 149237.55581)","(-8961.63542, 149290.1978)"
"(-9088.08928, 149237.55581)","(-9176.27018, 149207.79901)"
"(-9956.90198, 149155.55691)","(-9938.65227, 149154.81321)"
"(-9956.90198, 149155.55691)","(-10012.02228, 149237.86841)"
"(-9956.90198, 149155.55691)","(-10067.64118, 148962.60741)"
"(-10484.22468, 149388.86291)","(-10647.58738, 149585.06161)"
"(-10484.22468, 149388.86291)","(-9929.14039, 149632.91781)"
"(-10484.22468, 149388.86291)","(-10549.45308, 149195.18991)"
"(-9267.94948, 148614.27461)","(-9055.75438, 148780.37381)"
"(-9267.94948, 148614.27461)","(-9624.70188, 148688.48941)"
"(-10554.96288, 148809.15251)","(-10549.45308, 149195.18991)"
"(-10554.96288, 148809.15251)","(-10810.04518, 148739.02791)"
"(-9840.89568, 149535.23461)","(-9850.83509, 149543.57647)"
"(-9840.89568, 149535.23461)","(-9666.16068, 149620.78621)"
"(-8603.45698, 151442.41251)","(-8630.41478, 151385.47171)"
"(-8603.45698, 151442.41251)","(-8642.06068, 151484.51241)"
"(-8603.45698, 151442.41251)","(-8482.80244, 151586.28098)"
"(-8642.06068, 151484.51241)","(-8616.08548, 151635.50621)"
"(-8642.06068, 151484.51241)","(-8915.90488, 151689.56501)"
"(-9055.75438, 148780.37381)","(-8953.48438, 148779.78151)"
"(-9055.75438, 148780.37381)","(-9355.83098, 148869.48711)"
"(-9783.36978, 150083.96631)","(-9616.84428, 150346.57021)"
"(-9783.36978, 150083.96631)","(-9771.65944, 149896.3741)"
"(-8519.65118, 152562.65291)","(-8562.05388, 152884.52621)"
"(-8519.65118, 152562.65291)","(-8483.41108, 152191.69191)"
"(-8519.65118, 152562.65291)","(-8273.27881, 152718.32373)"
"(-10703.25028, 147363.33281)","(-10691.46673, 147350.66697)"
"(-10703.25028, 147363.33281)","(-10614.80738, 147658.01291)"
"(-8829.41218, 148652.51591)","(-8527.00488, 148818.23501)"
"(-8829.41218, 148652.51591)","(-8953.48438, 148779.78151)"
"(-8878.71948, 153202.01151)","(-8854.60878, 153160.15991)"
"(-8878.71948, 153202.01151)","(-8906.01368, 153249.79021)"
"(-8878.71948, 153202.01151)","(-8896.59689, 153205.36205)"
"(-9442.14598, 148100.01401)","(-9404.45688, 148053.66941)"
"(-9442.14598, 148100.01401)","(-9801.10198, 148388.50241)"
"(-9442.14598, 148100.01401)","(-9161.00848, 148181.51851)"
"(-8649.81268, 149314.52691)","(-8913.6107, 149316.84025)"
"(-8649.81268, 149314.52691)","(-8428.40288, 148832.63961)"
"(-8649.81268, 149314.52691)","(-8516.36608, 149632.99931)"
"(-8273.27881, 152718.32373)","(-8227.42728, 152874.87931)"
"(-8492.29368, 151657.84631)","(-8475.80968, 151789.95321)"
"(-8492.29368, 151657.84631)","(-8425.37128, 151634.02671)"
"(-8492.29368, 151657.84631)","(-8616.08548, 151635.50621)"
"(-9262.13018, 152655.84661)","(-8967.89568, 152834.08861)"
"(-9262.13018, 152655.84661)","(-9200.95308, 153220.64971)"
"(-9616.60468, 149684.09891)","(-9666.16068, 149620.78621)"
"(-9616.60468, 149684.09891)","(-9753.58756, 149871.53507)"
"(-9616.60468, 149684.09891)","(-9555.91718, 150021.23041)"
"(-10001.06638, 150990.02971)","(-10007.94106, 151006.20067)"
"(-10001.06638, 150990.02971)","(-9916.53748, 150802.78521)"
"(-10001.06638, 150990.02971)","(-10055.79168, 150750.85151)"
"(-10037.13358, 149254.05121)","(-10012.02228, 149237.86841)"
"(-10037.13358, 149254.05121)","(-10285.51438, 149182.43681)"
"(-10037.13358, 149254.05121)","(-9799.49707, 149327.06965)"
"(-10614.80738, 147658.01291)","(-10663.97295, 147675.91237)"
"(-10614.80738, 147658.01291)","(-10548.32915, 147694.4533)"
"(-9477.72508, 149399.16551)","(-9463.20488, 149391.74591)"
