"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9956.90198, 149155.55691)","(-10067.64118, 148962.60741)",0.2647255824208533,False,False,False,1280,497,1918,497,958,"[(-9963.75948, 149082.90481), (-10017.74898, 149089.39741), (-10041.72098, 149050.92221)]"
"(-9956.90198, 149155.55691)","(-9799.49707, 149327.06965)",0.40437309312654274,False,True,False,1951,759,2930,759,1466,"[(-10014.54978, 149199.12801), (-10000.00428, 149230.12351), (-10012.02228, 149237.86841), (-10037.13358, 149254.05121), (-9989.59868, 149279.06271), (-9908.66488, 149318.76661), (-9850.64998, 149327.60401)]"
"(-9267.94948, 148614.27461)","(-9055.75438, 148780.37381)",0.27301978658644244,False,False,False,1319,513,1979,513,989,"[(-9211.91348, 148656.15541)]"
"(-9267.94948, 148614.27461)","(-9624.70188, 148688.48941)",0.6744248444417011,False,False,False,3259,1266,4886,1266,2444,"[(-9403.35418, 148648.02921), (-9338.21538, 148649.28241), (-9462.92498, 148695.29851), (-9595.13308, 148800.24741), (-9651.17058, 148798.27501), (-9699.74878, 148783.06621), (-9663.40708, 148727.13021), (-9609.60028, 148742.05741)]"
"(-9840.89568, 149535.23461)","(-9850.83509, 149543.57647)",0.012976074113825103,23.0181,True,False,63,24,94,24,47,
"(-9840.89568, 149535.23461)","(-9616.60468, 149684.09891)",0.2894434250365439,False,True,False,1397,543,2098,543,1048,"[(-9828.03018, 149569.63801), (-9731.63708, 149584.73841), (-9666.16068, 149620.78621)]"
"(-8603.45698, 151442.41251)","(-8642.06068, 151484.51241)",0.057119587128235304,29.5896,True,False,429,153,644,153,322,
"(-8603.45698, 151442.41251)","(-8541.53788, 151163.40521)",0.7696084004414238,False,False,False,5783,2066,8675,2066,4337,"[(-8728.18038, 151235.46621), (-8629.95128, 151253.28091), (-8624.35848, 151328.62851), (-8626.16368, 151382.88831), (-8630.29078, 151381.74401), (-8630.41478, 151385.47171), (-8809.02148, 151209.27011), (-8565.47668, 151180.57941)]"
"(-8603.45698, 151442.41251)","(-8482.80244, 151586.28098)",0.22666617944682996,False,True,False,1704,607,2555,607,1277,"[(-8588.08548, 151442.24521), (-8555.67398, 151461.42751), (-8549.72088, 151472.67241), (-8557.65838, 151515.66721), (-8539.13758, 151535.51101), (-8519.29378, 151532.20371), (-8512.01768, 151542.12551), (-8509.37188, 151565.93811), (-8494.15828, 151579.82881)]"
"(-8642.06068, 151484.51241)","(-8616.08548, 151635.50621)",0.21384083628104394,False,True,False,1608,574,2411,574,1205,"[(-8628.43458, 151534.84951)]"
