ID_UG;nodes
1207;(-10289.87348, 150228.08091),(-11028.98928, 150143.19561),(-10262.31898, 150158.54881),(-11125.67678, 150196.59571),(-10896.52638, 150314.09401),(-10910.83998, 150318.47791),(-10766.09178, 150093.78201),(-10308.00978, 150027.72871),(-10652.40158, 150433.19211),(-10427.97478, 150424.28671),(-10836.19272, 150318.3575),(-11038.4333, 150153.40613),(-10299.96506, 150230.19274),(-10624.90433, 150233.62028)
1577;(-8215.52098, 151800.37771),(-8232.98348, 151801.17151),(-8225.83968, 152085.49331),(-8238.53978, 152081.52451),(-8214.04646, 151962.82384)
1208;(-9930.49008, 150259.04581),(-9769.00308, 149882.78441),(-9783.36978, 150083.96631),(-10319.05108, 149890.84211),(-10221.08298, 149763.32911),(-10308.00978, 150027.72871),(-9976.24618, 149694.22161),(-9771.65944, 149896.3741),(-10030.8537, 149930.39017)
1546;(-9930.49008, 150259.04581),(-9783.36978, 150083.96631),(-9616.84428, 150346.57021),(-9897.69168, 150484.64831),(-9844.34562, 150536.15574),(-9591.79762, 150409.96462),(-9596.25262, 150398.68877),(-9783.32481, 150505.42656),(-9689.51238, 150497.98568),(-9675.10843, 150491.81272),(-9605.84187, 150449.7965),(-9875.59603, 150505.94866),(-9757.85286, 150315.83682)
1277;(-9930.49008, 150259.04581),(-10262.31898, 150158.54881),(-10308.00978, 150027.72871),(-10123.71377, 150155.0526)
1048;(-9137.12338, 148540.26861),(-9267.94948, 148614.27461),(-9624.70188, 148688.48941),(-9426.05538, 148523.91821),(-9424.02391, 148616.83292)
1050;(-9137.12338, 148540.26861),(-9095.93818, 148163.72171),(-9161.00848, 148181.51851),(-9593.88298, 148433.50071),(-9426.05538, 148523.91821),(-9296.07777, 148364.1537)
1275;(-9137.12338, 148540.26861),(-8815.64888, 148572.11251),(-9267.94948, 148614.27461),(-9055.75438, 148780.37381),(-8829.41218, 148652.51591),(-8953.48438, 148779.78151),(-9028.69179, 148622.97994)
1273;(-9769.00308, 149882.78441),(-9916.47948, 149638.33261),(-9840.89568, 149535.23461),(-9616.60468, 149684.09891),(-9666.16068, 149620.78621),(-9976.24618, 149694.22161),(-9753.58756, 149871.53507),(-9814.72541, 149707.54588)
1570;(-8248.36388, 152149.07701),(-8684.68075, 153202.36468),(-8273.27881, 152718.32373),(-8227.42728, 152874.87931),(-8266.07438, 152972.15161),(-8323.28988, 153083.83651),(-8703.67818, 153204.60371),(-8225.83968, 152085.49331),(-8238.53978, 152081.52451),(-8241.71478, 152937.58561),(-8242.82872, 152715.03566),(-8211.85342, 152845.18125),(-8267.10734, 153042.99266),(-8217.12305, 152791.64917),(-8339.73285, 152830.3319)
1041;(-10682.58678, 147682.68901),(-10493.83028, 147958.00721),(-10711.75118, 148144.70891),(-10737.26558, 147661.30971),(-10786.20101, 147824.03655),(-10851.11889, 147954.5689),(-10786.98531, 147833.17134),(-10846.22164, 147971.81262),(-10655.17557, 147943.26206)
1547;(-9559.28811, 151039.28307),(-9370.84798, 151072.67401),(-9577.11018, 150975.61841),(-9566.42637, 150982.75877),(-9451.80531, 151064.65268)
1381;(-9559.28811, 151039.28307),(-10001.06638, 150990.02971),(-9916.53748, 150802.78521),(-9577.11018, 150975.61841),(-10017.11358, 151027.77671),(-9617.14888, 150954.27921),(-9787.88075, 150982.55589)
1209;(-10225.27318, 150815.69021),(-10001.06638, 150990.02971),(-10490.83158, 150562.31421),(-10068.12958, 150545.78041),(-10228.14938, 150821.44261),(-10229.52848, 150818.27261),(-10212.42188, 150389.66871),(-10017.11358, 151027.77671),(-10055.79168, 150750.85151),(-10652.40158, 150433.19211),(-10427.97478, 150424.28671),(-10473.89818, 150536.91411),(-10484.79926, 150553.26573),(-10218.71664, 150830.76025),(-10007.94106, 151006.20067),(-10238.9722, 150837.16012),(-10283.879, 150641.97766)
1569;(-8684.68075, 153202.36468),(-8922.91238, 153401.61281),(-8703.67818, 153204.60371),(-8849.93088, 153502.95525)
1214;(-8684.68075, 153202.36468),(-9061.56738, 152918.58721),(-8878.71948, 153202.01151),(-8906.01368, 153249.79021),(-8266.07438, 152972.15161),(-8562.05388, 152884.52621),(-8922.91238, 153401.61281),(-8323.28988, 153083.83651),(-8870.40298, 152853.96231),(-8854.60878, 153160.15991),(-8968.46528, 152869.15571),(-8694.67168, 152879.38811),(-8946.76948, 153297.98931),(-8956.91756, 153296.52738),(-8684.69437, 153065.59419)
1432;(-10074.46358, 147482.53131),(-10083.73558, 146884.29501),(-9811.39208, 147594.29381),(-10108.32618, 147159.38581),(-10083.90638, 146841.22061),(-9688.82758, 147359.73901),(-10016.58438, 146871.00761),(-9514.41648, 147613.78181),(-10074.81299, 146855.72189),(-9903.06983, 147327.8529)
1106;(-10074.46358, 147482.53131),(-10108.32618, 147159.38581),(-10370.37518, 147245.84701),(-10233.48609, 147350.59702)
1036;(-10979.90808, 148514.67611),(-10539.29848, 148693.46491),(-10502.55748, 148422.87531),(-10810.04518, 148739.02791),(-10715.51166, 148570.73657)
1296;(-9696.70618, 149333.69741),(-9444.16318, 149547.89841),(-9840.89568, 149535.23461),(-9616.60468, 149684.09891),(-9477.72508, 149399.16551),(-9648.04658, 149350.06601),(-9666.16068, 149620.78621),(-9635.37638, 149400.32761),(-9463.20488, 149391.74591),(-9430.59708, 149471.41691),(-9632.41642, 149417.97497),(-9633.71633, 149510.33412)
1262;(-9696.70618, 149333.69741),(-9916.47948, 149638.33261),(-10484.22468, 149388.86291),(-9840.89568, 149535.23461),(-10037.13358, 149254.05121),(-10549.45308, 149195.18991),(-10285.51438, 149182.43681),(-9929.14039, 149632.91781),(-9850.83509, 149543.57647),(-10149.97515, 149373.88976)
1295;(-9696.70618, 149333.69741),(-9956.90198, 149155.55691),(-10037.13358, 149254.05121),(-9648.04658, 149350.06601),(-10012.02228, 149237.86841),(-9544.14028, 149227.88431),(-9560.85348, 149342.68431),(-9768.74118, 149033.78711),(-9799.49707, 149327.06965),(-9758.54318, 149210.79965)
983;(-8498.51988, 151132.63021),(-8380.10708, 150754.94041),(-8383.39678, 150754.94041),(-8367.09544, 150920.68234)
1447;(-10125.80428, 147679.20021),(-10303.39178, 147781.97041),(-10538.85278, 147698.32011),(-10304.77408, 147697.21211)
901;(-9061.56738, 152918.58721),(-8878.71948, 153202.01151),(-9262.13018, 152655.84661),(-9145.30088, 153164.47331),(-9200.95308, 153220.64971),(-8854.60878, 153160.15991),(-8896.59689, 153205.36205),(-9009.84602, 152922.36078),(-9201.52319, 152963.87284)
1542;(-9061.56738, 152918.58721),(-9262.13018, 152655.84661),(-8967.89568, 152834.08861),(-8870.40298, 152853.96231),(-8968.46528, 152869.15571),(-9105.24003, 152781.75773)
